Armenian Word,Part of Speech,Definition,New Etymology (English),Relation,Source Language,Cognates,PIE Root
հակառակորդ,noun,"""['opponent, adversary, rival, contending, hostile, contrary, antagonist; enemy.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հակառակութիւն,noun,"""['opposition, contrarity, resistance, contradiction, contestation, aversion, contrariety, adversity,"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հակասութիւն,noun,"['contradiction.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաղորդագրութիւն,noun,"""['informative letter, information, communication.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաղորդականութիւն,noun,"""['conductance, conductivity; communicableness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաղորդակցութիւն,noun,"""['communication, correspondence, participation: copartnership.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաղորդութիւն,noun,"""['Communion, Holy Communion, sacrament, communication, connexion, participation; correspondence, int"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաղորդուիլ,verb,"['To be joined or included in; to participate in; to become a part of something; To be informed; to ,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաղորդումն,noun,"""['conduction, impartment; communication, broadcast, show.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաճելիութիւն,noun,"""['the quality of being pleasant, agreeable, enjoyable, or lovable.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաճոյակատարութիւն,noun,"""['complaisance, compliance, good nature, obligingness; appeasement, accommodation.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաճոյանալ,verb,"""['To become pleasing, to be agreeable, to appeal to, to please, to become beloved; To feel pleasure,"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաճոյապաշտութիւն,noun,"['hedonism.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաճութիւն,noun,"""['pleasing, pleasure, consent, liking, accord, desire, agreement, satisfaction, approval, approbatio"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
համագործակցութիւն,noun,"['cooperation.'],",Modern Armenian compound.,compound,,--,unknown
համադրութիւն,noun,"""['coincidence, synthesis, homology.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
համադրուիլ,verb,"""['to be juxtaposed, compared, synthetized, united.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համազօրութիւն,noun,"['Equivalence; equality of strength or force; parity.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
համաժողովրդական,noun,"""['General, nationwide, pertaining to the entire people; belonging to or involving the whole nation.'"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
համալսարանական,adjective,"""['of the university, universitary, belonging to the university; university student.']"",",Modern Armenian compound.,compound,,--,unknown
համախմբուիլ,verb,"['To be gathered together into one group or place; to be assembled; to be united into a single body.,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համախոհութիւն,noun,"""['unanimity, accord, harmony, alliance; league; good understanding, intelligence.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
համախումբ,adjective,"""['Gathered together; assembled; grouped in one place; Together, in a body; as a united group / in as"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համակարգութիւն,noun,"""['coordination, series.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
համակերպիլ,verb,"""[""""to conform to, to resign one's self, to comply with, to submit; to accommodate oneself.""""]"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համակերպութիւն,noun,"['Uniformity; sameness; homogeneity; Order or arrangement adapted to circumstances; organization; co,",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
համակեցութիւն,noun,"""['cohabitation, coexistence.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
համակրական,adjective,"""['sympathetic, sympathetical, consensual.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
համակրութիւն,noun,"""['sympathy, friendly affection, interest, liking.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
համաձայնիլ,verb,"""['to agree, to suit, to accord, to conform with, to concord with, to conform.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համաձայնութիւն,noun,"""['agreement, accord, settlement, good understanding; syntax.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
համայնապատկեր,noun,"['panorama.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համայնավար,adjective,"['communist.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համայնավարութիւն,noun,"['communism.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
համաչափութիւն,noun,"""['symmetry, commensurability, equality.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
համապատկեր,noun,"""['panorama, scheme.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համառօտագրել,verb,"""['to sum up, to give a summary of, to abstract.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համառօտել,verb,"""['to abbreviate, to shorten, to abridge, to resume, to sum up, to give a summary of.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համառօտիւ,adverb,"""['In brief words, briefly, in short, short and to the point, in the shortest way possible.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համասփռել,verb,"['to spread everywhere.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համարձակիլ,verb,"""['to dare, to adventure, to venture, to grow bold, to take the liberty of.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համարձակութիւն,noun,"""['frankness, liberty, courage, boldness, forwardness, hardiness, fearlessness; authorization; audaci"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
համարուիլ,verb,"""['to be reputed, deemed, looked upon as, thought of as, to be considered.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համարումն,noun,"""['esteem, estimation, reputation, respectability, value, credit, trust; consideration.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համբաւաւոր,adjective,"""['Renowned, widely known; Famous, distinguished, celebrated.']"",",Derived from Old Armenian with -ավոր (-awor).,derivation,Old Armenian,--,unknown
համբաւեալ,adjective,"""['reputable, celebrated, well known, esteemed.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համբերութիւն,noun,"""['patience, tolerance, endurance.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
համեմատութիւն,noun,"""['comparison, proportion, analogy, relation, adjustment, harmony, confront, symmetry, rate, conformi"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
համեստութիւն,noun,"""['humility, modesty, decency, moderation.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
համերաշխութիւն,noun,"""['solidarity, joint liability, mutual responsibility.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
համերաշխօրէն,adverb,"""['in solidarity, cohesively, in harmony, in unity, in agreement, together.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համընդհանուր,adjective,"""['relating to or characteristic of the whole, the entirety, or everyone; common, public, universal, "",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համոզուիլ,verb,"""['to become persuaded; to be convinced, to believe, to feel.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
համոզումն,noun,"['Conviction; belief; firm confidence based on evident facts and sound reasoning.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հայագիտութիւն,noun,"""['Armenology, Armenian studies.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հայադրոշմ,adjective,"""['bearing an Armenian seal, distinctly Armenian; carrying a distinctly Armenian stamp, seal, or char"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հայակերտումն,noun,"['educating Armenians with a sense of Armenianness.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հայաշունչ,adjective,"['having or containing the Armenian spirit.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հայապահպանումն,noun,"['the preservation of Armenian identity.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հայաստանեան,adjective,"['Armenian (of Armenia); specific to or relating to Armenia.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հայացումն,noun,"""['Armenianization, the process of making or becoming Armenian; The act of translating from a foreign"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հայթայթուիլ,verb,"""['To be devised, fabricated, or concocted; To be obtained; to be procured; to be secured by means or"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հայկականութիւն,noun,"""['Armenianness, the qualities of being Armenian.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հայհոյութիւն,noun,"""['blaspheming, blasphemy, gross insult, outrage; swearing, profanity, curse, abuse, slander.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հայութիւն,noun,"""['Armenians, the Armenian race, nation; Armenian nationality; the Armenian population, community.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հայրենաբաղձութիւն,noun,"""[""""nostalgia towards one's homeland.""""]"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հայրենադարձ,noun,"""['having returned to the homeland; repatriated, immigrated, or immigrating; repatriate; the act of r"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հայրենադարձութիւն,noun,"""['repatriation, the return of someone to their own country.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հայրենական,adjective,"""['paternal, patrimonial.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
հայրենանուէր,adjective,"""[""""devoted to one's country.""""]"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հայրենաշունչ,adjective,"""['filled with the spirit of the fatherland, with a patriotic or nationalistic spirit.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հայրենասէր,noun,"['patriot.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հայրենասիրութիւն,noun,"""[""""patriotism, love of one's country.""""]"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հայրենատիրութիւն,noun,"""[""""guardianship, stewardship of one's homeland.""""]"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հայրենաւանդ,adjective,"""['hereditary, ancestral.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հանապազօրեայ,adjective,"""['daily, quotidian.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հանգամանօրէն,adverb,"""['circumstantially, in detail, particularly, scrupulously.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հանգանակութիւն,noun,"""['contribution, subscription, share, quota, reckoning.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հանգստաւէտ,adjective,"""['easy, comfortable, peaceable, quiet, very convenient, very comfortable, commodious, cozy, homy, ho"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հանգստաւէտութիւն,noun,"""['comfort, comfortableness, coziness, leisure.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հանգստութիւն,noun,"""['rest, easiness, comforts, ease, convenience, repose, quiet, peace, tranquility.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հանգրուան,noun,"""['stay, place of rest, base; wet-dock, hamlet, dwelling, platform; terminus, lodging, abode; stage.'"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հանդարտեցնել,verb,"""['to tranquilize, to still, to quiet, to appease, to soften, to pacify, to set at ease, to comfort, "",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հանդարտիլ,verb,"""['to become calm, tranquil, to be quiet, to subside.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հանդարտութիւն,noun,"""['tranquility, repose, calmness; phlegm, coolness, stillness; quietness, quiet, peace.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հանդերձարան,noun,"['A dressing room; a room where clothes are kept or where people get dressed.'],",Modern Armenian compound.,compound,,--,unknown
հանդիպումն,noun,"""['meeting, happening, coincidence, encounter; occurrence; hit.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հանդիսաւոր,adjective,"""['ceremonious, solemn; public, performed publicly; celebrated; magnificent, fancy, gorgeous, splendi"",",Derived from Old Armenian with -ավոր (-awor).,derivation,Old Armenian,--,unknown
հանդիսաւորապէս,adverb,"""['solemnly, pompously, gloriously.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հանդիսաւորութիւն,noun,"""['ceremony, solemn performance; ceremoniousness; seriousness, solemnness; pomp, glory.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հանդիսութիւն,noun,"""['event, ceremony.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հանդուրժողութիւն,noun,"['tolerance.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հանրածանօթ,adjective,"""['familiar or known to all, well-known, notable, eminent, famous, notorious.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հանրահռչակ,adjective,"""['celebrated everywhere, celebrated, notable, eminent, well-known, famous.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հանրայայտ,adjective,"""['known to the public, universally known, known to everyone.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հանրապետութիւն,noun,"""['republic, commonwealth.']"",",Modern Armenian compound.,compound,,--,unknown
հանրութիւն,noun,"['public; community.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հանրօգուտ,adjective,"""['useful to all, of public benefit, utility, use.']"",",From Russian via international vocabulary.,loanword,Russian,--,unknown
հաշուապահութիւն,noun,"""['bookkeeping, accountancy, accounting.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաշուետուութիւն,noun,"['Accountability; reporting; the act of giving an account and presenting accounts for examination an,",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաշտութիւն,noun,"""['conciliation, reconcilement, propitiation, peace, arrangement.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հասարակութիւն,noun,"['community; public.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հասկացողութիւն,noun,"""['understanding, intellect, intelligence, comprehension, perception; agreement.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հասկցուիլ,verb,"['to understand each other; to be understood.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հասութաբեր,adjective,"""['Profitable, yielding income, productive.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հասուննալ,verb,"['To become ripe or mature (in all senses).'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հասունութիւն,noun,"""['ripeness, matureness, maturation, full age.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հասունցնել,verb,"""['to make ripe; to develop, to maturate.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաստատամտութիւն,noun,"""['resolvedness, sturdiness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաստատապէս,adverb,"""['firmly, certainly, positively, decidedly.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաստատութիւն,noun,"['firmness; affirmation; institution; establishment.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաստատուիլ,verb,"""['to establish oneself, to settle down, to be confirmed, to be founded; to become strong, firm, fast"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաստատումն,noun,"""['affirmation, assertion, consolidation.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաստատօրէն,adverb,"""['firmly, consistently, categorically, constantly.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հատուցումն,noun,"""['reward, payment, reimbursement, recompense, gift, compensation, indemnity, renumeration, offering,"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հարազատութիւն,noun,"""['legitimacy, fraternity.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հարաւային,adjective,"""['southern, austral, meridional.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
հարթութիւն,noun,"""['levelness, smoothness, evenness, flatness, level, smoothing, equality.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հարիւրամեակ,noun,"""['a hundred years standing, centenary; a 100-year period.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հարկադրաբար,adverb,"""['forcibly, enforcively, involuntarily.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հարկադրանք,noun,"""['obligation, necessitation, constraint.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հարկադրիչ,adjective,"""['coercive, compulsory, compulsive, enforcive, obligatory.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հարկադրուիլ,verb,"""['to be obliged, obligated, forced, necessitated, constrained, compelled.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հարուածել,verb,"""['to strike, to beat, to smite, to slap, to cane, to rap.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հարստահարութիւն,noun,"""['oppression, vexation, outrage, exaction, extortion, violence.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հարստացնել,verb,"""['to enrich, to make rich; to brace.']"",",From Russian via international vocabulary.,loanword,Russian,--,unknown
հարստութիւն,noun,"""['royal dynasty, power, sway, rule, domination; riches, wealth, richness, fortune, wealthiness, opul"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հարցադրել,verb,"""['to ask a question, to raise a question, to question.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հարցադրումն,noun,"""['questioning, the asking of a question; placing under question; the way in which a question is aske"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հարցազրոյց,noun,"['interview.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հարցախոյզ,noun,"""['curious, researching; opinion poll, survey.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հարցուփորձել,verb,"""['to interrogate, to examine.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հարցուփորձուիլ,verb,"""['to be interrogated, to be examined.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հացկերոյթ,noun,"""['banquet, feast, regale, entertainment.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաւանաբար,adverb,"""['probably, likely, plausibly.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաւանութիւն,noun,"""['approval, consent, agreement, concourse, assent, persuasion, approbation, acquiescence.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաւանօրէն,adverb,"""['probably, likely.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաւասարազօր,adjective,"['Equal in strength; equally powerful; of the same force.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաւասարակշռել,verb,"['To balance; to make balanced; To place a counter-weight against another weight so that the two bec,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաւասարակշռութիւն,noun,"""['balance, equibalance, equilibration, equilibrium, equiponderance, balancement.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաւասարակշռուիլ,verb,"['To be made balanced; to be brought into equilibrium.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաւասարապէս,adverb,"""['equally, alike.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաւասարութիւն,noun,"""['equality, levelness, evenness, parity, uniformity, equation, conformity, equalization.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաւատալիք,noun,"""['doctrine, the principles, belief.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաւատարմութիւն,noun,"""['faith, fidelity, loyalty, plain-dealing, faithfulness, allegiance, good faith.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաւատարմօրէն,adverb,"""['faithfully, loyally, reliably.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաւատացեալ,noun,"""['believer, faithful; loyal, trusted.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաւատաւոր,adjective,"""[""""spiritual, having great conviction in one's faith or beliefs; nun, monk.""""]"",",Derived from Old Armenian with -ավոր (-awor).,derivation,Old Armenian,--,unknown
հաւատաքննութիւն,noun,"['inquisition.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաւաքաբար,adverb,"['collectively.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաւաքածոյ,noun,"""['collection, compendium.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հաւաքական,adjective,"['collective.'],",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
հաւաքականութիւն,noun,"""['collectiveness, collection; people, group, team.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հաւաքուիլ,verb,"""['to be collected, to gather, to muster, to assemble, to come together, to crowd, to meet at an appo"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հեգնութիւն,noun,"""['irony, bantering, quizzing, scoff, sarcasm, derision, taunt, jeer.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հեթանոսական,adjective,"""['heathenish, pagan, gentile.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
հեթանոսութիւն,noun,"['Being a pagan or a foreigner (according to the ancient Jews); Paganism; idolatry.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հեծկլտանք,noun,"""['hiccough, hiccup, sob, sobbing.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հեղեղային,adjective,"""['relating to a flood or floods, torrential, diluvial, diluvian.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
հեղեղօրէն,adverb,"""['as a torrent, like a flood.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հեղինակաւոր,adjective,"""['authoritative, decretorial.']"",",Derived from Old Armenian with -ավոր (-awor).,derivation,Old Armenian,--,unknown
հեղինակել,verb,"""['to write, to compose.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հեղինակութիւն,noun,"""['authority, legal power, rule, sway, piece of work, works, production, deed.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հեղձուցիչ,adjective,"""['suffocating, choking, stifling, asphyxiant.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հեշտութիւն,noun,"""['ease, facility, delight, pleasure, deliciousness, voluptuousness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հեռատեսութիւն,noun,"""['farsightedness, prospection, presbyopia, over-sight, long-sightedness, hypermetropia.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հեռացուիլ,verb,"""['To be removed; To be driven out, expelled, banished, or ousted (from a house, school); To be uproo"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հեռացումն,noun,"""['the act of leaving, departing, or moving away; departure, withdrawal; the act of being removed or "",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հեռաւորութիւն,noun,"""['distance, remoteness, absence.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հետազօտել,verb,"""['to research, to explore, to seek for, to seek after, to search, to investigate, to inquire into, t"",",Modern Armenian compound.,compound,,--,unknown
հետազօտութիւն,noun,"""['investigation, inquiry, research, examination, exploration; curiosity.']"",",Modern Armenian compound.,compound,,--,unknown
հետազօտուիլ,verb,"""['to be researched, explored.']"",",Modern Armenian compound.,compound,,--,unknown
հետազօտումն,noun,"""['research, investigation, exploration, search, inquiry.']"",",Modern Armenian compound.,compound,,--,unknown
հետախուզել,verb,"""['to track, to investigate, to research.']"",",Modern Armenian compound.,compound,,--,unknown
հետապնդել,verb,"""['to pursue, to proceed along, to prosecute, to run after, to chase.']"",",Modern Armenian compound.,compound,,--,unknown
հետապնդուիլ,verb,"""['to be pursued, chased, to be run after, to be prosecuted.']"",",Modern Armenian compound.,compound,,--,unknown
հետապնդումն,noun,"""['pursuit, chase, proceedings, prosecution.']"",",Modern Armenian compound.,compound,,--,unknown
հետաքրքրուիլ,verb,"""['to be curious, to have an interest, to wonder.']"",",Modern Armenian compound.,compound,,--,unknown
հետեւաբար,adverb,"['consequently; therefore.'],",Modern Armenian compound.,compound,,--,unknown
հետեւողական,adjective,"""['something that follows as a natural consequence, in accordance with what preceded it; logical, con"",",Modern Armenian compound.,compound,,--,unknown
հետեւողականութիւն,noun,"['consistency.'],",Modern Armenian compound.,compound,,--,unknown
հետեւողականօրէն,adverb,"['consistently.'],",Modern Armenian compound.,compound,,--,unknown
հետեւցնել,verb,"""['to make to follow, to extract a consequence, to conclude, to infer, to deduce.']"",",Modern Armenian compound.,compound,,--,unknown
հերոսամարտ,noun,"""['gigantomachy, heroic battle, the battle of heroes.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հերոսութիւն,noun,"""['heroism, undauntedness; heroic act.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հզօրացնել,verb,"""['to fortify, to strengthen, to make strong.']"",",From Russian via international vocabulary.,loanword,Russian,--,unknown
հզօրացումն,noun,"['strengthening.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հզօրութիւն,noun,"""['the state of being strong or powerful, strength; power, force, might; intensity, forcefulness; for"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հիասթափութիւն,noun,"""['disillusion, disenchantment.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հիմնադրութիւն,noun,"""['foundation, institution, creation, establishment.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
հիմնադրուիլ,verb,"""['to be founded, to be established.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հիմնարկէք,noun,"['foundation.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
հիմնարկութիւն,noun,"""['foundation, establishment, institution, concern.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
