title,part_of_speech,definition,priority,suggested_etymology,source
բացասել,verb,"['To state openly, to declare publicly; To give a negative answer, to deny, to say ""no""; To reject, to not accept, to not fulfill.']",2,,
բացուածք,noun,"['opening, orifice, chunk, aperture.']",2,,
բացուիլ,verb,"['to be opened, open.']",2,,
բաւարար,adjective,"['sufficient, satisfactory, adequate, gratifying.']",2,,
բաւել,verb,"['to be enough, to be sufficient, to suffice.']",1,,
բեմադրել,verb,"['to stage, to direct.']",2,,
բերկրանք,noun,"['mirth, joy, joyfulness, gaiety, cheerfulness, delight, merriness.']",2,,
բերուիլ,verb,"['to be brought, to be brought forward, to be fetched.']",2,,
բեւեռ,noun,"['nail, spike, pole.']",1,,
բիւրօ,noun,['bureau.'],1,,
բխիլ,verb,"['to spring, to stream, to arise, to flow, to spout, to gush, to proceed; to derive, to emanate, to emerge.']",1,,
բնակիլ,verb,"['to dwell, to live, to lodge, to inhabit, to reside, to stay.']",2,,
բնաջնջել,verb,"['to annihilate, to exterminate.']",2,,
բնաւ,adverb,"['not at all, never, in no wise, not in the least.']",1,,
բնոյթ,noun,"['nature, essence.']",1,,
բոլորել,verb,"['To twist into a circular shape, to weave into a ring; To encircle, to surround by forming a circle; To complete a cycle, to finish a round, to complete (an anniversary, orbit, etc.); To gather together, to assemble, to bring together; To shrink back, to conceal from others.']",2,,
բոյս,noun,"['plant, herb.']",1,,
բորբոքիլ,verb,"['to be inflamed, to blaze, to ignite, to kindle, to flare up; to get angry, to be mad, to get into a passion.']",2,,
բուժիչ,adjective,"['healing, curative, remedial; healer, curer.']",2,,
բուժուիլ,verb,"['to be treated medically, to be healed, to be cured; to be alleviated, soothed.']",2,,
բուսնիլ,verb,"['to spring, to shoot, to vegetate, to sprout, to spring up, to grow.']",2,,
բռնաւոր,noun,"['tyrant, usurper; impetuous, violent, tyrannical.']",2,,
բռնկիլ,verb,"['to catch fire, to ignite, to blaze up, to burst into flame; (figuratively) to get angry, to become fiery or passionate, to flare up.']",2,,
բռնուիլ,verb,"['to be held, to be taken, to be arrested, to be caught.']",2,,
գահակալ,noun,"['heir, successor to the throne.']",2,,
գանգատիլ,verb,"['to complain, to grumble, to express distress.']",2,,
գանձել,verb,"['to amass treasure or wealth, to hoard; to accumulate (figuratively), to store up; to collect payments due to a treasury.']",2,,
գանձուիլ,verb,"['to be amassed (treasure or wealth), to be hoarded; to be accumulated (figuratively), to be stored up; to be collected (payments due to a treasury).']",2,,
գաւակ,noun,"['The hind part of a horse, from the tail up to the back; By extension: The hind part of other four-legged animals, and even of a person.']",1,,
գգուանք,noun,"['tenderness, caress, blandishment, endearments, cajolery, flattery.']",2,,
գգուել,verb,"['to caress or fondle lovingly; (figuratively) to show affection, respect, or care.']",2,,
գեղակերտ,adjective,['beautifully built.'],2,,
գեղատիպ,adjective,"['beautiful, elegant, pretty; beautifully printed.']",2,,
գերակշիռ,adjective,"['predominant, prevailing, prevalent, preponderant.']",2,,
գէր,adjective,"['fat, obese, corpulent (for people or animals); thick, bulky, swollen, overweight (due to fat or bulk); fertile, rich (describing soil); oily, juicy, rich in fat (in food).']",1,,
գինովնալ,verb,"['to get drunk, to get intoxicated, to be drunken.']",2,,
գիտակ,noun,['Knowledgeable; informed; well-versed; familiar; aware.'],1,,
գիտակցիլ,verb,"['to feel, to be conscious of, to be aware of.']",2,,
գիտցուիլ,verb,"['to be known, to be acquainted.']",2,,
գլխացաւ,noun,['headache.'],2,,
գլխաւոր,adjective,"['chief, principal, main, cardinal, dominant; boss.']",2,,
գծագրել,verb,"['to draw, to sketch, to delineate, to design, to draft, to graph, to pencil, to describe, to plan.']",2,,
գծանկար,noun,"['graphic, drawing.']",2,,
գծուիլ,verb,"['to be crossed out, ruled, regulated, drawn, penciled, drafted, designed.']",2,,
գմբէթ,noun,"['dome, cupola.']",1,,
գնդախաղ,noun,"['a game involving a ball, e.g. football, tennis, baseball, golf etc.']",2,,
գնուիլ,verb,"['to be bought, to be purchased.']",2,,
գողնալ,verb,"['to steal, to rob, to plunder, to pilfer.']",2,,
գոյամարտ,noun,['struggle of life.'],2,,
գոյացնել,verb,"['to yield, to produce, to bring to, to originate, to substantiate.']",2,,
գոյժ,noun,"['sad news, lamentation.']",1,,
գոյք,noun,"['possessions, property, thing, matter, chattels, effects.']",1,,
գովասանք,noun,"['praise, laud, eulogy, compliment, commendation.']",2,,
գովերգել,verb,"['to praise, to exalt, to sing, to celebrate.']",2,,
գործուիլ,verb,"['to be worked, operated, fabricated, performed, to be enacted.']",2,,
գոցել,verb,"['to shut, to close, to enclose, to lock.']",1,,
գոցուիլ,verb,"['to be closed, to be shut, enclosed; to skin over (wound).']",2,,
գուժել,verb,['to give sad news.'],2,,
գունատիլ,verb,"['to turn pale, to fade, to lose color, to pale.']",2,,
գունաւոր,adjective,"['colored, illuminated; dyed.']",2,,
գուցէ,adverb,['perhaps.'],1,,
գտնուիլ,verb,"['to be found; to be situated, to be located at; to be, to exist.']",2,,
գրագէտ,adjective,"['literate; man of letters, lettered, literary man, writer.']",2,,
գրաւել,verb,"['to occupy, to seize, to confiscate, to appropriate, to invade.']",2,,
գրաւիչ,adjective,"['attractive, striking, thrilling, enchanting, engaging.']",2,,
գրաւուիլ,verb,"['To be pledged (something taken as collateral); To be seized or taken, whether legally or illegally; to be captured, conquered, appropriated, grabbed, or confiscated; To be settled or occupied by others; To be attracted, charmed, enchanted, captivated.']",2,,
գրուածք,noun,"['writing, text, article; paper.']",2,,
գրուիլ,verb,['to be written.'],2,,
գրքոյկ,noun,"['booklet, small book, pamphlet, tract; memorandum.']",2,,
գրքուկ,noun,"['booklet, small book, pamphlet, tract; memorandum.']",2,,
գրքունակ,adjective,"['bookish, what is found in books, characterized for inclusion in books.']",2,,
դալկահար,adjective,"['jaundiced, pale, pallid, wan, icterical, marcid, blank, yellow.']",2,,
դանդաղիլ,verb,"['To move slowly, heavily, sluggishly; to delay or tarry.']",2,,
դաշունել,verb,"['to stab with a poniard, to dagger, to transpierce.']",2,,
դառնանալ,verb,"['to acquire a bitter or sour taste; to spoil; to feel bitterness (from tasting something bitter); (figurative) to develop a bitter attitude, to feel sorrow or anger, to resent; to become unpleasant, painful, or unlovable.']",2,,
դասաժամ,noun,"['class time, class period, the time duration of class session.']",2,,
դասախօս,noun,['lecturer.'],2,,
դասապահ,noun,['class period.'],2,,
դասուիլ,verb,"['to be classified; to be sorted, to be ordered.']",2,,
դատավճիռ,noun,"['sentence, award, judgement.']",2,,
դատուիլ,verb,['To be judged; To have a person’s case examined and a verdict issued by a judge; To be condemned; to be subjected to punishment.'],2,,
դարաւոր,adjective,"['secular, centuries old; age-old.']",2,,
դարբնոց,noun,"['forge, smithy, melting house, smithery, ironworks, workshop.']",2,,
դարձեալ,adverb,"['again, once more, moreover; bis; also.']",2,,
դարմանել,verb,"['to remedy, to treat, to cure, to foster, to restore, to repair.']",2,,
դաւանանք,noun,"['profession (of faith), confession, declaration of faith.']",2,,
դաւանել,verb,"['to profess, to confess, to avow.']",2,,
դաւանիլ,verb,"['to profess, to confess, to avow.']",2,,
դաւել,verb,['To plot; to scheme; to lay a plot or conspiracy against someone.'],1,,
դեգերիլ,verb,"['to linger, to wander, to rove, to trifle.']",2,,
դեղագործ,noun,"['pharmacist, apothecary, druggist; made of paint.']",2,,
դեղնիլ,verb,"['To turn yellow; to become yellow in color; To grow pale/yellow from illness, fear, etc.; to become sallow.']",2,,
դէմք,noun,"['face; person, of pronouns, of verbs; personality.']",1,,
դէպք,noun,['event; accident; incident.'],1,,
դժգոհանք,noun,"['displeasure, discontent, dissatisfaction, complaint.']",2,,
դժգոհիլ,verb,"['to be displeased, to express dissatisfaction, to remain unsatisfied, to be dissatisfied, to complain.']",2,,
դժուարաւ,adverb,"['hardly, difficultly, with difficulty; painfully.']",2,,
դժուարիլ,verb,['To find something difficult; to experience difficulty; to be unable; To be reluctant; to take something badly; to feel offended or displeased.'],2,,
դիզել,verb,"['to heap up, to pile, to accumulate, to amass.']",1,,
դիմագիծ,noun,"['lineament, face.']",2,,
դիպուած,noun,"['accident, event, occurrence, hazard, occasion, episode, fortuity, chance.']",2,,
դիտուիլ,verb,"['to be observed, remarked, studied, considered, contemplated, watched.']",2,,
դիւրանալ,verb,"['to become easy, to be facilitated.']",2,,
դիւրաւ,adverb,"['easily, readily, with facility, pliantly.']",2,,
դղեակ,noun,"['castle, fortress.']",1,,
դողդղալ,verb,"['to shake or quiver due to cold, fear, or illness; to tremble from excitement, nervousness, or emotion; to vibrate or quiver slightly due to external forces.']",2,,
դողդողալ,verb,"['to shake or quiver due to cold, fear, or illness; to tremble from excitement, nervousness, or emotion; to vibrate or quiver slightly due to external forces.']",2,,
դպրեվանք,noun,"['clerical college, seminary.']",2,,
դռոյթ,noun,"['crew, band, crowd; assault, attack.']",1,,
դրդուիլ,verb,"['to be pushed, incited, instigated, stimulated; to be shaken; to move, to stagger.']",2,,
դրոշմել,verb,"['to stamp, to print, to mark, to confirm; to register, to seal, to impress.']",2,,
դրուագ,noun,"['sculpture, thin plate of metal, chapter, episode.']",2,,
դրուածք,noun,"['the way in which something is done; position; the accepted order; placement, arrangement.']",2,,
դրուատել,verb,"['to praise, to laud, to acclaim, to recommend.']",2,,
դրուատիք,noun,"['praise, laud, eulogy.']",2,,
դրուիլ,verb,"['to be set, put, laid.']",2,,
դրօշ,noun,"['flag, standard, banner, ensign; statue.']",1,,
ելեւէջ,noun,"['ups and downs, vicissitudes; modulation.']",2,,
ելոյթ,noun,"['public performance; insulting utterance (written or spoken), tirade.']",1,,
ենթակայ,noun,['subject; subject to.'],2,,
եռամեծար,adjective,"['very worthy of respect, very respectable, very venerable.']",2,,
եռօրեայ,adjective,['lasting or relating to a period of three days; occurring once every three days.'],2,,
երբէք,adverb,"['never; ever, not a bit; sometime.']",1,,
երգուածք,noun,"['The manner, mode, or style of singing.']",2,,
երգուիլ,verb,"['to be sung, chanted.']",2,,
երեխայ,noun,['child; catechumen.'],2,,
երեկոյ,noun,['evening.'],2,,
երեկոյթ,noun,"['evening party, party dinner, soirée.']",2,,
երեւալ,verb,"['to appear, to be seen, to be visible, to be in sight; to seem.']",2,,
երեւիլ,verb,"['to appear, to be seen, to be visible, to be in sight; to seem.']",2,,
երեւնալ,verb,"['to appear, to be seen, to be visible, to be in sight; to seem.']",2,,
երեւոյթ,noun,['appearance.'],2,,
երէց,adjective,"['elder, eldest, senior; grand; eldest brother; pastor, priest.']",1,,
երթեւեկ,noun,"['going and coming, going to and fro, voyage out and in, reciprocating motion, traffic: walk, travel.']",2,,
երկարել,verb,"['to elongate, to lengthen; to extend, to carry; to prolong, to protract; to continue.']",2,,
երկարիլ,verb,"['to grow longer, to extend, to lengthen.']",2,,
երկիւղ,noun,"['fear, fright, terror, dread, awe, timidity, fearfulness, discouragement, phobia.']",2,,
երկիւղած,adjective,"['pious, timorous, conscientious, religious, devout.']",2,,
երկնչիլ,verb,"['to fear, to be afraid, to show reverence or awe.']",2,,
երկսեռ,adjective,"['of or relating to both genders, both male and female, both genders inclusive.']",2,,
երկրամաս,noun,['part of the world; province; region; continent.'],2,,
երկօրեայ,adjective,['lasting or relating to a period of two days; occurring once every two days; two-day-old.'],2,,
եւս,adverb,"['also, more, moreover, besides, still, as yet, anew.']",1,,
եփիլ,verb,"['to come to a boil; the process of raw food boiling in water and softening to become edible, to be cooked; to be subjected to heat in order to become edible, to be baked; (figuratively) to become experienced and skilled in a particular field through continuous work and effort.']",1,,
եփուիլ,verb,"['to come to a boil; the process of raw food boiling in water and softening to become edible, to be cooked; to be subjected to heat in order to become edible, to be baked; (figuratively) to become experienced and skilled in a particular field through continuous work and effort.']",2,,
զայրոյթ,noun,"['passion, wrath, fury; paroxysm: anger, wrath, vexation, indignation, rage.']",2,,
զանգուած,noun,"['bulk, dough, paste, mass, mixture, mole, amalgam.']",2,,
զարնուիլ,verb,"[""to be struck; to strike against one another, to come into collision; to hit one's self, to be shot; to be infatuated, to fall in love.""]",2,,
զաւակ,noun,"['child (son, daughter).']",1,,
զաւեշտ,noun,"['A word or action intended to amuse or make people laugh; a joke, prank, jest; A light theatrical piece written to provoke laughter or satire; a comedy / farce.']",2,,
զբաղցնել,verb,"['to occupy, to employ, to busy, to keep a person busy, to distract, to preoccupy, to engage.']",2,,
զբօսանք,noun,"['amusement, pastime, recreation, distraction, diversion, relaxation; occupation; recess, break.']",2,,
զգացուիլ,verb,"['to be felt; to be moved, to be touched.']",2,,
զեկոյց,noun,['Report; information about a matter communicated (usually orally) to a superior person or authority for management or direction.'],2,,
զեկուցել,verb,"['to announce, to advertise, to report, to give notice of, to serve, to declare, to inform; to notify.']",2,,
զեղչուիլ,verb,['to be discounted; to be contracted; to be darkened.'],2,,
զեփիւռ,noun,"['breeze, a pleasant wind, zephyr.']",2,,
զզուանք,noun,"['distaste, disgust, dislike, distaste, nausea; hatred, detestation; horror; abomination, vexation, aversion, loathing, repulsion.']",2,,
զզուիլ,verb,"['To feel strong moral disgust or aversion toward a person or thing; to loathe, to abhor, to be unable to tolerate; to be disgusted by; To feel physical revulsion; to be nauseated; to be repelled; To grow tired of; to be fed up with; to no longer be able to stand something.']",2,,
զինուիլ,verb,"['to be armed, to arm one’s self.']",2,,
զինուոր,noun,['soldier.'],2,,
զլանալ,verb,"['to refuse, to retract, to deny; not to accept, to deprive, to disown, to disregard; to retain.']",2,,
զոհուիլ,verb,"['to be sacrificed, to immolate, to be martyred (in battle).']",2,,
զովանալ,verb,"['To feel cool after heat; to be refreshed; to feel pleasantly cooled; to cool off; To have a fever subside, to have thirst or burning heat pass away.']",2,,
զուարթ,adjective,"['Expressing joy, cheerful, merry; Bringing joy, lively; Energetic, vibrant, spirited; Healthy-looking, fresh, vigorous in appearance, lush; Bright, radiant, vivid; Open-hearted, welcoming, pleasant.']",2,,
զսպուիլ,verb,"['to be restrained, controlled, or curbed; to be subdued, suppressed, subjected, oppressed, or stifled at the outset; to be softened, calmed, or pacified; to control oneself, to refrain, to forbear.']",2,,
զրկանք,noun,"['hardship, privation, injustice, wrong, harm, injury, destitution, bereavement.']",2,,
զրկուիլ,verb,"[""to deprive one's self, to be bereaved; to be deprived of.""]",2,,
զրոյց,noun,"['tale; chat, conversation; story.']",1,,
զրպարտել,verb,"['to calumniate, to slander, to accuse, to defame, to traduce, to malign.']",2,,
զօրակցիլ,verb,"['to do military service together, to soldier together with someone; to join in support with someone, to stand beside, to aid during times of need or conflict.']",2,,
զօրանալ,verb,"[""to grow strong, to gather strength, to take root, to fortify, to recover one's self.""]",2,,
զօրանոց,noun,"['barracks, garrison.']",2,,
զօրաշարժ,noun,"['Troop movement — the mobilization or movement of forces aimed at achieving a specific strategic objective; Military exercise — a large-scale field maneuver or war game, typically lasting several weeks, in which part of the army simulates combat against the other using non-lethal weapons.']",2,,
զօրավար,noun,"['commander, general.']",2,,
զօրացնել,verb,"['to fortify, to strengthen, to enforce.']",2,,
զօրք,noun,"['army, militia, forces, troops.']",1,,
էապէս,adverb,"['really, in reality, essentially, substantially.']",1,,
էջք,noun,"['descent, descension, fall, pitch.']",1,,
ընդգրկել,verb,['to embrace; to contain.'],2,,
ընդմիջել,verb,"['to interrupt, to discontinue, to cut off, to hinder.']",2,,
ընդվզիլ,verb,"['to revolt, to rebel, to resist, to rise in insurrection.']",2,,
ընծայ,noun,"['present, gift, offer, donation, offering.']",1,,
ընծայել,verb,"['to present, to offer, to give, to dedicate, to ascribe.']",2,,
ընկալել,verb,"['to perceive, grasp, understand, accept, absorb, comprehend.']",2,,
ընկճուիլ,verb,"['to be oppressed, to be brought down; to succumb, to be overcome, to fall, to fail, to yield, to be overwhelmed.']",2,,
ընկրկիլ,verb,"['to retreat, to be driven back, to back down, to recede, to retract, to revert, to flinch.']",2,,
ընձեռել,verb,"[""To offer or provide something to someone; to supply, grant, or bestow; To obtain, to possess or hold in one's hand; To undertake, to embark on (literally: to lay a hand on); To award or assign something to one of the claimants by court ruling.""]",2,,
ընձեռնել,verb,"[""To offer or provide something to someone; to supply, grant, or bestow; To obtain, to possess or hold in one's hand; To undertake, to embark on (literally: to lay a hand on); To award or assign something to one of the claimants by court ruling.""]",2,,
ընտրուիլ,verb,"['to be elected, chosen, selected, preferred.']",2,,
ըսուիլ,verb,"['to be said, told, called.']",2,,
թագաւոր,noun,['king.'],2,,
թախիծ,noun,"['affliction, grief.']",1,,
թակարթ,noun,"['trap, snare, net, spring.']",2,,
թաղուիլ,verb,"['to be placed in a grave; to be buried; to be hidden under the ground; to be covered; to be consigned to oblivion; to be forgotten; to be deeply absorbed in water, thoughts, or reading.']",2,,
թառիլ,verb,"['to perch, to roost, to sit.']",1,,
թաւալիլ,verb,"['to roll, to tumble; to rotate, to revolve.']",2,,
թաւշեայ,adjective,"['made of velvet; velvety, velvet; (figurative) like velvet; soft, smooth, and luxurious.']",2,,
թափանցել,verb,"['to pass through, to go through, to penetrate from one side to the other, to seep in; to pass through a substance, illuminating the other side; to delve into something deeply, to understand its secrets.']",2,,
թափառիլ,verb,"['to wander, to roam, to stray, to rove, to stroll.']",2,,
թափիլ,verb,"['to pour out, to flow, to spill; to drop, to fall.']",1,,
թափուիլ,verb,"['to be poured out, to be shed, to spill, to flow; to discharge itself, to spread, to drop, to fall, to throw down.']",2,,
թափօր,noun,"['procession, parade.']",1,,
թաքնուիլ,verb,"['to hide, to lurk, to abscond.']",2,,
թաքստոց,noun,"['hiding place, concealment, cache, hideout.']",2,,
թելադրել,verb,"['to suggest, to inspire, to instigate, to incite, to counsel, to dictate.']",2,,
թերաճ,adjective,"['undeveloped, underdeveloped.']",1,,
թերանալ,verb,"['to fail, to miss, to be wanting, to be deficient, to want, to come short; to forfeit, to break.']",2,,
թերեւս,adverb,"['perhaps, it may be.']",2,,
թերթատել,verb,"['to browse, to turn over and look at the pages of a book, to turn over, to peruse rapidly; to pluck the pages of a book or the petals of a flower.']",2,,
թեւ,noun,"['arm, wing.']",1,,
թիւ,noun,"['number, figure, order, rank, list.']",1,,
թիւր,adjective,"['Crooked, deviated from the true/straight direction; Wrong, mistaken, erroneous, incorrect; Turned away from the right path; perverted, unjust, evil, perverse, wicked; Astray; Wrongly, incorrectly.']",1,,
թնդանօթ,noun,"['cannon, gun.']",2,,
թնդացնել,verb,"['to cause to rumble, to ding, to ring.']",2,,
թշնամանք,noun,"['insult, offence, abusiveness, revilement, injury, assault, affront, abuse.']",2,,
թոհուբոհ,noun,"['chaos, confusion, disorder.']",2,,
թուել,verb,"['to count, to number, to calculate, to rank, to compute, to range, to reckon.']",1,,
թուիլ,verb,"['to seem, to look, to appear, to sound.']",1,,
թրթռալ,verb,"['to vibrate, to oscillate, to flutter, to pulse, to pulsate; to shiver.']",2,,
թրծուիլ,verb,['to be baked (as for a brick); to be forged (in character).'],2,,
թրջուիլ,verb,"['to be made wet, to be soaked, to be steeped; to get wet.']",2,,
թօթափել,verb,"['to shake, to joggle, to jolt, to jog, to toss, to throw off.']",2,,
ժամացոյց,noun,"['clock, watch.']",2,,
ժայթքիլ,verb,"['to erupt; to become active and eject lava, ash, and gases; to explode with fire and noise resembling an active volcano.']",2,,
ժպրհիլ,verb,"['To dare, to venture, to have the audacity or courage to attempt something bold or difficult.']",2,,
իդէալ,noun,"['ideal; a perfect model, standard, or ultimate goal; perfect, exemplary, model.']",1,,
իմամ,noun,"['imam, the person who leads prayers in a mosque.']",1,,
իմացնել,verb,"['to warn, to inform, to tell; to apprise.']",2,,
ինքնաբաւ,adjective,"['able to provide for oneself, not needing help from others; self-sufficient, self-reliant, independent.']",2,,
ինքնակոչ,adjective,"['self-invited, uninvited; self-styled, self-proclaimed, would-be, soi-disant.']",2,,
ինքնատիպ,adjective,"['self-type, having its own unique type, distinct, original, unique, possessing specific characteristic traits.']",2,,
իջեցնել,verb,"['to take down, to lower, to descend, to get down, to let, to reduce, to abate.']",2,,
իսկապէս,adverb,"['really, in fact, essentially.']",2,,
իտէալ,noun,"['ideal; a perfect model, standard, or ultimate goal; perfect, exemplary, model.']",1,,
իրապէս,adverb,"['really, in effect, positively; de facto, substantially: naturally.']",2,,
իրաւ,adjective,"['really, truly, justly, rightly; real, true, just; the just.']",1,,
իրաւագէտ,noun,"['jurist, lawyer, barrister, advocate.']",2,,
իրաւամբ,adverb,"['justly, rightly, lawfully, de jure.']",2,,
իրաւարար,noun,"['arbitrator, mediator, just judge; one who upholds justice and fairness; one who judges righteously; a neutral judge or mediator in disputes.']",2,,
իրաւունք,noun,['right.'],2,,
իրողապէս,adverb,"['in reality, actually, truly, de facto.']",2,,
իրօք,adverb,"['in fact, really, truly, certainly.']",1,,
իւղանկար,noun,['a picture painted with oil-based paints; oil painting.'],2,,
իւրացնել,verb,"['to appropriate to himself, to usurp, to assimilate, to possess of.']",2,,
լայննալ,verb,"['to widen, to become wider, to enlarge.']",2,,
լարուիլ,verb,"['to be tightened or stretched; to be wound up; to become agitated, provoked, or antagonized; to be organized; to be tuned; to become focused or concentrated.']",2,,
լաւապէս,adverb,"['well, in a good way; thoroughly.']",2,,
լեցուիլ,verb,"['to become full, to be filled; to fill oneself; to teem, to be crowded.']",2,,
լեցուկ,adjective,"['completely filled or occupied; full, filled.']",2,,
լիացնել,verb,"['to complete, to heap up, to fill up.']",2,,
լծուիլ,verb,"['to be joined, to be coupled, to be coupled or attache with or to a yoke; to be attached; to be committed to or engaged to a particular activity.']",2,,
լուալ,verb,"['to wash, to bathe, to rinse, to launder; to shame, to rebuke, to disgrace, to dishonor.']",1,,
լուացք,noun,['laundry; the action or process of washing clothes and linen; clothes and linen that need to be washed or that have been newly washed.'],2,,
լուծուիլ,verb,"[""to be dissolved, to untie; to unravel, to be decomposed, to break up; to extricate one's self, to get loose; to be solved.""]",2,,
լուսաբաց,noun,"['dawn, morn, daybreak.']",2,,
լուսնէջք,noun,['Moon landing.'],2,,
լպիրշ,adjective,"['insolent, shameless, brazen, impudent.']",1,,
լսուիլ,verb,"['to be heard, to be audible.']",2,,
լրանալ,verb,"['to be through, to be finished, to end, to be complete, to expire.']",2,,
խաբեբայ,noun,"['Deceptive; deceitful; misleading; Characteristic of deception; involving trickery; A deceitful person, deceiver; Bait used to deceive and catch an animal.']",2,,
խաբուիլ,verb,"['to be deceived, cheated, tricked; to be in error.']",2,,
խախտիլ,verb,"['to move, to be removed, displaced.']",2,,
խաղավայր,noun,"['playground, playing field; athletic field; stadium; gambling place.']",2,,
խաղցուիլ,verb,"['to be moved from its place; to be entertained; to be made to play, dance; to be tricked, made fun of; to be cast in a performance.']",2,,
խամրիլ,verb,"['to fade, to wither, to tarnish, to dry; to waste away, to languish, to grow weak.']",2,,
խանձուիլ,verb,"['to be burnt, parched, scorched, set on fire, consumed by fire, roasted.']",2,,
խաչուիլ,verb,['to be crucified; to be tormented; to suffer.'],2,,
խապրիկ,noun,"['news, any news, insignificant news.']",2,,
խարանել,verb,"['to sear the body or skin with heated iron, to brand; Figuratively: to stigmatize or shame publicly; to disgrace.']",2,,
խարդախել,verb,"['to falsify, to cheat, to counterfeit, to forge, to trick, to adulterate.']",2,,
խարոյկ,noun,"['wood pile, pyre, woodhouse, stake; fire, bonfire.']",2,,
խարսխել,verb,"['to cast anchor, to base, to fix, to ground, to moor.']",2,,
խելացնոր,adjective,"['frenetic, delirious, raving, mad, frantic, delirious, wild.']",2,,
խենթենալ,verb,"['to go crazy, to become foolish, senseless, mad, to go nuts, to be deranged.']",2,,
խզուիլ,verb,"['to be cut off, broken, or interrupted; to be disconnected or discontinued.']",2,,
խիզախել,verb,"['to brave, to defy, to hector, to swagger, to take courage, to face, to attack boldly, to risk.']",2,,
խիւս,noun,"['paste; pap, pulp, cataplasm; poultice, gruel, starch.']",1,,
խլեակ,noun,"['wreckage, fragment, remaining part (of a shipwreck); miserable survivor after a shipwreck, massacre etc.']",1,,
խլուիլ,verb,"['to be plucked up, to rooted out, to extirpated.']",2,,
խճողել,verb,"['to fill, to heap up, to stuff, to cram, to jam; to crowd, to overcrowd, to throng, to fill again.']",2,,
խճողուիլ,verb,"['to be filled, heaped up, stuffed, crammed, jammed; to be crowded, overcrowded, congested.']",2,,
խմբանկար,noun,"['group photo, a photograph in which several people are captured together.']",2,,
խմբապետ,noun,"['leader of a group, scout leader, brigade master.']",2,,
խմբել,verb,"['to form a group, to gather or assemble people; to celebrate a holiday or event (more dated or poetic usage); to assemble troops or organize for battle.']",1,,
խմբերգ,noun,"['chorus, choir, song sung by a group.']",2,,
խմբերգել,verb,"['to sing together, to chorus, to say the same thing at the same time.']",2,,
խմբուիլ,verb,"['to gather together, to group together; to be formed into a group, to be gathered or assembled (people).']",2,,
խնամուիլ,verb,"['to be taken care of, to be tended to, to be watched; to be polished, smoothed, tidied.']",2,,
խնդակցիլ,verb,"['To share in someone else’s joy, to rejoice with someone over their happiness.']",2,,
խնդացնել,verb,"['to cause to laugh, to gladden, to rejoice, to divert.']",2,,
խնդուք,noun,['laughter.'],2,,
խնճոյք,noun,"['feast, banquet, entertainment, rejoicing; company.']",2,,
խնջոյք,noun,"['feast, banquet, entertainment, rejoicing; company.']",2,,
խոժոռիլ,verb,"['to frown, to be angry, to scowl, to be sulky, cross, to swell.']",2,,
խոյանք,noun,"['start, bound, dash, flight, burst, elan.']",2,,
խոնարհիլ,verb,"[""to be humble, to humble one's self, to descend, to deign, to acquiesce, to come down, to yield, to lean, to bow, to bend, to decline.""]",2,,
խորագիր,noun,['title of a book or paper.'],2,,
խորամուխ,adjective,"['deeply penetrating, deeply perceptive, profound, piercing, acute, deep, insightful, thorough.']",2,,
խորանալ,verb,"['to become deeper; to sink, to dive into, to go deeper; to delve deeper, to go into the details of something.']",2,,
խորապէս,adverb,"['deeply, profoundly, soundly.']",2,,
խորացնել,verb,['to deepen; to intensify; to expand.'],2,,
խորիմաստ,adjective,"['Having deep meaning; with inner significance; complex, difficult to understand.']",2,,
խորիսխ,noun,"['honeycomb, wafer: honey-cake.']",2,,
խորովիլ,verb,"['To be cooked directly over fire; to be roasted; Figuratively: To feel intense pain, to burn inside, to be emotionally seared; To feel pity, to be moved with compassion; To plead, to beg, to stir someone’s compassion.']",2,,
խուսափիլ,verb,"['to escape, to avoid, to flee, to get away, to take to flight, to shun, to dodge, to evade.']",2,,
խռովք,noun,"['trouble, turbulence; discord; anger.']",1,,
խստանալ,verb,"['to harden, to be severe, rigorous, austere, strict; to become stubborn; to grow severe, to grow intense; to act tough.']",2,,
խստացնել,verb,"['to make something stricter, harsher, or more intense, severe, to tighten; to intensify, aggravate, or make more difficult; to harden one’s heart; to make emotionally rigid or unfeeling.']",2,,
խտանալ,verb,"['to condense; to thicken; to grow in number, to multiply.']",2,,
խտացնել,verb,"['to condense, to condensate, to concrete; to increase, to multiply (the ranks of).']",2,,
խրախճանք,noun,"['feast, banquet, entertainment, festivity, rejoicing, public joy.']",2,,
խրախոյս,noun,"['encouragement, incitement, support.']",2,,
խրատել,verb,"['to advise, to admonish; to warn, to counsel, to excite to, to recommend.']",2,,
խրտչիլ,verb,"['to be scared, to be frightened, to startle, to take fright, to shy.']",2,,
խօսուիլ,verb,"['to be spoken, told, to be talked about.']",2,,
խօսք,noun,"['word, speech, sentence; conversation.']",1,,
ծագիլ,verb,"['to shine, to dawn, to begin, to appear, to rise, to emanate, to come out, to spring, to proceed from, to derive; to arise, to irradiate, to sprout forth.']",1,,
ծալք,noun,"['fold, wrinkle.']",1,,
ծախուիլ,verb,"['to be sold, to sell, to go off, to be disposed of; to commit treason, to be bribed, to accept a bribe.']",2,,
ծախսուիլ,verb,"['to be spent, to be expended, to be wasted.']",2,,
ծածանիլ,verb,"['to sway, to flutter, to ripple, to oscillate, to undulate, to wave gently.']",2,,
