title,part_of_speech,definition,suggested_etymology,notes
ՄԱՅԼԵԼԷԴ,,['«ի սկզբանէ». ունի միայն Բառ երեմ. էջ 215։'],Etymology needs research,
ՄԱՅԾՐԱՅ,,"['«գաւաթ» Լծ. փիլ. (Պատժա-նակն մեծ մայծրայ է.. զոր տօսդաքան ա-սեն). ունին միայն ԱԲ և Հացունի, ձաղեր 76, 104։-Նոյն բառը Նորայր, Բառ. ֆռանս 180 ա, 760 ա համարում է «ծառի վրայ ուռ կամ այտոյց, broussin» (իբր մհյ. բառ). որ կրկնում են Քաջունի, Ա. 1176, Գ. 156 և Գաբ. բառ.։']",Etymology needs research,
ՄԱՅՁԵԼ,,"['«տեսնել, համտեսելով այնպես իմանալ». նորագիւտ բառ, որ մէկ անգամ գտնում եմ գործածուած Վստկ. էջ 122. «Որ մայզես որ քաղցրութիւնն բաւական է, և լից յապիկած աման»։']",Etymology needs research,
ՄԱՅՊԵՏ,,"['. պարսկական անծանօթ մի պաշ-տօնեայ, որ ունին Փարպ. 262, 291, 302 Եղիշ. 139։']",Etymology needs research,
ՄԱՆԱՅԱՅ,,"['«թոշակ». ունի միայն Բռ. ե-րեմ, էջ 204։']",Etymology needs research,
ՄԱՆԱՆԻԽ,,"[', ո հլ. «մի տեսակ կծու համեմ, թրք. խարտալ, լտ. sinapis arvensis L (ըստ Տիրացուեան, Contributo § 154)» ՍԳր. Ոսկ. մ. բ. 22, եբր. իա. յետնաբար դարձեւ է մա-նանեխ Յայսմ. Յս. որդի. Ոսկիփ. Գա-ղիան։-']",Etymology needs research,
ՄԱՆԱՍՐՈՒԱՆՔ,,"['«կայանք, օթեվանօ». ան-ստոյգ նորագիւտ բառ, որ մէկ անգամ գըտ-նում եմ գործածուած Անկ. գիրք հին կտ. էջ 302. «Այսպիսի պահապանք կան շուրջ զա-թոռոյ աստուածութեանն. կայանք են, մա-նասրուանք են, խոռոչք են, հրեղէնք են, կա-մարազգեստք են, լապտերք են»։ Տեղից յայտնի է որ յոգնակի է և կայանք բառին էլ մերձանիշ է (տե՛ս իմ Նոր բառեր հին մատ. Բ. 232)։']",Etymology needs research,
ՄԱՆԱՒԱՆԴ,,"['«աւելի, յատկապէ՛ս, տճկ. ի՛լլէ, ի՛լլէ քի» ՍԳր. Եզն. Կիւրղ. ծն. (գոր-ծածւում է շատ անգամ մանաւանր օի. մա-նաւանդ թէ). որից նա՛մանաւանդ Ոսկ. յհ. ա. 3։']",Etymology needs research,
ՄԱՆԳԱԽՈՏ,,['. մի տեսակ անձանօթ բոյս է Բժշ. ունի միայն ՀԲուս. § 1967։'],Etymology needs research,
ՄԱՆԳԱՌ,,['(սեռ. մանգառան) «մի տեսակ խմորեղէն» նորագիւտ Ա մնաց. ժզ. 3 և իգ. 29 (այլ ձ. մանդառ)։'],Etymology needs research,
ՄԱՆԳՈՅՆ,,['«ոսոխ». ունի միայն Բռ. երեմ. էջ 204։'],Etymology needs research,
ՄԱՆԴԱԼ,,"[""«մի տեսակ տունկ» Մագ. թղ. 220 (չունի ՆՀԲ), «ծխանելիք մ'է և մարսո-ղութեան դեղոց հետ խառնուի» Բժշ. (ՀԲուս. § 1968), «հալուէ» Ամիրտ. Մագ.։""]",Etymology needs research,
ՄԱՆԵՒՈՐ,,"[', ի-ա հլ. «կապ, երիզապինդ Կնիք հաւ. էջ 275, Իրեն. հերձ. 181. Նիւս. կազմ. (Վերջինիս մէջ այլ ձ. մանևար)։']",Etymology needs research,
ՄԱՆԹԱՆԱՅ,,['«թանձրութիւն». ունի միայն Բառ. երեմ. էջ 204։'],Etymology needs research,
ՄԱՆՁՐԻԼ,,"['«այրիլ, մրկիլ». նորագիւտ բառ, որ մէկ անգամ գործածում է Մագ. թղ. 237. հմմտ. գւռ. մնձրիլ «այրիլ, խանձիլ, մրկիլ». ըստ այսմ սրա հետ կապ չունի նա-խորդ մանձիր «խանգարեալ» բառը, որի վը-րայ տե՛ս նաև Աճառ. ՀԱ 1923, 253.']",Etymology needs research,
ՄԱՆՐԱԳՈՐՈՆ,,['«մաճռակ». ունի միայն Բառ. երեմ. էջ 204։'],Etymology needs research,
ՄԱՇՏԻԼ,,"['«մազերը թափիլ, ճաղատ դաս-նալ» Ղևտ. ժգ. 40, 41. որից մաշտել «խլել, քայքայել, թափել» ԱԲ. մէկ անգամ գտնում եմ գործածուած Ոսկ. Ճառք 857. «Չտանց նոցա քակումն զքարինս և զփայտս մաշտե-լոյ»։']",Etymology needs research,
ՄԱՈՐՊԱՅ,,['«անապականութիւն». ունի մի-այն Բառ. երեմ. էջ 205։'],Etymology needs research,
ՄԱՌԼԱՅ,,['» որից կազմուած է մառլայտակ «անծանօթ մի բոյս». Բժշ. ունի միայն ՀԲուս. § 1986.'],Etymology needs research,
ՄԱՌՕՆԵԱԼ,,['«ի բաց թողեալ». ունի միայն ՀՀԲ. նոյնը Բառ. երեմ. էջ 205 մեկնում է «լքեալ կամ խափանեալ»։'],Etymology needs research,
ՄԱՍԱՐԱՅ,,['«ձիթապտուղ ծեծելու գործիք ձիթղաց» Վստկ. 183. (Զձիթին մասարայսն և զջաղացանին և զամանսն). որից մասա-րաքար «ձիթղացի քար» Վստկ. 184։'],Etymology needs research,
ՄԱՍԿՈՒՈՎԹ,,['«խոտորմունք». ունի միայն Բառ. երեմ. էջ 205։'],Etymology needs research,
ՄԱՍՓԱՐ,,"['«մի տեսակ բոյս, bacile, fe-nouil marin, որ է շումրայ, ծովային սա-միթ». գիտէ միայն Քաջունի, Գ. 159, բայց չէ յիշում Ա. 217 և 847 վերի ֆրանսերէն հո-մանիշների տակ։']",Etymology needs research,
ՄԱՏԱԿԵԼԻ,,"[', անստոյգ բառ. մէկ անգամ ունի Պտմ. աղէքս. 22. «Մատակելի աղաչա-նաց ձև տեառն նմա մատուցանէր»։']",Etymology needs research,
ՄԱՏԱՐԱԿԱՑ,,"['«ճշգրտեաց». այսպէս ու-նի Բառ. երեմ. էջ 205։-Սրա հետ նոյն է մատարկայ Թրակ. քեր. 33, որ մակբայների տեսաևների մասին խօսելով գրում է. «Մա-տարկայ(իւ) կամ ճշգըտութեանն, որպէս, զիպէս, որպիսի, զիարդ, ըստ որոյ, որգոն»։ Այս բոլորը նմանութիւն կամ օրինակ ցոյց տուող մակբայներ են և հետևաբար մատար-կայ բառի նշանակութիւնն էլ պետք է դնել «նմանողական, համեմատական»։ Յոյն բը-նագրի մէջ սրա դէմ դրուած է τά δὲ παραβο-λῆς ή ὄμοιώσεως. մատարկայ ուրեմն յն. παραβολή «համեմատութիւն, նմանութիւն, առակ» բառի ստրկական թարգմանութիւնն է (παρά «առ, մօտը, մատչիլ» և βάλλω «արկանել» բառերից կազմուած). հմմտ. առարկայ։-Համամ. քեր. 276 սխալ կար-դալով մատարկայ բառը, գրում է. «Իսկ որ ասէ թէ մարտկացն կամ ճշգրտութեանցն, մարտկացն հարցական լսի, իսկ ճշգըտու-թեանցն, որ դեռ ստուգագոյնս հարցմամբ ոք կամի ուսանել և ասէ. ո՞րպէս, զի՞պէս...»։ Մի ուրիշ սխալով Բառ. երեմ. էջ 205 կար-դացել է բառը մատարակաց և հետևցնելով կամ շաղկապից («մատարկայիւ կամ ճշգըր-տութեանն»), որ երկու համարժէք բառեր իրար է կապում, մատարակաց-ին տուել է «ճշգրտեաց» նշանակութիւնը (տե՛ս իմ Հայ. նոր բառեր հին մատ. Բ. էջ 111։-Աճ.']",Etymology needs research,
ՄԱՏԶԻԼ,,"['«մածիլ, փակչիլ, կպչիլ, կպիլ» Բ. թագ. իգ. 10. Պատմ. վր. Մխ. առակ. Տօնակ. որից մատզողական Վրդն. երգ.։']",Etymology needs research,
ՄԱՏԻՏՈՒՄՆ,,"['. անստոյգ բառ, որ երեք անգամ գործածում է Մագ. թղ. 203 և 223. «Յոսկւոյ... և յամենայն ականց հանդերձ մատետմամբ և դրակոնառիւ... յոսկւոյ ըն-դելուզեալ մատիտմամբ և ի կարծրակոփ վիմացն մանրագոյն զնոսա տարակայա-ցեալս առ միմեանս. Որպէս դրակոնտիկոն շարամանաբար մակ ոսկւոյ մածեալ մա-տիտմամբն»։ ՆՀԲ այս բառը մեկնում է «ըն-դելուզումն, յեռումն», իսկ ՋԲ «կարմրա-քար, hématite».']",Etymology needs research,
ՄԱՏՆԵՐ,,"['«սակաւահող, նօսր հողով (գե-տին)» Վստկ. 43, 53։']",Etymology needs research,
ՄԱՏՌԻՉ,,"['«խուզմուղ», այսպէս ունի Բռ. երեմ. էջ 205. թերևս պէտք է կարդալ խազ-մուզ. բայց հմմտ. նաև մուտղիչ։-']",Etymology needs research,
ՄԱՏՏԱՅ,,['«սակաւ». ունի միայն Բառ. ե-րեմ. էջ 206։'],Etymology needs research,
ՄԱՏՐԱՆ,,"['«հին հայոց երկրորդ ամիսը, հո-ռի» ըստ Երզն. տօնապ. (տե՛ս Ալիշան, Հին հաւ. 140). այսպէս էր իբր կոչւում հնապէս Հոռի ամիսը և յետոյ Խոռէն անունով մէկից փոխուելով՝ եղաւ Հոռի. սրանից է կազմուած իբր թէ աշխարհամատրան (տօնը). որ Հո-ռի ամսուայ սկիզբն էր գալիս։']",Etymology needs research,
ՄԱՐԱՐՊԱՅ,,['«սպանութիւն». ունի միայն Բառ. երեմ. էջ 206։'],Etymology needs research,
ՄԱՐԶՈՆ,,['«աստղի անուն» Շիր. էջ 73.-ունի միայն ԱԲ։'],Etymology needs research,
ՄԱՐՁԱԿ,,"['«մի տեսակ անծանօթ բոյս, որ իբր մաղասի դեղ է առաջարկւում» Բժշ. ունի միայն ՀԲուս. § 2022. նոյնը Քաջունի, Գ. 160, որից և Տիրոյեան, Հանրագրութ. էջ 509 մեկնում են «մանանեխ»։']",Etymology needs research,
ՄԱՐՂԻՍ,,"['«մի տեսակ սողուն». նորագիւտ բառ, որ մէկ անգամ գործածում է Տաղ. 2. Ա 612 (էջմիածնի), էջ 15 ա. «Այլ թէ օձա-սանդր կամ մարղիս կամ սոցին նման (կեն-դանիք], որ արիւնք են, անկանին ի կերա-կուր, անվնաս է կերակուրն և ամանն»։']",Etymology needs research,
ՄԱՐՄԱՆԴ,,"['«բարեխառն տեղեր» Ոսկ. ես. 165, Մծբ. 239. իբր ածական ունի Եզն. մար-մանդ տեղիս «բարեխառն տեղեր»։']",Etymology needs research,
ՄԱՐՄԱՋ,,"['«եռք, մարմնի եռալը, քոր ռա-լը». հների մէջ առանձին գործածուած չէ, բայց նոր գրականում սովորական դարձաւ «ներքին գրգիռ» նշանակութեամբ. օր. գրե-լու մարմաջ։ Բառ. երեմ. էջ 207 մեկնում է մարմաջ «հեշտ կամ դիւր»։ Այս արմատից են մարմաջել կամ մարմանջել «եռք ունե-նալ, կճել, խայթել, կսկծացնել» Բ. տիմ. դ. 3= Եփր. բ. տիմ. 236, Սեբեր. 109. մար-մաջեցուցանել կամ մարմանջեցուցանել Ոսկ. յհ. ա. 28, բ. 3. մարմաջողական Նար. 177. մարմաջումն, մարմանջումն, մարմանջիւն, մարմաջիւն «եռք» Պիտ. Խոսր.։']",Etymology needs research,
ՄԱՐՄԱՒ,,['«անծանօթ մի բոյս է» Բժշ. ու-նի միայն ՀԲուս. § 2025. պէտք չէ կարծել թէ բառս արմաւ ձևի սխալ գրչութիւնն է. որովհետև նոյն Բժշկարանը պատուիրում է մարմառը եփել արմաւի հետ։'],Etymology needs research,
ՄԱՐՈՒԹԻՒՆ,,"['«մոլորութիւն» Բառ. երեմ. էջ 207, ՀՀԲ և ՋԲ. արմատն է անշուշտ մար «մոլոր, մոլեգին, անմիտ» ՀՀԲ, որից նաև մարամիտ «անմիտ» Բառ. երեմ. էջ 206, ՀՀԲ, մարդամարոտն ՀՀԲ. մարդատողական «մոլորական» Բառ. երեմ. էջ 206. նո՞յն է արդեօք սրա հետ Երև. մար-մար «զարմա-ցած, ապշած». մար-մար նայիլ (Տարազ, 1900, էջ 275)։']",Etymology needs research,
ՄԱՐՈՒԽ,,"['«մատուտակ բոյսը» Մխ. բժշ. ե︎ 119. ռրուած նաև մարախ Եպիփ. ծն. էֆիմ. էջ 286. մարոխ Տիրացուեան, Contri-buto § 269 (լտ. glycyrrhiza glabra L. var. glandulifera). իսկ Միխ. աս. 508 համա-րում է մատուտակ բառի աշխարհառար ձևը. «Եգիտ նա տուն լցեալ մատուտակով՝ զոր կոչեն ըստ աշխարհաց մարուխս»։-Տե՛ս մարախ բառը։']",Etymology needs research,
ՄԱՐՈՒՖ,,"['«մի տեսակ խոտ է. լտ. ocimum basilicum կամ mentha pulegium»? Աղթամ. (Վստկ. 168 յիշում է անանուխի հետ մա-րուֆ ձևով, որի արաբերէնն էլ դնում է պատրուճ. տե՛ս այս բառը). ՀԲուս. § 2029 յիշում է մարուք ձևով։']",Etymology needs research,
ՄԱՐՏԱՆ,,"['«իզէ՛ թէ, երանի՜ թէ». մէկ ան-գամ ունի Թր. քեր. 32 հոմանիշների մի շար-քի մէջ. «Ըղձիցն նշանականք են. իբրու թէ, իցի ւ, օշ, գուցէ, մարտան»։']",Etymology needs research,
ՄԱՔԱԼԻՆԷ,,['տե՛ս Տեյից.'],Etymology needs research,
ՄԱՔԱԼՈՒԿ,,"['«մի տեսակ թռչուն, ֆրանս. martinet, որ է մի տեսակ երկայնաթև ծի-ծառ». մէկ անգամ ունի Վեցօր. 161. «Որպէս ծիծռանց և այլոց թռչնոց, որ անուանեաւ կոչին մաքալուկք, որք յօդոց զմանրամաղ իրս ինչ թռուցեալ բերեն զդարմանս իւրեանց պիտոյիցն»։']",Etymology needs research,
ՄԱՔՈՒՐ,,"[', ի հլ. (յետնաբար ի-ա, ո հլ., «մաքուր, թամուզ» ՍԳր. «սուրբն կամ նուի-բականն Փայլածու» Պղատ. տիմ. որից մաք-ռել ՍԳր. մաքրութիւն Երեմ. դ. 11. մաք-րապէս Սեբեր. մաքրափայլ Եփր. ծն. կիսա-մաքուր Շնորհ. մտթ. գերամաքուր Անան. եկեղ. Ճառընտ. դժուարամաքուր Փիլ. նխ. կայծակնամաքուր Եփր. խոստ. հրամաքուր Անան. եկեղ. Ճառընտ. համամաքրենի Շը-նորհ. տաղ. անմաքուր Բ. մնաց. իգ. 19. Ոսկ. յհ. ա. 27. մաքրինաճեմ Նար. տաղ. մաքրիչ «ածելի» Վրդն. առ. 240. մաքրելի Պրպմ. 259բ (չունի ՆՀԲ), ևն։']",Etymology needs research,
ՄԵԳԱՐԵԱԼ,,"['. նորագիւտ անստոյգ բառ, որ մէկ անգամ գտնում եմ դործածուած Մագ. թղ. 208. «ի նոյն միակ պարառեալ և յեօթ-նիցն երկրորդացն դասուէ շաղկապեալ և յիւրն սիրեցեալ միակ մեգարեալ և անդուստ յերկեակն երրորդին թաւացեալն և յօդն յանգեալն»։-Խօսում է թուերի անիմանալի մի յարաբերութեան վրայ, որով բառի իմաս-տը շատ մութ է մնում։ Կայ յն. μέγαρον «սրահ, ժողովարան, տաճարի մէջ պատգա-մախօսի տեղը», որից կարող էր Մագիստրոս մի բայ յօրինել։ (Տե՛ս իմ Հայ. նոր բառեր հին մատ. Բ. 195)։']",Etymology needs research,
ՄԵԼՈՄԱԳՆԱՑ,,"['«անառակ». նորագիւտ բառ, որ մէկ անգամ ունի Կանոն. էջ 183. «Կրն-քահայրն (լիցի) ո՛չ կին, ո՛չ այլազգի, ոչ յիշոցնատու, ո՛չ մելոմագնաց, այլ լաւ քրիս-տոնեայ և գիտուն»։ Նոյնպէս է նաև Շողա-կաթ, էջ 38, 43, ուր հրատարակիչը (Գարե-գին վրդ.) նկատում է թէ Երզնկացին իր խմբագրութեան մէջ բառս թարգմանած է «շնացող»։ (Տե՛ս իմ Հայ. նոր բառեր հին մատ. Բ. 165)։ Արմատն է *մելոմ-, որ ռարդուած է գնաց բառով։']",Etymology needs research,
ՄԵՂԱՐԴ,,['«լուսին». գիտէ միայն Բառ. ե-րեմ. էջ 208։'],Etymology needs research,
ՄԵՂԴԷՏ,,"['«բանտ». գիտէ միայն Բառ. ե. րեմ. էջ 208, որի հետ նոյն եմ կարծում Մագ. թղ. 237 մեղդէտ (այլ ձ. մեզդէտ) «բանտարկեալ» (Աճառ. ՀԱ 1923, 254)։']",Etymology needs research,
ՄԵՂԵՂՈՒԿ,,"['. անստոյգ բառ. մէկ անգամ գործածուած է Եւագր. «Առ խորհուրդսն, որ վասն այսպէս կերակրոց մեղեղուկս ասեն»։ ՆՀԲ մեևնում է «ողոքել կամ մեղադրել». ՋԲ չունի. ԱԲ «մեղադրել կամ մե՛ղք վա՛խ ըսել»։']",Etymology needs research,
ՄԵՂԵՍԻԿ,,"['«մի տեսակ պատուական քար. սուտակ, ամեթովս» Եզեկ. իր. 13. ուրիշ վկայութիւն չկայ։']",Etymology needs research,
ՄԵՂՄԵԽ,,"['(գրուած նաև մեղմեղ, մեխմեխ) «նենգաւոր, կեղծաւոր, շողոքորթ» Առակ. ժբ. 26, Գծ. ը. 22, Ոսկ. որից մեղմեխանք «կեղծաւորութիւն, շողոքորթութիւն» Եզն. Ոսկ. մ. ա. 13, բ. 2, 5. «կոտրատուիլը, նազ-կըռտիլը, պչրանք (աչքերով, ձայնով, շար-ժումնեռով)» Ոսկ. եբր. ա. տիմ. մ. բ. 12 մեղմեխել Եզն. մեղմեխուրիւն Ոսկ. գաղ. մ. ա. 7, 13. մեղմեղիլ «մարդահաճոյ խօսքեր ռնել, կեղծաւորիլ» Ոսկ. եփես. էջ 836։']",Etymology needs research,
ՄԵՂՄԵՂ,,['տես Մագոն։ (Տպուած է այնպէս. որ կարելի է կարդալ թէ՛ մեղմեղ և թէ մեզ-մեղ)։'],Etymology needs research,
ՄԵՂՐԱՊ,,"['«salep, խոլորձ բոյսի արմատից միջին m դարձած տարանմանութեամբ p, 553, Գ. 162։']",Etymology needs research,
ՄԵՄԲԱՆ,,['«մատեան». ունի միայն Բառ. երեմ. էջ 102՝ յգ. հյց. զմեմբանս «զմատ-եանս» ձևով։'],Etymology needs research,
ՄԵՌ,,['. անյայտ բառ. «Տեսանելով առ սո-քօք մի մեռ ներգոլով». Պղատ. տիմ. 162.-իմաստը պէտք է ստուգել յոյն բնագրի մի-ջոցով։'],Etymology needs research,
ՄԵՍՈՒԹԻՒՆ,,"['. անստոյգ բառ. մէկ անռամ ունի Ոսկիփ. «Մեսութիւն առանց կրթու-թեան, գիտութիւն և առանց բայի»։ (Արմա-տը մես)։ ՆՀԲ համարում է «որպէս միջա-մուխն լինել, ձեռներիցութիւն», կապելով մեսիլ բային. բայց գործածութիւնը ցոյց է տալիս՝ որ բառը պէտք է նշանակէ «գիտու-թիւն, ուսում»։']",Etymology needs research,
ՄԵՍՈՒՐ,,"['«մետաղեայ մի ջրաման է՝ թասի նման և բաժակից մեծ». նորագիւտ բառ, որ երկու անգամ ունի գործածած Անան. գիտ. էջ 24. «Ապաղարէ մի էր իմ, խանգարեցի և այլ սպաս արարի. զերրորդ մասն մեսուր մի արարի և զչորրորդ մասն այլ մեսուր արա-րի և զհինգերորդ մասն երկու բաժակս ա-րարի»։ ❇']",Etymology needs research,
ՄԵՍՏԻՍ,,"['«խառնածին». ունի միայն Բառ. երեմ. յաւել. Գէորգ դպրի, էջ 554։']",Etymology needs research,
ՄԵՍՐԻՆԷ,,['«մուրտ». ունի միայն Բառ. և-րեմ. յաւել. 569։'],Etymology needs research,
ՄԵՏ,,['«շատ». ունի միայն Բառ. երեմ. 209։'],Etymology needs research,
ՄԵՏԵԱՒՆԱՍ,,"['. նորագիւտ անստոյգ բառ, որ մէկ անգամ գտնում եմ գործածուած նա-լիսթ. էջ 110, իբր «վատ, ապականեալ բար-քով».-«Բեսոս ոմն անուն և Առիվարդան զեղխեալ մետեաւնաս բարուք՝ խորհեցան սաանանել զԴարեհ»։ Այլ ձձ. մետաւնայս, մէտաւնայս, մետօնայս. մէկն էլ թարգմա-նում է «չարք և անաստուած բարուք»։ Ան-շուշտ յն. մի բառի խաթարեալ ձևն է, բայց բնագիրը այստեղ թերի լինելով՝ դժուար է ստուգել։']",Etymology needs research,
ՄԵՏՈՒՐ,,['«ընդմտանել կամ բազմել». ու-նի միայն Բառ. երեմ. էջ 209։'],Etymology needs research,
ՄԵՏՍՒՂՓԵԱՆ,,"['(որ և մետուղբեան, մէտուլ-փեան) «հրաշափառ, գերագոյն, երկնային». մէկ անգամ ունի Ճառընտ. (Հին բռ. մեկ։ նում է «հրաշք, լիալոյս, համակ լոյս, կամ բազմաժողով», իսկ Բառ. երեմ. էջ 209 գը-րում է մետուղփեան «հրաշք, հրաշալից, լու-սայեղց», և էջ 207 մերտովփեան, մետրով-փեան «համակ լոյս և կամ բազմաժողով»)։ Սրանից է երևում մետաղփոն. «Ջերկնային մարմնոցն մետաղփոն բացատրելով» Ստեփ. սիւն. (Թորոս աղբար Ա. 192)։-Հմմտ. ուղփ,']",Etymology needs research,
ՄԵՐՈՒԶԱՆ,,"['«մի տեսակ ծաղիկ» Երզն. քեր. ուրիշ վկայութիւն չու-նինք. երկու ձևերից մին կամ միւսը սխալ գրչութիւն. Ադոնցի հրատարակութեան մէջ, Համամ. քեր. էջ 258 կայ միայն մերուշան ձևը։']",Etymology needs research,
ՄԵՑ,,"['«փտութիւն. ցեց. ապա-կանութիւն» Ես. ժդ. 11. Ոսկ. ես. 371. Կոչ. 399. Փիլ. նխ. բ. 114. (Բառ. երեմ. էջ 210 դնում է «հուր կամ կայծակն»). որից մե-ցոտիլ «ցեցոտիլ, փտիլ, ապականիլ» Ագաթ. ցեցամէց Երզն. մտթ. 157 և կրկնութեամ) մեցամէց «ցեցակեր, որդնակեր» Ոսկ. մ. բ. 22 և Եփես. բ. կամ մեցամէս «նոյն նշ.» Ես. ծ. 9։-Կարելի էր կարծել թէ զեզ բառի կրկնութիւնն է. բայց առանձին բառ լինելու նշան է Ոսկ. ես. 371՝ Սիմաքոս մեց ասէր Թէոդիտոն՝ ցեց։']",Etymology needs research,
ՄԵՑՈՒԿ,,"['«խանձեալ հաց». գիտէ միայն Քաջունի, Գ. 164։']",Etymology needs research,
ՄԵՒՏՐԱՅ,,"['«փոյթ». ունի միայն Բառ. ե-րեմ. էջ 210, որ էջ 212 նոյնը գրում է մի-երայ ձևով։']",Etymology needs research,
ՄԵՔՈՐԱՅ,,"['. նորագիւտ բառ, որ մէկ ան. գամ գտնում եմ գործածուած Օրբել. էջ 117. «Ածէր ի հնազանդութիւն սուրբ եկեղեցւոյն և ծառայեցուցանէր վանիցն, զոր և արձանն եցոյց, եթէ արար հարկատու մեքորայ, այսինքն եկեղեցւոյս»։ Հեղինակի իսկ մեկ-նութեամբ ուրեմն մեքորայ նշանակում է «եկեղեցւոյս» և հետևաբար ուղղականն է մեքոր կամ մեքորա «եկեղեցի»։ Օրբելեանի յիշած արձանագրության երկու բեկորները գտաւ Սեդրակ Բարխուդարեանը՝ Թանահա-տի վանքում, որոնց վրայ կարդացւում է «Հայր Մխիթար .. չեալ էր հարկատու մե-քորա»։']",Etymology needs research,
ՄԶՈՒՐԿ,,"['«մի տեսակ ծա-ղիկ». իբր անստոյգ բառ ունի ՋԲ. իսկ ԱԲ դնում է միայն մզրուկ և ուղարկելով մեղ-րուկ բառին, կարծել է տալիս թէ սրա սխալ գրչութիւնն է։-ՀԲուս. չունի։']",Etymology needs research,
ՄԷՆ,,['տե՛ս Մի։'],Etymology needs research,
ՄԷՇ,,['«մի տեսակ բոյս. լտ. thymus ser-pyllum» Բժշ. ունի միայն ՀԲուս. § 2057։'],Etymology needs research,
ՄԷՍ,,['«սովոր կամ մերձաւոր». ունի մի այն Բառ. երեմ. էջ 210։'],Etymology needs research,
ՄԷՏ,,"['(ի-ա հլ. ըստ ՆՀԲ, բայց առանց վը, կայութեան) «կշիռքի միջին կէտո» (ոսա ՆՀԲ) կամ «հաւասար նժարների վրայ աւե-լացուած դոյզն ինչ ծանրութիւնը» (ըստ ՋԲ) ՍԳր. Մծբ. 294. Ոսկ. եփես. 695. «կշռի նը-ժար կամ թաթ» Վանակ. յոբ. «հակած, յօ-ժար» Ոսկ. Սեբեր. «հարիւր լիտր» Բառ. ե-րեմ. էջ 210.-«փոշու մի հատիկ, որ ամե-նափոքր կշիռն է» Վրք. և վկ. Բ. 150 (Իբրև մէտ մի փոշւոյ համարեալ է). այսպէս է հասկանում նաև Զքր. սարկ. Ա. 67 (Կշռեցին և կշիռն նորա որպէս և ասաց Շահղուլի Բէկն, մէտ մի ո՛չ աւելի և ոչ պակաս)։ Այս արմատից ունինք մէտ ի մէտ «ճօճելով» Ա-գաթ. կամ մէտ առ մէտ Քեր. քերթ. միտել «հակել, մէկ կողմ ծռել» ՍԳր. Ոսկ. Բուզ. Եզն. «կցել, միացնել» Հին բռ. Մագ. գա-մագտ. (ՀԱ 1911, 366), «խօսքը յատկապէս մէկին ուղղել» Ոսկ. մ. գ. 112 (Առ Պետրոս զբանն միտէ), «հաւանութեան գալ, խոնար-հիլ» Մագ. թղ. 237 (Աճառ. ՀԱ 1923, 254). որ և գրուած է մետել Ոսկ. մ. բ. էջ 706. միտագոյն Ոսկ. մ. ա. 15, բ. 12. միտութիւն Ոսկ. մ. բ. 27. դիւրամէտ Սեբեր. հակամէս Փիլ. Յհ. կթ. զուգամէտ ԱԲ. միտումնաւոր (նոր բառ). նոյն են նաև մետ «մէջտեղը» Պիտ? մետական «հասարակ բայ» (ըստ. յն. «միջակ») Հին քեր.։']",Etymology needs research,
ՄԻԱՀԱՆԷՔ,,"['. անստոյգ բառ, որ մէկ անգամ գործածում է Բուզ. Զ. 10. «Զանձն իւր կըր-թէր յագահութեան, որում ծարաւեալ աառ-քեալ փափագէր, սակայն միհանէս։ այն էին նորա»։ Այսպէս Պատկ. և Վենետ. 1889. իսկ Պատկանեանի ձեռագիրը, ՆՀԲ, ՋԲ և ԱԲ ունին միահանէք։ ՆՀԲ մեկնում է «Որպէս թէ միակ հանակ, այսինքն խաղ, կատակ, մի-մոսութիւն կամ կեղծաւորութիւն՝ առ ի հա-նել և քաղել ինչ մի յայլոց. լծ. թրք. միւտա-հանէ» (իմա՛ արաբ. [arabic word] mudāhana «շողոքորթութիւն»)։ Այսպէս նաև ՋԲ և ԱԲ։ Երկուսն էլ ընտրած են միահանէք ընթերց-ուածը։ Բառը անշուշտ յոգնակի է. ինչպէս ցոյց է տալիս էին յոգնակի բայը. եզակին պիտի լինի միահանէ կամ միհանէս։ Ինչ-պէս պէտք է կէտադրել նախադասութիւնը։ Վենետկի և Պատկանեանի հրատարանու-թիւնները վերինին պէս են. մինչդեռ ՆՀԲ «-փափագէր։ Սակայն միահանէք այն էին նորա, ի չորք անկեալ յոտս և ի ձեռս սո-ղէր...»։ Երևի նախկին ձևն է ուղիղ, որով. հետև երկրորդ պարագային սպասելի էր «զի ի չորք...»։ Առաջին ձևով կէտադրելով նա-ևառառութիւնը, անյարմար է գալիս «կա-տակ» նշանակութիւնը և աւելի յարմար է գալիս «փորձանք, վտանգ, փորձութիւն»։ Բուզանդ ուզում է ասել թէ «Յովհանը ագա-հութեան ծարաւի էր. սակայն այդ ագահու-թիւնը իր գլխին փորձանք էր բերում» (ինչ-պէս այգեպանի դէպքում. հմմտ. Բուզ. Զ. 9)։']",Etymology needs research,
ՄԻԲՈՒՆԱԿ,,['«հզօր». ունի միայն Բառ. ե-րեմ. էջ 212։'],Etymology needs research,
