title,part_of_speech,definition,suggested_etymology,source,notes
քննարկել,verb,"['to discuss, consider.']",,,
քող,noun,"['Kurdish:.', 'veil.', '(figuratively) veil, cover, disguise.']",,,
քոմենթ,noun,"['colloquial comment on an Internet site, story, page, etc.', '(colloquial) comment (on an Internet site, story, page, etc.).']",,,
քոչել,verb,"[""to roam from place to place; to be a nomad, to lead a nomad's life."", 'to migrate.']",,,
քոր,noun,"['itch, itching.']",,,
քութեշ,noun,"['scarlet fever, scarlatina.']",,,
քույր,noun,"['sister.', 'nurse.', 'nun.']",,,
քունել,verb,"['Due to a false friend with the similar-sounding verb , non-native speakers (and even native speakers with poor command of Armenian) may mistakenly translate this word as ""to sleep"" instead of its actual vulgar meaning ""to fuck"".', '(vulgar, transitive) to fuck.']",,,
քուռակ,noun,"['young of a horse or a donkey, colt, foal.', '(derogatory) a generic mild insult.']",,,
քուրձ,noun,"['haircloth, sackcloth.']",,,
քջուջ,noun,"['rummaging, digging of fowl in search of food.']",,,
քսանյութ,noun,"['lubricant substance used to reduce friction between objects or surfaces.', 'lubricant (substance used to reduce friction between objects or surfaces).']",,,
քվազար,noun,"['astronomy quasar.', '(astronomy) quasar.']",,,
քվեարկել,verb,"['to vote, ballot.']",,,
քրոմոսոմ,noun,"['cytology, genetics chromosome.', '(cytology, genetics) chromosome.']",,,
քրտնել,verb,"['to sweat, to perspire.', '(figuratively) to toil.', '(figuratively) to be shy, ashamed.']",,,
քրքրել,verb,"['transitive to stir, turn upside down, rake, rummage.', '(transitive) to stir, turn upside down, rake, rummage.', '(transitive) to wear out, use up, fray.']",,,
օգոստոս,noun,"['August month.', 'August (month).']",,,
օգուտ,noun,"['use; benefit; good.', 'advantage, benefit.']",,,
օգտվել,verb,"['intransitive to use, utilize; to take advantage of; to enjoy.', '(intransitive) to use, utilize; to take advantage of; to enjoy.']",,,
օձիք,noun,['collar.'],,,
օճառ,noun,['soap.'],,,
օսեթ,noun,['Ossetian.'],,,
օրինագիծ,noun,"['bill.', 'bill (a draft of a law, presented to a legislature for enactment; a proposed or projected law).']",,,
օրհնել,verb,"['to bless.', 'to praise, to extol, to exalt.', 'to pay homage to, to give thanks to.']",,,
օրորել,verb,"['transitive to rock to move gently back and forth.', '(transitive) to rock (to move gently back and forth).']",,,
ֆայմ,noun,"['dialectal, colloquial understanding, comprehension.', '(dialectal, colloquial) understanding, comprehension.']",,,
ֆեյք,noun,['fake account in social media.'],,,
ֆլամենկո,noun,"['dance flamenco.', '(dance) flamenco.', '(music) flamenco.']",,,
ֆշշալ,verb,['to hiss.'],,,
ֆոքստրոտ,noun,"['dance foxtrot.', '(dance) foxtrot.']",,,
ֆռանգ,noun,"['historical Western European; crusader.', '(historical) Western European; crusader.', '(informal) member of the Armenian Catholic Church.']",,,
ազատարար,noun,"['Liberating, delivering; one who brings freedom, who rescues from captivity, slavery, danger, etc.']",,,
ազատիլ,verb,"['to escape, to evade.']",,,
ազատուիլ,verb,['to be saved; to escape.'],,,
ազգավնաս,noun,['harmful to the nation.'],,,
ազգօգուտ,noun,"['useful, beneficial to the nation.']",,,
ազդուիլ,verb,"['to be affected, influenced; to be moved, to be touched.']",,,
ազնիւ,adjective,"['of a good kind, fine, gentle, noble, virtuous, excellent, good, rare, precious, refined; magnanimous; affable, amiable, well-natured, nice, neighborly.']",,,
ախորժիլ,verb,"['to relish, to be pleased with, to like, to love.']",,,
ականաւոր,adjective,"['distinguished, famous, celebrated, conspicuous, noted.']",,,
ակներեւ,adjective,"['Clearly visible to the eye; obvious, evident, indisputable, obvious, clear; Clearly; in an obvious or evident manner; Something that is clear, evident, obvious.']",,,
ակռայ,noun,['tooth.'],,,
ակտ,noun,"['act, operation; official document.']",,,
ահարկու,adjective,"['terrifying, dreadful, grim, horrific, terrible, formidable, redoubtable, horrid.']",,,
ահաւասիկ,adverb,"['here is, here it is, behold!']",,,
ահաւոր,adjective,"['horrible; frightful, fearful, alarming.']",,,
աղաւաղել,verb,"['to distort, to corrupt, to misrepresent; to alter, misstate, or disfigure something — whether in speech, writing, or form; (figurative) to insult, disrespect, or desecrate.']",,,
աղբակոյտ,noun,['heap of trash.'],,,
աղբիւր,noun,"['fountain, source.']",,,
աղէտ,noun,"['misfortune, calamity, mischance, fatality, disaster.']",,,
աղիւսակ,noun,"['tablet; table, arithmetical table.']",,,
աղուէս,noun,"['fox; cunning, sly.']",,,
աղուոր,adjective,"['nice, handsome, beautiful, lovely, fine.']",,,
աղտոտիլ,verb,"['to get dirty, to become dirty.']",,,
աղօթել,verb,"['to pray, to worship.']",,,
աղօթք,noun,['prayer.'],,,
ամավերջ,noun,['year end.'],,,
ամարանոց,noun,"['summerhouse, country house, villa, summer-residence.']",,,
ամբարել,verb,"['to store, to amass, to bin, to bag.']",,,
ամենազօր,adjective,"['one who possesses the power to do everything; one whose strength extends to all things — almighty, omnipotent; often used to refer to God or a supreme force capable of doing anything.']",,,
ամչնալ,verb,['to be ashamed.'],,,
ամպամած,noun,"['Covered with clouds; overcast, cloudy.']",,,
ամսաթերթ,noun,['monthly paper.'],,,
ամրակուռ,adjective,"['strongly forged; strong, firm, hard, stiff, sound, solid, compact, serried.']",,,
ամրանալ,verb,"['to be fortified, to grow strong; to take a strong position in a fortification; to consolidate.']",,,
ամրացնել,verb,"['to fortify, to reinforce, to strengthen, to fasten.']",,,
ամօթ,adjective,"['shame, turpitude, ignominy, confusion, abashment; shameful.']",,,
ամօթխած,adjective,"['bashful, modest, chaste, shame-faced.']",,,
այլամերժ,adjective,"['exclusory, exclusionary, exclusive, repulsive, repulsory.']",,,
այլայլել,verb,"['To alter, to change form or appearance; to transform; To affect emotionally, to disturb, to agitate; To distort, to give a different meaning, to misrepresent.']",,,
այլայլիլ,verb,"['To change, to be altered, to undergo transformation; To be disturbed, to be upset, to be troubled, to be agitated, to be confused.']",,,
այլապէս,adverb,"['otherwise, after another manner, differently.']",,,
այպանել,verb,"['to mock, disgrace, or ridicule; to reproach, condemn, insult, or shame.']",,,
այրիլ,verb,"['to burn, to be burnt.']",,,
անամօթ,adjective,"['shameless, impudent, insolent, brazen; shamelessly, impudently.']",,,
անայլայլ,noun,"['Unaltered, unchanged, immutable, final; not subject to distortion or modification; Unshaken, undisturbed, calm, tranquil, untroubled, secure, pure; Without alteration; in an unchanging condition; unchangingly, steadfastly, unalterably.']",,,
անարգ,adjective,"['vile, abject, worthless, base, ignoble, mean, degrading, dishonorable, despicable, dirty.']",,,
անարգանք,noun,"['dishonour, contempt, affront, insult, discredit, shame, offense, snub.']",,,
անարգել,verb,"['to dishonour, to disrespect, to insult, to scorn, to contemn, to disparage, to offend, to despise.']",,,
անբասիր,adverb,"['irreproachable, irreprehensible, inculpable; irreproachably, irreprehensibly.']",,,
անգութ,adjective,"['cruel, pitiless, unmerciful, unconscionable, ruthless, merciless.']",,,
անդոհանք,noun,"['great distress, anguish, anxiety: melancholy.']",,,
աներկբայ,adverb,"['indubitable, sure, certain, doubtless; indubitably, surely, certainly, doubtlessly.']",,,
աներկիւղ,adverb,"['fearless, bold, hardy, intrepid; boldly, fearlessly, intrepidly, resolutely.']",,,
անզգամ,adjective,"['Lacking a sense of goodness; inclined toward evil, foolish, wicked; Bold, insolent, impudent, shameless; Indecent, immoral, dissolute.']",,,
անզիջող,adjective,"['inacquiescent, uncompromising.']",,,
անզուսպ,adverb,"['uncontrolled, curbless, unbridled; uncontrollably, in an unbridled way.']",,,
անզօր,adjective,"['powerless, feeble, invalid, impotent, weak, infirm.']",,,
անէանալ,verb,"['to be destroyed, to come to nothing, to disappear, to vanish.']",,,
անէծք,noun,"['curse, malediction, imprecation, detestation.']",,,
անթիւ,adjective,"['innumerable, numberless, countless, immense.']",,,
անիծեալ,adjective,"['cursed, damned, unblessed, accursed, unspeakable.']",,,
անիրաւ,noun,"['Acting against law or justice; unjust, unfair; That which is done against justice or right; wrongful, inequitable; (Reproachfully or with surprise) Wicked, bad, mischievous.']",,,
անիւ,noun,"['wheel; by analogy, the circular form of the sun or moon; a round-shaped toy; the spherical head of a tumbleweed plant.']",,,
անխախտ,adjective,"['unshaken, firm, steadfast, solid.']",,,
անխարդախ,adjective,"['not falsified, not adulterated, pure, sincere, ingenuous, loyal, faithful.']",,,
անխոյզ,adverb,"['not explorable, not researchable; unexplored; not exploring; without investigating.']",,,
անխոնջ,adjective,"['untiring, unwearied.']",,,
անխորտակ,adjective,"['unbreakable, inconsumable, impenetrable, secure, stable, safe, firm, unshakable.']",,,
անկաշառ,adjective,"['incorrupt, unbribed: honest, upright, just.']",,,
անկարող,adjective,"['unable, incapable, impuissant; incompetent; impotent.']",,,
անհաճոյ,adjective,"['disagreeable, unpleasant, annoying, displeasing, uncomfortable, dissatisfactory, harsh, not gratifying.']",,,
անձնապէս,adverb,['personally.'],,,
անձրեւ,noun,['rain.'],,,
անձրեւել,verb,"['to rain, to pour down, to shower.']",,,
անձրեւոտ,adjective,['characterized by rain; rainy; a place or climate where it often rains; rain-prone.'],,,
անճրկիլ,verb,"['To become confused or at a loss, to hesitate or not know what to do in the face of difficulty; to lose one’s bearings or become bewildered; To despair, weaken, or waver; to lose courage.']",,,
անյարիր,adjective,"['inconsistent, incoherent; fearful, timid; that cannot rise; chainless.']",,,
աննշմար,adjective,['Unnoticed; imperceptible; Imperceptibly; without being noticed or perceived.'],,,
անշեղ,adjective,"['undeviating, straight, just, righteous.']",,,
անողորմ,adverb,"['pitiless, cruel, merciless, inexorable, brutal, inhuman, unmerciful, uncharitable; cruelly, brutally, pitilessly, unmercifully.']",,,
անողոք,adjective,"['unable to be calmed, persuaded, appeased, softened, placated, implacable; inexorable, unrelenting, relentless, inflexible, hard, strict, severe.']",,,
անուանել,verb,"['to name, to call, to nominate, to mention.']",,,
անպաճոյճ,adjective,"['unadorned, modest, simple, unornamented, unclad, natural.']",,,
անպէտ,noun,"['useless, unnecessary, needless, superfluous; something that is useless, waste.']",,,
անպտուղ,adjective,"['fruitless, unfruitful, infertile, sterile, barren.']",,,
անջինջ,adjective,"['what cannot be erased, indelible, ineffacable; eternal, perpetual, permanent, lasting, durable.']",,,
անսալ,verb,"['to listen to someone’s words; to obey; to heed a call or command; to forgive or endure with patience; to be patient, to endure, to restrain oneself; to wait, to remain.']",,,
անսակարկ,adjective,['non-negotiating; with complete dedication.'],,,
անսայթաք,adjective,"['not slipping, without stumbling, regular, orderly, steady; fluent, smooth, without interruption, steadily, fluently; unwavering, straight, unimpeded, without resistance, dutifully.']",,,
անսանձ,adverb,['Unbridled; without a bridle; Figuratively: unrestrained; unchecked; unruly; uncontrolled.'],,,
անսաստել,verb,"['to disobey, to resist, to be refractory.']",,,
անսխալ,adjective,"['without error; containing no mistakes, error-free; true, accurate, precise, infallible; incapable of making mistakes; flawlessly.']",,,
անվրէպ,adjective,"['unerring, not missing the target, accurate, infallible; unwavering, unchanging, straight; safe, secure; without error, directly, precisely.']",,,
անտաղանդ,adjective,"['Without talent, lacking gift or ability; untalented, inept, incapable.']",,,
անտեղեակ,adjective,"['uninformed, unaware; not informed; ignorant, unfamiliar, inexperienced.']",,,
անցաւ,noun,"['Without pain; free of pain, suffering, or discomfort.']",,,
անցեալ,noun,['last; past; the past.'],,,
անցընել,verb,"['to transfer, to hand, to pass, to cause to pass, to bring, to carry over.']",,,
անփոփոխ,adjective,"['invariable, unchangeable, unalterable, constant, immutable, invariant, stationary.']",,,
անօրինակ,adjective,"['unlike, nonpareil, unequaled, unexampled, unprecedented.']",,,
աշխատիլ,verb,"['to work, to labour, to toil.']",,,
աշխարհիկ,adjective,"['secular, modern; lay, vulgar.']",,,
աշխոյժ,noun,"['strong, intense, powerful, vigorous; cheerful, lively, full of energy and enthusiasm, active, energetic, spirited; liveliness, vitality, enthusiasm, energy.']",,,
աշխուժ,noun,"['strong, intense, powerful, vigorous; cheerful, lively, full of energy and enthusiasm, active, energetic, spirited; liveliness, vitality, enthusiasm, energy.']",,,
աշկերտ,noun,['apprentice.'],,,
ապագայ,noun,['future; the future.'],,,
ապականել,verb,"['to infect, to corrupt, to spoil, to deflower; to deform, to profane, to adulterate, to pollute.']",,,
ապացոյց,noun,['proof.'],,,
ապաւինիլ,verb,['to seek shelter under the protection of a person or object; to take refuge in order to escape imminent danger; to place one’s hope in something or someone in times of peril.'],,,
ապշիլ,verb,"['to be surprised, amazed, to agape, to astonish, to be stupefied.']",,,
ապրեցնել,verb,"['to keep alive, to save, to maintain, to support.']",,,
ապրուիլ,verb,['To be lived; To live in some manner; to maintain existence; To subsist on food; to be fed.'],,,
առաջանալ,verb,"['to advance, to proceed, to go forward, to get along, to progress, to forge, to gain ground, to inch.']",,,
առաջաւոր,adjective,"['first; foremost, chief, premier, principal.']",,,
առատանալ,verb,"['to be generous, to abound, to be plentiful.']",,,
առարկայ,noun,"['object, thing, matter.']",,,
առարկել,verb,"['to object, to oppose.']",,,
առաքուիլ,verb,['To be sent; to be dispatched; to be forwarded; to be sent off to another place; More generally: to be directed or redirected; to be turned back; to be removed; to be raised; to be lowered.'],,,
առեւտուր,noun,"['trade, commerce, traffic, trading, mercantile affairs.']",,,
առինքնել,verb,['to attract.'],,,
առլցուիլ,verb,"['to be filled to the brim, to be fully filled; to be immersed.']",,,
առկայ,adjective,"['present, available, at hand, existing; being present, nearby, or readily available.']",,,
առնուիլ,verb,"['to be taken; to be offended, to be angry, to take offence.']",,,
առուծախ,noun,"['commerce, buying and selling, sale.']",,,
առօրեայ,noun,"['daily, quotidian, ephemeral, perdiem, diurnal, temporal; daily life.']",,,
ասացուած,noun,"['expression, saying, phraseology, form of speech, proverb, term; diction.']",,,
ասպարէզ,noun,['career; arena.'],,,
աստղագէտ,noun,['astrologer; astronomer.'],,,
ատենապետ,noun,"['chairman, presiding officer, president, chief-justice.']",,,
ատենօք,adverb,['once upon a time.'],,,
արատաւոր,adjective,"['spotted, stained; defective; imperfect, flawed.']",,,
արգաւանդ,adjective,"['fruitful, fecund, fertile, pregnant.']",,,
արգիլեալ,adjective,"['forbidden, interdicted.']",,,
արգիլել,verb,"['to prevent, to oppose, to impede, to stop, to forbid, to hinder.']",,,
արդարեւ,adverb,"['indeed, truly, verily, certainly.']",,,
արդեօք,adverb,"['perhaps, is it? indeed?']",,,
արդիւնք,noun,"['effect, product, fruit, produce; proceeds.']",,,
արեւ,noun,"['sun; sunlight, sunshine; life, existence, happiness; sunny.']",,,
արեւածագ,noun,"['sunrise, sunrising.']",,,
արեւելք,noun,"['East; The point in the sky where the sun rises over the horizon; The eastern direction; The East, Eastern countries (from the perspective of Western Europe); The sunrise, the rising of the sun.']",,,
արեւոտ,noun,['Sunny; clear weather when the sun is shining.'],,,
արթննալ,verb,"['to awake, to wake up.']",,,
արժանիք,noun,['merit.'],,,
արժեցնել,verb,"['to price, to measure, to estimate, to esteem.']",,,
արժէք,noun,"['value, price.']",,,
արիանալ,verb,"['to be courageous, to take courage, to be encouraged.']",,,
արիասիրտ,adjective,"['courageous, gallant, fearless, daring.']",,,
արիւնել,verb,['to cause to bleed; to stain with blood.'],,,
արիւնիլ,verb,"['to bleed, to lose blood.']",,,
արիւնոտ,adjective,"['hemal, sanguine, hematose, full of blood; bloody.']",,,
արհաւիրք,noun,"['fright, terror, dismay, affright, consternation, horror, alarm.']",,,
արշաւանք,noun,"['course, incursion, invasion; expedition, excursion.']",,,
արուեստ,noun,"['art, profession.']",,,
արտագրել,verb,"['to extract, to copy.']",,,
արտածել,verb,['To export (goods); to take a product out of the country to a foreign land or abroad for sale.'],,,
արտատպել,verb,['To make a new printing from something already printed; to repeat the printing in accordance with the original; to reprint.'],,,
արտերկիր,noun,['abroad.'],,,
արտօնել,verb,"['to authorize, to permit, to allow.']",,,
աւագ,adjective,"['greater, grand, senior, high; lord, dean, oldest member; oldest son.']",,,
աւազակ,noun,"['brigand, thief, robber, bandit, highwayman.']",,,
աւանդել,verb,"['to entrust, to bequeath, to deposit, to consign, to render, to transit, to transmit, to deliver, to leave.']",,,
աւարտել,verb,"['to finish, to complete, to end, to terminate, to consummate, to conclude.']",,,
աւարտիլ,verb,"['to come to a close, to end, to be over, to finish, to terminate, to conclude.']",,,
աւելնալ,verb,"['to augment, to increase.']",,,
աւելցնել,verb,"['to add, to augment, to join, to increase.']",,,
աւետել,verb,['to announce good news.'],,,
աւետիս,noun,"['good tidings, good news.']",,,
աւերակ,adjective,"['ruin, demolition, devastation; ruined.']",,,
աւերել,verb,"['to ravage, to ruin, to destroy, to desolate, to lay waste, to waste.']",,,
աւերիչ,adjective,"['destructive, destroying, destroyer, ravager, spoiler.']",,,
աւիշ,noun,['lymph.'],,,
բաբախել,verb,"['to strike or knock repeatedly (transitive verb); the continuous beating of the heart, to palpitate, to beat, to flutter (intransitive verb).']",,,
բազմազգ,adjective,['multiethnic; containing or composed of many nations or ethnic groups.'],,,
բազմաթիւ,adjective,"['numerous, various; multifarious.']",,,
բաժնուիլ,verb,"['to be divided; to separate, to leave one another, to take leave (of).']",,,
բախտաւոր,adjective,"['having luck or success; fortunate, lucky, successful; happy, leading a prosperous and content life; fortunate; bringing luck or success.']",,,
բախտորոշ,adjective,"['decisive, fateful, fatal.']",,,
բաղդատել,verb,"['to compare, to confront.']",,,
բամպակ,noun,['cotton.'],,,
բանախօս,noun,"['speaker, orator.']",,,
բանաձեւ,noun,"['resolution; formula, form.']",,,
բանավէճ,noun,"['debate, discussion, argument; dispute, controversy.']",,,
բանիմաց,adjective,"['one who understands matters, is clever, experienced, and well-informed; sensible, intelligent, understanding, reasonable, judicious.']",,,
բանուոր,noun,"['one who works for wages under someone else; a hired worker; a skilled wage earner employed by a craftsman; pertaining to workers, laborers, the working class.']",,,
բարգաւաճ,adverb,"['prosperous, flourishing, thriving, florid, rubicund; ornate, well-off; prosperously.']",,,
բարդանալ,verb,"['to become intricate, complicated.']",,,
բարդոյթ,noun,"['complex, a disproportionate concern or anxiety about something.']",,,
բարեխիղճ,adverb,"['scrupulous, conscientious; scrupulously, conscientiously.']",,,
բարեձեւ,adjective,"['having a good shape or form, well-formed; graceful, aesthetically pleasing, elegant, beautifully shaped.']",,,
բարերար,adjective,"['benefactor, beneficent, munificent, a well-doer, indulgent.']",,,
բարեւել,verb,"['to salute, to greet, to hail, to bow, to nod.']",,,
բարւոքել,verb,"['to ameliorate, to better, to improve, to advance, to mend.']",,,
բացայայտ,adverb,"['evident, manifest, explicit, clear, glaring, obvious, open, overt, unambiguous, unmistakable; openly, clearly, overtly.']",,,
բացասել,verb,"['To state openly, to declare publicly; To give a negative answer, to deny, to say ""no""; To reject, to not accept, to not fulfill.']",,,
բացուածք,noun,"['opening, orifice, chunk, aperture.']",,,
բացուիլ,verb,"['to be opened, open.']",,,
բաւարար,adjective,"['sufficient, satisfactory, adequate, gratifying.']",,,
բաւել,verb,"['to be enough, to be sufficient, to suffice.']",,,
բեմադրել,verb,"['to stage, to direct.']",,,
բերկրանք,noun,"['mirth, joy, joyfulness, gaiety, cheerfulness, delight, merriness.']",,,
բերուիլ,verb,"['to be brought, to be brought forward, to be fetched.']",,,
բեւեռ,noun,"['nail, spike, pole.']",,,
բիւրօ,noun,['bureau.'],,,
բխիլ,verb,"['to spring, to stream, to arise, to flow, to spout, to gush, to proceed; to derive, to emanate, to emerge.']",,,
բնագաւառ,noun,"['home, native country; domain, field of study, area of expertise, realm.']",,,
բնակիլ,verb,"['to dwell, to live, to lodge, to inhabit, to reside, to stay.']",,,
բնաջնջել,verb,"['to annihilate, to exterminate.']",,,
բնաւ,adverb,"['not at all, never, in no wise, not in the least.']",,,
բնոյթ,noun,"['nature, essence.']",,,
բոլորել,verb,"['To twist into a circular shape, to weave into a ring; To encircle, to surround by forming a circle; To complete a cycle, to finish a round, to complete (an anniversary, orbit, etc.); To gather together, to assemble, to bring together; To shrink back, to conceal from others.']",,,
բոյս,noun,"['plant, herb.']",,,
բորբոքիլ,verb,"['to be inflamed, to blaze, to ignite, to kindle, to flare up; to get angry, to be mad, to get into a passion.']",,,
բուժիչ,adjective,"['healing, curative, remedial; healer, curer.']",,,
բուժուիլ,verb,"['to be treated medically, to be healed, to be cured; to be alleviated, soothed.']",,,
բուսնիլ,verb,"['to spring, to shoot, to vegetate, to sprout, to spring up, to grow.']",,,
բռնաւոր,noun,"['tyrant, usurper; impetuous, violent, tyrannical.']",,,
բռնկիլ,verb,"['to catch fire, to ignite, to blaze up, to burst into flame; (figuratively) to get angry, to become fiery or passionate, to flare up.']",,,
բռնուիլ,verb,"['to be held, to be taken, to be arrested, to be caught.']",,,
գահակալ,noun,"['heir, successor to the throne.']",,,
գանգատիլ,verb,"['to complain, to grumble, to express distress.']",,,
գանձել,verb,"['to amass treasure or wealth, to hoard; to accumulate (figuratively), to store up; to collect payments due to a treasury.']",,,
գանձուիլ,verb,"['to be amassed (treasure or wealth), to be hoarded; to be accumulated (figuratively), to be stored up; to be collected (payments due to a treasury).']",,,
գաւակ,noun,"['The hind part of a horse, from the tail up to the back; By extension: The hind part of other four-legged animals, and even of a person.']",,,
գգուանք,noun,"['tenderness, caress, blandishment, endearments, cajolery, flattery.']",,,
գգուել,verb,"['to caress or fondle lovingly; (figuratively) to show affection, respect, or care.']",,,
գեղակերտ,adjective,['beautifully built.'],,,
գեղատիպ,adjective,"['beautiful, elegant, pretty; beautifully printed.']",,,
գերակշիռ,adjective,"['predominant, prevailing, prevalent, preponderant.']",,,
գէր,adjective,"['fat, obese, corpulent (for people or animals); thick, bulky, swollen, overweight (due to fat or bulk); fertile, rich (describing soil); oily, juicy, rich in fat (in food).']",,,
գինովնալ,verb,"['to get drunk, to get intoxicated, to be drunken.']",,,
գիտակ,noun,['Knowledgeable; informed; well-versed; familiar; aware.'],,,
գիտակցիլ,verb,"['to feel, to be conscious of, to be aware of.']",,,
գիտցուիլ,verb,"['to be known, to be acquainted.']",,,
գլխացաւ,noun,['headache.'],,,
գլխաւոր,adjective,"['chief, principal, main, cardinal, dominant; boss.']",,,
գծագրել,verb,"['to draw, to sketch, to delineate, to design, to draft, to graph, to pencil, to describe, to plan.']",,,
գծանկար,noun,"['graphic, drawing.']",,,
գծուիլ,verb,"['to be crossed out, ruled, regulated, drawn, penciled, drafted, designed.']",,,
գմբէթ,noun,"['dome, cupola.']",,,
գնդախաղ,noun,"['a game involving a ball, e.g. football, tennis, baseball, golf etc.']",,,
գնուիլ,verb,"['to be bought, to be purchased.']",,,
գողնալ,verb,"['to steal, to rob, to plunder, to pilfer.']",,,
գոյամարտ,noun,['struggle of life.'],,,
գոյացնել,verb,"['to yield, to produce, to bring to, to originate, to substantiate.']",,,
գոյժ,noun,"['sad news, lamentation.']",,,
գոյք,noun,"['possessions, property, thing, matter, chattels, effects.']",,,
գովասանք,noun,"['praise, laud, eulogy, compliment, commendation.']",,,
գովերգել,verb,"['to praise, to exalt, to sing, to celebrate.']",,,
գործուիլ,verb,"['to be worked, operated, fabricated, performed, to be enacted.']",,,
գոցել,verb,"['to shut, to close, to enclose, to lock.']",,,
գոցուիլ,verb,"['to be closed, to be shut, enclosed; to skin over (wound).']",,,
գուժել,verb,['to give sad news.'],,,
գունատիլ,verb,"['to turn pale, to fade, to lose color, to pale.']",,,
գունաւոր,adjective,"['colored, illuminated; dyed.']",,,
գուցէ,adverb,['perhaps.'],,,
գտնուիլ,verb,"['to be found; to be situated, to be located at; to be, to exist.']",,,
գրագէտ,adjective,"['literate; man of letters, lettered, literary man, writer.']",,,
գրաւել,verb,"['to occupy, to seize, to confiscate, to appropriate, to invade.']",,,
գրաւիչ,adjective,"['attractive, striking, thrilling, enchanting, engaging.']",,,
գրաւուիլ,verb,"['To be pledged (something taken as collateral); To be seized or taken, whether legally or illegally; to be captured, conquered, appropriated, grabbed, or confiscated; To be settled or occupied by others; To be attracted, charmed, enchanted, captivated.']",,,
գրուածք,noun,"['writing, text, article; paper.']",,,
գրուիլ,verb,['to be written.'],,,
գրքոյկ,noun,"['booklet, small book, pamphlet, tract; memorandum.']",,,
գրքուկ,noun,"['booklet, small book, pamphlet, tract; memorandum.']",,,
գրքունակ,adjective,"['bookish, what is found in books, characterized for inclusion in books.']",,,
դալկահար,adjective,"['jaundiced, pale, pallid, wan, icterical, marcid, blank, yellow.']",,,
դանդաղիլ,verb,"['To move slowly, heavily, sluggishly; to delay or tarry.']",,,
դաշունել,verb,"['to stab with a poniard, to dagger, to transpierce.']",,,
դառնանալ,verb,"['to acquire a bitter or sour taste; to spoil; to feel bitterness (from tasting something bitter); (figurative) to develop a bitter attitude, to feel sorrow or anger, to resent; to become unpleasant, painful, or unlovable.']",,,
դասաժամ,noun,"['class time, class period, the time duration of class session.']",,,
դասախօս,noun,['lecturer.'],,,
դասապահ,noun,['class period.'],,,
դասուիլ,verb,"['to be classified; to be sorted, to be ordered.']",,,
դատավճիռ,noun,"['sentence, award, judgement.']",,,
դատուիլ,verb,['To be judged; To have a person’s case examined and a verdict issued by a judge; To be condemned; to be subjected to punishment.'],,,
դարաւոր,adjective,"['secular, centuries old; age-old.']",,,
դարբնոց,noun,"['forge, smithy, melting house, smithery, ironworks, workshop.']",,,
դարձեալ,adverb,"['again, once more, moreover; bis; also.']",,,
դարմանել,verb,"['to remedy, to treat, to cure, to foster, to restore, to repair.']",,,
դաւանանք,noun,"['profession (of faith), confession, declaration of faith.']",,,
դաւանել,verb,"['to profess, to confess, to avow.']",,,
դաւանիլ,verb,"['to profess, to confess, to avow.']",,,
դաւել,verb,['To plot; to scheme; to lay a plot or conspiracy against someone.'],,,
դեգերիլ,verb,"['to linger, to wander, to rove, to trifle.']",,,
դեղագործ,noun,"['pharmacist, apothecary, druggist; made of paint.']",,,
դեղնիլ,verb,"['To turn yellow; to become yellow in color; To grow pale/yellow from illness, fear, etc.; to become sallow.']",,,
դէմք,noun,"['face; person, of pronouns, of verbs; personality.']",,,
դէպք,noun,['event; accident; incident.'],,,
դժգոհանք,noun,"['displeasure, discontent, dissatisfaction, complaint.']",,,
դժգոհիլ,verb,"['to be displeased, to express dissatisfaction, to remain unsatisfied, to be dissatisfied, to complain.']",,,
դժուարաւ,adverb,"['hardly, difficultly, with difficulty; painfully.']",,,
դժուարիլ,verb,['To find something difficult; to experience difficulty; to be unable; To be reluctant; to take something badly; to feel offended or displeased.'],,,
դիզել,verb,"['to heap up, to pile, to accumulate, to amass.']",,,
դիմագիծ,noun,"['lineament, face.']",,,
դիպուած,noun,"['accident, event, occurrence, hazard, occasion, episode, fortuity, chance.']",,,
դիտուիլ,verb,"['to be observed, remarked, studied, considered, contemplated, watched.']",,,
դիւրանալ,verb,"['to become easy, to be facilitated.']",,,
դիւրաւ,adverb,"['easily, readily, with facility, pliantly.']",,,
դղեակ,noun,"['castle, fortress.']",,,
դողդղալ,verb,"['to shake or quiver due to cold, fear, or illness; to tremble from excitement, nervousness, or emotion; to vibrate or quiver slightly due to external forces.']",,,
դողդողալ,verb,"['to shake or quiver due to cold, fear, or illness; to tremble from excitement, nervousness, or emotion; to vibrate or quiver slightly due to external forces.']",,,
դպրեվանք,noun,"['clerical college, seminary.']",,,
դռոյթ,noun,"['crew, band, crowd; assault, attack.']",,,
դրդուիլ,verb,"['to be pushed, incited, instigated, stimulated; to be shaken; to move, to stagger.']",,,
դրոշմել,verb,"['to stamp, to print, to mark, to confirm; to register, to seal, to impress.']",,,
դրուագ,noun,"['sculpture, thin plate of metal, chapter, episode.']",,,
դրուածք,noun,"['the way in which something is done; position; the accepted order; placement, arrangement.']",,,
դրուատել,verb,"['to praise, to laud, to acclaim, to recommend.']",,,
դրուատիք,noun,"['praise, laud, eulogy.']",,,
դրուիլ,verb,"['to be set, put, laid.']",,,
դրօշ,noun,"['flag, standard, banner, ensign; statue.']",,,
ելեւէջ,noun,"['ups and downs, vicissitudes; modulation.']",,,
