title,part_of_speech,definition,current_etymology,priority
հաւաստել,verb,"['to confirm, to assure, to secure, to certify, to corroborate.']",,2
հաւաստիք,noun,"['assurance, certitude, security, testimony, confidence, certainty, warrant, best source.']",,2
հաւատալ,verb,"['to believe, to have faith in, to confide in, to trust to, to give credit to, to rely on; to entrus",,2
հաւատալիք,noun,"['doctrine, the principles, belief.']",,3
հաւատամք,noun,"['creed, belief, confession of faith, credo, tenet.']",,2
հաւատարմութիւն,noun,"['faith, fidelity, loyalty, plain-dealing, faithfulness, allegiance, good faith.']",,3
հաւատարմօրէն,adverb,"['faithfully, loyally, reliably.']",,3
հաւատացեալ,noun,"['believer, faithful; loyal, trusted.']",,3
հաւատաւոր,adjective,"[""spiritual, having great conviction in one's faith or beliefs; nun, monk.""]",,3
հաւատաքննութիւն,noun,['inquisition.'],,3
հաւատք,noun,"['belief, faith, creed, credence, religion.']",,2
հաւաքաբար,adverb,['collectively.'],,3
հաւաքածոյ,noun,"['collection, compendium.']",,3
հաւաքական,adjective,['collective.'],,3
հաւաքականութիւն,noun,"['collectiveness, collection; people, group, team.']",,3
հաւաքել,verb,"['to collect, to amass, to compile, to mass, to stock, to assemble, to make collections of things.']",,2
հաւաքոյթ,noun,"['meeting, gathering, get-together.']",,2
հաւաքուիլ,verb,"['to be collected, to gather, to muster, to assemble, to come together, to crowd, to meet at an appo",,3
հաւնիլ,verb,"['to be pleased, to like, to find pleasant, to approve, to like.']",,2
հեգնութիւն,noun,"['irony, bantering, quizzing, scoff, sarcasm, derision, taunt, jeer.']",,3
հեգնօրէն,adverb,"['with sarcasm, mockery, or irony; sarcastically, mockingly, ironically, tauntingly, satirically.']",,2
հեթանոսական,adjective,"['heathenish, pagan, gentile.']",,3
հեթանոսութիւն,noun,['Being a pagan or a foreigner (according to the ancient Jews); Paganism; idolatry.'],,3
հեծեծանք,noun,"['groaning, groan, sob, moan, heavy sighs, complaint.']",,2
հեծկլտանք,noun,"['hiccough, hiccup, sob, sobbing.']",,3
հեղեղային,adjective,"['relating to a flood or floods, torrential, diluvial, diluvian.']",,3
հեղեղօրէն,adverb,"['as a torrent, like a flood.']",,3
հեղինակաւոր,adjective,"['authoritative, decretorial.']",,3
հեղինակել,verb,"['to write, to compose.']",,3
հեղինակութիւն,noun,"['authority, legal power, rule, sway, piece of work, works, production, deed.']",,3
հեղձուցիչ,adjective,"['suffocating, choking, stifling, asphyxiant.']",,3
հեշտութիւն,noun,"['ease, facility, delight, pleasure, deliciousness, voluptuousness.']",,3
հեռատեսութիւն,noun,"['farsightedness, prospection, presbyopia, over-sight, long-sightedness, hypermetropia.']",,3
հեռացուիլ,verb,"['To be removed; To be driven out, expelled, banished, or ousted (from a house, school); To be uproo",,3
հեռացումն,noun,"['the act of leaving, departing, or moving away; departure, withdrawal; the act of being removed or ",,3
հեռաւոր,adjective,"['far, faraway, remote, removed, distant, far-off.']",,2
հեռաւորութիւն,noun,"['distance, remoteness, absence.']",,3
հետազօտել,verb,"['to research, to explore, to seek for, to seek after, to search, to investigate, to inquire into, t",,3
հետազօտութիւն,noun,"['investigation, inquiry, research, examination, exploration; curiosity.']",,3
հետազօտուիլ,verb,"['to be researched, explored.']",,3
հետազօտումն,noun,"['research, investigation, exploration, search, inquiry.']",,3
հետախուզել,verb,"['to track, to investigate, to research.']",,3
հետապնդել,verb,"['to pursue, to proceed along, to prosecute, to run after, to chase.']",,3
հետապնդուիլ,verb,"['to be pursued, chased, to be run after, to be prosecuted.']",,3
հետապնդումն,noun,"['pursuit, chase, proceedings, prosecution.']",,3
հետաքրքրուիլ,verb,"['to be curious, to have an interest, to wonder.']",,3
հետեւաբար,adverb,['consequently; therefore.'],,3
հետեւանք,noun,"['consequence, sequel, result, induction, inference: corollary.']",,2
հետեւեալ,noun,"['refers to something that comes immediately after, either in order, time, or context; that which im",,2
հետեւիլ,verb,"['to follow, to accompany, to result, to pursue.']",,2
հետեւող,noun,['follower.'],,2
հետեւողական,adjective,"['something that follows as a natural consequence, in accordance with what preceded it; logical, con",,3
հետեւողականութիւն,noun,['consistency.'],,3
հետեւողականօրէն,adverb,['consistently.'],,3
հետեւցնել,verb,"['to make to follow, to extract a consequence, to conclude, to infer, to deduce.']",,3
հետզհետէ,adverb,"['little by little, successively, by turns, consecutively, one after another.']",,2
հերկուիլ,verb,['to be plowed or tilled; (Figurative) to be furrowed; to have grooves or tracks carved into it; (Fi,,2
հերոսամարտ,noun,"['gigantomachy, heroic battle, the battle of heroes.']",,3
հերոսութիւն,noun,"['heroism, undauntedness; heroic act.']",,3
հեւալ,verb,"['to pant, to gasp, to puff, to heave.']",,1
հեւք,noun,"['panting, anhelation; breath.']",,1
հեւքոտ,adjective,"['anhelous, short of breath, out of breath, breathless; panting.']",,2
հզօրանալ,verb,"['to grow strong, to become powerful, to prevail, to gather strength.']",,2
հզօրանք,noun,"['might, great power or strength.']",,2
հզօրացնել,verb,"['to fortify, to strengthen, to make strong.']",,3
հզօրացումն,noun,['strengthening.'],,3
հզօրութիւն,noun,"['the state of being strong or powerful, strength; power, force, might; intensity, forcefulness; for",,3
հիասթափութիւն,noun,"['disillusion, disenchantment.']",,3
հիացիկ,adjective,"['Admiring; filled with admiration; Wonderful, admirable; Expressing admiration; admiring in tone.']",,2
հիացնել,verb,"['to astonish, to amaze, to ravish, to make to admire, to enrapture.']",,2
հիացումն,noun,"['admiration, astonishment, wonder, amaze, marvel, ecstasy, rapture, fervor, frenzy, transport.']",,2
հիմնադրութիւն,noun,"['foundation, institution, creation, establishment.']",,3
հիմնադրուիլ,verb,"['to be founded, to be established.']",,3
հիմնապէս,adverb,['fundamentally.'],,2
հիմնարկ,noun,['foundation.'],,2
հիմնարկէք,noun,['foundation.'],,3
հիմնարկութիւն,noun,"['foundation, establishment, institution, concern.']",,3
հիմնաւորել,verb,"['to base, to lay.']",,3
հիմնաւորումն,noun,"['basis, reasoning, foundation.']",,3
հիմնաքար,noun,"['cornerstone, foundation stone, headstone.']",,2
հիմնել,verb,"['to found, to establish, to build, to erect.']",,2
հիմնովին,adverb,"['thoroughly, from top to bottom, wholly, totally, completely, fundamentally.']",,2
հիմնուիլ,verb,"['to be based, founded, to be founded, built, erected; to be based on (facts, evidence).']",,2
հինաւուրց,adjective,"['old, aged, antique, ancient.']",,3
հիննալ,verb,"['to grow, to get old, to be worn out.']",,2
հիւանդ,adverb,"['sick, ill, diseased, unwell, infirm, invalid, unhealthy, suffering, patient, in pain.']",,2
հիւանդանալ,verb,"['to fall ill, to fall sick, to be sick; to sicken.']",,3
հիւանդանոց,noun,"['hospital, infirmary; sick-ward.']",,3
հիւանդութիւն,noun,"['sickness, illness, malady, disease, disorder, infirmity, weakness; indisposition.']",,3
հիւթեղ,adjective,"['juicy, succulent.']",,2
հիւլէ,noun,"['atom, molecule, corpuscle.']",,1
հիւլէական,adjective,['atomic.'],,3
հիւծել,verb,"['to emaciate, to make lean.']",,2
հիւծիլ,verb,"[""to grow lean, to shrink, to pine away, to languish, to decay, to perish, to fall away, to emaciate",,2
հիւպատոսարան,noun,['consulate.'],,3
հիւսել,verb,"['to weave, to web, to knit, to twist, to interlace, to plait, to lace, to braid, to intertwine, to ",,2
հիւսիսային,adjective,['northern.'],,3
հիւսուիլ,verb,"['to be woven, to be knitted, twisted, interlaced, laced, braided, intertwined, intwined.']",,2
հիւր,noun,"['guest, visitor.']",,1
հիւրանոց,noun,['hospice; hotel; parlor.'],,2
հիւրասիրել,verb,"['to host, to entertain, to offer hospitality to guests.']",,3
հիւրասիրութիւն,noun,['hospitality.'],,3
հիւրընկալ,adjective,"['Hospitable — welcoming and kind to guests; Guest-master; In earlier times, the manager of the gues",,3
հիւրընկալել,verb,['To receive someone as a guest; to host.'],,3
հմայութիւն,noun,"['magical incantations and rituals used by sorcerers to cast spells or enchant; enchantments, spells",,3
հմայուիլ,verb,"['to be bewitch, spellbound; to be charmed enticed, fascinated, attracted, allured, seduced.']",,2
հմտաբար,adverb,"['skillfully, proficiently, learnedly, knowingly.']",,2
հմտութիւն,noun,"['erudition, learning, proficiency, ability, instruction, education, knowledge, tuition.']",,3
հմտօրէն,adverb,"['skillfully, learnedly, knowingly, eruditely.']",,2
հնագիտութիւն,noun,"['archaeology, paleology, antiquarianism.']",,3
հնագոյն,adjective,['older; oldest; immemorial.'],,2
հնադարեան,noun,"['Belonging to ancient times, antiquated; Old, longstanding, existing since ancient times.']",,3
հնազանդիլ,verb,"[""to obey; to submit to someone's command or will; to listen, follow orders, or yield to rules, laws",,3
հնազանդութիւն,noun,['obedience.'],,3
հնարագէտ,adjective,"['resourceful, inventive, clever — one who knows or devises clever solutions; demonstrating ingenuit",,2
հնարագիտութիւն,noun,"['ingenuity; resourcefulness; cleverness; the state or quality of being ingenious, the characteristi",,3
հնարամտութիւն,noun,"['cleverness, industriousness, ingeniousness.']",,3
հնարաւոր,adjective,"['possible, feasible.']",,2
հնարաւորութիւն,noun,"['possibility, feasibility, means.']",,3
հնաւանդ,adjective,"['transmitted or passed down from long ago, old traditional, ancient.']",,2
հնութիւն,noun,"['oldness, antiquity, ancientness, piece, relic of antiquity, archaeological artifact.']",,2
հնչեցնել,verb,"['to sound, to make to resound, to reverberate, to resound, to ring, to toll.']",,2
հնչիւն,noun,"['sound, chink, noise, echo.']",,2
հնչումն,noun,['pronunciation.'],,2
հոգաբարձութիւն,noun,"['intendance, management, tutelage, trusteeship, directorship, superintendance, board of trustees.']",,3
հոգածութիւն,noun,"['carefulness, solicitude, attendance on, regard.']",,3
հոգատարութիւն,noun,"['caretake, support, carefulness, solicitude, mandate, protectorate.']",,3
հոգեբանութիւն,noun,['psychology.'],,3
հոգեբանօրէն,adverb,['from the point of view of psychology; psychologically.'],,3
հոգեխռով,adjective,"['soul-stirring, emotional, heart-rending; that disturbs or agitates the soul; moving, touching, dee",,2
հոգեկան,adjective,"['spiritual, mental, psychic; pertaining to the soul or mind; psychological or emotional; immaterial",,2
հոգեմտաւոր,adjective,['spiritual-intellectual.'],,3
հոգեպարար,adjective,"['nourished by the Holy Spirit, soul-stirring.']",,3
հոգեպէս,adverb,"['spiritually, psychologically.']",,2
հոգեվիճակ,noun,"['mental state, emotional condition; a person’s psychological or emotional state, encompassing mood,",,3
հոգեւոր,adjective,"['spiritual, devout, pious, godly.']",,2
հոգեւորական,noun,"['spiritual; related to a clergyman or the clergy, clerical; clergyman.']",,3
հոգեւորականութիւն,noun,"['spiritualism, spirituality; clergy.']",,3
հոգեփոխութիւն,noun,"['transmigration of souls, metempsychosis; change in spirit, psychological state.']",,3
հոլովոյթ,noun,"['evolution, rotation, circulation.']",,2
հոծ,adjective,"['dense, compact, thick, massive, bulky.']",,1
հողագործ,noun,"['farmer, agriculturist.']",,2
հողագործութիւն,noun,"['agriculture, farming, cultivation of land.']",,3
հողամաս,noun,['parcel of land.'],,2
հողային,adjective,"['terrestrial, earthly, territorial, agrarian, earthen.']",,2
հոսիլ,verb,"['to flow, to stream, to drop, to leak, to run, to pass, to glide away, to drain, to shed, to spill,",,1
հովահարութիւն,noun,['Fanning; the act of being fanned; Windstroke / being struck by the wind.'],,3
հովահարումն,noun,['Fanning; the act of being fanned; Windstroke / being struck by the wind.'],,3
հովանաւորել,verb,"['to shade, to patronize, to protect, to sponsor.']",,3
հովանաւորութիւն,noun,"['protection, patronage, sponsorship.']",,3
հովանաւորուիլ,verb,"['to be shaded, patronized, protected, sponsored.']",,3
հովուերգութիւն,noun,"['eclogue, bucolic, pastoral poesy, idyll.']",,3
հոտառութիւն,noun,"['smelling, sense of smell, olfaction, smell.']",,3
հունձք,noun,"['harvest, reaping, yield; the act of harvesting (especially grain); the crop being harvested; the s",,2
հպատակիլ,verb,"[""to obey a command; to submit to someone's will; to become subject to authority or power; to surren",,2
հպատակութիւն,noun,"['Submissiveness, obedience, submission; the quality or state of being a subject; The legal status o",,3
հպարտանք,noun,['pride.'],,2
հպարտութիւն,noun,"['pride, arrogance, haughtiness, vain-glory, superciliousness, boasting, ostentation.']",,3
հպարտօրէն,adverb,"['proudly, haughtily, superciliously.']",,3
հռետորութիւն,noun,"['rhetoric, oratory.']",,3
հռչակաւոր,adjective,"['famous, celebrated, renowned, distinguished, famed, noted.']",,3
հռչակուիլ,verb,"['to become celebrated, to be made known, to be announced, to be declared; to be famous, divulged.']",,3
հռչակումն,noun,"['celebration, announcement, declaration.']",,3
հսկայ,noun,['A giant; a person endowed with extraordinary strength and heroic stature; In general: a person of ,,1
հսկողութիւն,noun,"['superintendence, inspection, vigilance, watchfulness, supervision.']",,3
հրաբխային,adjective,"['volcanic, eruptive.']",,3
հրաժարիլ,verb,"['to resign, to renounce, to abstain, to give up, to retire.']",,2
հրաժարումն,noun,"['the act of renouncing or giving up something; renunciation; resignation, stepping down from a posi",,3
հրահանգել,verb,"['to instruct, to teach, to exercise, to tutor, to train up, to practise, to discipline, to form, to",,3
հրամանագիր,noun,"['a written document containing an order or command; decree, order, edict; license, permit.']",,3
հրամանատարութիւն,noun,"['office of a commander, command, manner of commanding.']",,3
հրամցնել,verb,"['to offer, to present, to attend, to wait on, to serve.']",,2
հրամցուիլ,verb,"['to be offered, presented, attended, to be waited on, to be served.']",,3
հրաշագործ,adjective,"['miracle-working, miraculous power, wondrous, performing miracles, capable of wondrous deeds; made ",,3
հրաշալիք,noun,"['miracle, prodigy, wonders, marvel.']",,2
հրաշակերտել,verb,"['to make a masterpiece, to make wonderfully well.']",,3
հրաշունչ,adjective,"['scorching, ardent, burning, fiery.']",,2
հրապարակագիր,noun,"['publicist, writer.']",,3
հրապարակագրական,adjective,['pertaining or relating to journalistic (publicistic) writing.'],,3
հրապարակագրութիւն,noun,"['the profession of a publicist; publicistic writing, journalism, or public commentary; journalism t",,3
հրապարակային,adjective,"['public, solemn; notorious.']",,3
հրապարակաւ,adverb,"['publicly, in public, professedly.']",,3
հրապարակուիլ,verb,"['to be published, divulged, proclaimed, disclosed, made public, promulgated; to be reported.']",,3
հրապարակումն,noun,"['publication, promulgation, publicity, divulgation.']",,3
հրապոյր,noun,"['charm, attraction, allurement, seduction, flattery.']",,2
հրապուրիչ,adjective,"['attractive, alluring, inviting, charming, seductive, enticing, tempting, bewitching, engaging, bri",,3
հրատարակութիւն,noun,"['publication, publicity, edition, promulgation, release.']",,3
հրատարակուիլ,verb,"['to come out, to be published, to be seen.']",,3
հրատարակումն,noun,"['publication, promulgation, proclamation; release.']",,3
հրատարակչական,noun,"['pertaining to publishing, book publishing; publisher, book publisher.']",,3
հրատարակչութիւն,noun,"['publishing, editing; publishing or editing staff.']",,3
հրաւիրեալ,adjective,"['invited; guest, someone who is invited.']",,3
հրաւիրել,verb,"['to invite, to convoke, to convene, to assemble, to call together, to summon.']",,2
հրաւիրուիլ,verb,['to be invited.'],,3
հրդեհել,verb,"['to set fire to, to burn down.']",,2
հրէական,adjective,"['Judaical, Jewish.']",,2
հրէշային,adjective,"['monstrous, heinous, criminal, enormous.']",,2
հրկիզուիլ,verb,"['to be burned down, to be set on fire.']",,3
հրկիզումն,noun,"['the act of setting or being set on fire and burning, arson, ignition, incendiarism, fire, combusti",,3
հրճուանք,noun,"['rejoicing, joy, delight, joyfulness, gladness, glee, mirth, gaiety, pleasure.']",,2
հրճուիլ,verb,"['to rejoice, to exult, to be delighted, to take joy; to feel and outwardly express deep emotional s",,2
հրոսակ,noun,['A raiding or warring band; a group engaged in a military campaign or attack; A band of brigands or,,2
հրուանդան,noun,"['cape, promontory, headland, foreland.']",,3
ձախաւերութիւն,noun,"['awkwardness, clumsiness, unskillfulness, blunder.']",,3
ձախողանք,noun,"['adversity, misfortune, failure, mischance, disaster; disgrace; reversal.']",,2
ձախողիլ,verb,"['to be unsuccessful, to fail.']",,2
ձախողութիւն,noun,"['adversity, misfortune, failure, reverse, tribulation, mischance, disaster: disgrace; reversal.']",,3
ձախորդութիւն,noun,"['adversity, misfortune, traverse, reverse, fall, tribulation, ill-luck, mishap, mischance.']",,3
ձայնագրութիւն,noun,"['phonography; audiotaping, audio recording; tape, recording.']",,3
ձայնասփիւռ,noun,['radio.'],,3
ձանձրացնել,verb,"['to annoy, to trouble, to bother, to tease, to tire, to bore.']",,3
ձանձրոյթ,noun,"['ennui, boredom, weariness, tediousness, annoyance, tedium.']",,2
ձգձգումն,noun,"['procrastination; adjournment; pulling, hauling about.']",,2
ձգուիլ,verb,"[""To be left, to be abandoned; To be released; To be thrown; To be extended, stretched; To stretch o",,2
ձգտիլ,verb,"[""to stretch; to strive, to try, to seek, to aim; to stretch one's limb.""]",,1
ձգտումն,noun,"['tension, tendency; aspiration.']",,2
ձեռնադրութիւն,noun,"['ordination, laying on of hands, ordination ceremony.']",,3
ձեռնարկութիւն,noun,"['undertaking, enterprise, attempt, contract, concern, establishment.']",,3
ձեռնարկուիլ,verb,"['to be undertaken, to be embarked upon, to be attempted, tried, instituted.']",,3
ձեռնհասութիւն,noun,"['competence; competency, ability, capacity.']",,3
ձեռնհասօրէն,adverb,"['competently, proficiently.']",,3
ձերբազատել,verb,"['to disenslave, to emancipate, to set free.']",,3
ձերբազատիլ,verb,"['to emancipate oneself, to free oneself, to become free.']",,3
ձերբազատուիլ,verb,"['to be set free, to be emancipated.']",,3
ձերբակալութիւն,noun,"['the act of arresting or depriving someone of freedom; detention, imprisonment, incarceration, arre",,3
ձերբակալուիլ,verb,"['to be arrested, apprehended, stopped, captured, seized, to be taken into custody, to be rounded up",,3
ձեւ,noun,"['form, shape, figure, mode, formula, make, fashion, manner, mould, model, plan.']",,1
ձեւականութիւն,noun,"['formality, modality.']",,3
ձեւակերպել,verb,"['to form, to figure, to give a form to, to give a shape to, to fashion.']",,3
ձեւակերպութիւն,noun,"['Formulation, shaping, expression; the act of giving form, or of being given form; A formed object,",,3
ձեւանալ,verb,"['to be made, to be bred, to be formed, to assume a form, to come to some shape; to pretend, to simu",,2
ձեւացնել,verb,"['to form, to shape, to model, to figure, to affect, to assume, to bring up, to fashion, to feign, t",,2
ձեւաւորել,verb,"['to form, to shape.']",,3
ձեւաւորումն,noun,"['formation, shaping.']",,3
ձեւափոխել,verb,"['to transform, to change the form or shape of something; to give a different form, to reshape, to m",,3
ձուլումն,noun,"['casting, fusion, smelting, blending; assimilation.']",,2
ձօն,noun,"['dedication, present, gift.']",,1
ձօնել,verb,"['to give, to offer, to dedicate, to present, to consecrate, to devote, to donate, to inscribe.']",,1
ղեկավարութիւն,noun,"['steering, government, direction, management.']",,3
ղեկավարուիլ,verb,"['to be steered, governed, directed, managed, piloted, held by the helm.']",,3
ղեկավարումն,noun,"['steering; leadership, management, governance.']",,3
ղրկուիլ,verb,"['to be sent, to be dispatched, shipped.']",,2
ղրուշ,noun,"['Turkish coin, equal to 40 paras, or 0.227 gold francs; One hundredth of certain currencies; Small ",,1
ղօղանջ,noun,"['barking, yelping, baying; ringing of bells.']",,2
ղօղանջել,verb,"['to sound, to chink, to ring, to clank, to tinkle, to ding.']",,2
ճակատագրական,adjective,"['fatal, fatalist.']",,3
ճակատագրականօրէն,adverb,"['fatefully, fatally.']",,3
ճակատագրակից,noun,['One who shares the same fate; a companion in destiny; a fellow sufferer / fellow in fortune.'],,3
ճակատագրապաշտութիւն,noun,['fatalism; determinism.'],,3
ճակատիլ,verb,"['to confront, to front the enemy, to battle; to face, to come face to face; to resist, to set onese",,2
ճակատումն,noun,['confrontation.'],,3
ճահճային,adjective,"['paludal, marshy.']",,2
ճահճացումն,noun,"['swampification; stagnation, stagnancy.']",,3
ճամբեզր,noun,['edge of the road.'],,2
ճամբել,verb,"['to send away, to send back, to put off; to dismiss.']",,2
ճամբորդ,noun,"['traveller, passenger.']",,2
ճամբորդական,adjective,"['relating to travel, itinerary, viatic.']",,3
ճամբորդել,verb,"['to travel, to voyage.']",,3
ճամբորդութիւն,noun,"['journey, travel, travelling, trip.']",,3
ճանաչումն,noun,"['knowledge, acquaintance, perception, recognition, acknowledgment, cognition.']",,3
ճանչցուիլ,verb,"['to be known, recognized.']",,3
ճաշակաւոր,adjective,"['tasty, tasteful, delicate.']",,3
ճաշակել,verb,"['to eat, to taste, to relish, to savour, to sip.']",,2
ճաշկերոյթ,noun,"['banquet, feast, dinner, treat, dinner party.']",,3
ճառագայթել,verb,"['to radiate, to beam, to gleam.']",,3
ճառագայթումն,noun,"['radiation, irradiation, radiant, lustre, glare, effulgence, splendor.']",,3
ճառախօսել,verb,"['to lecture, to orate, to discourse, to dissert.']",,3
ճառախօսութիւն,noun,"['discourse, speech.']",,3
ճարպիկութիւն,noun,['Agility; dexterity; nimbleness; resourcefulness; cleverness.'],,3
ճարտասանութիւն,noun,"['The quality or act of being eloquent; eloquence, oratory; The art or discipline that teaches the m",,3
ճարտարագէտ,noun,['engineer.'],,3
ճարտարագիտութիւն,noun,['engineering.'],,3
ճարտարապետական,adjective,['architectural.'],,3
ճարտարապետութիւն,noun,"['architecture, architectonics, the art of applying beauty, utility and emotional expression to buil",,3
ճարտարարուեստ,noun,"['manufacture, industry.']",,3
ճարտարութիւն,noun,"['industry, art, skill, dexterity, ability, cleverness, ingenuity, craft: artifice.']",,3
ճգնաժամային,adjective,['critical.'],,3
ճեմարան,noun,['academy.'],,2
ճենճերումն,noun,['The act of causing meat to sizzle while roasting or boiling; the act of roasting/boiling (meat); (,,3
ճերմկցնել,verb,"['to whiten, to make white, to bleach.']",,3
ճզմել,verb,"['to press, to crush, to bruise, to squeeze, to squash.']",,1
ճիւղաւորումն,noun,"['The act of branching out; branching, ramification, subdivision.']",,3
ճկունութիւն,noun,"['agility, pliantness, suppleness, flexibility.']",,3
ճմլումն,noun,"['pressing, contusion, bruising, bruises, squeeze.']",,2
ճնշուիլ,verb,"['to bed pressed, oppressed, compressed, squeezed, depressed, weighed upon.']",,2
ճնշումն,noun,"['compression, oppression; depression; pressure.']",,2
ճշգրտութիւն,noun,"['precision, justness, exactness, truth.']",,3
ճշգրտօրէն,adverb,"['exactly, accurately, minutely.']",,3
ճշդապահութիւն,noun,"['punctuality, preciseness, strictness.']",,3
ճշդել,verb,['To give or sell sparingly and in exact measure; to be economical or stingy; to conserve or hold ti,,1
ճշդումն,noun,"['delimitation, determination, verification.']",,2
ճշմարտախօս,adjective,"['One who speaks the truth; truthful, honest, sincere; one who tells things as they are.']",,3
ճշմարտապէս,adverb,"['truly, really, verily.']",,3
ճշմարտութիւն,noun,['truth.'],,3
ճշտել,verb,['To give or sell sparingly and in exact measure; to be economical or stingy; to conserve or hold ti,,1
ճոխանալ,verb,"['to become wealthy, rich, to grow opulent, to thrive, to enrich oneself, to prevail, to rule over, ",,2
ճոխացնել,verb,"['to enrich, to enhance, to make wealthy, to gift, to endow.']",,2
ճոխութիւն,noun,"['opulence, richness; abundance, sway, gorgeousness, pomp, show, ostentation; authority, influence.'",,3
ճոխօրէն,adverb,"['opulently, richly, wealthily, copiously, plentifully, abundantly: greatly, amply.']",,2
ճորտատիրութիւն,noun,['Serfdom; the system or condition of owning serfs; Feudalism; the feudal system; a social order cha,,3
ճորտութիւն,noun,['Serfdom; the condition of being a serf; the state of having no rights as a serf; The institution o,,3
մագաղաթ,noun,"['parchment, charta; scroll, roll.']",,2
մախանք,noun,"['Spite, malevolence, malicious envy, ill will.']",,2
մակագրութիւն,noun,"['annotation; note, comment.']",,3
մակերեսային,adjective,"['superficial, on the surface only, external.']",,3
մակերեւոյթ,noun,"['surface, superficies, area, outside.']",,3
մակընթացութիւն,noun,"['flux, flow, tide, flood.']",,3
մահադէմ,adjective,"['pale, wan, pale as death, livid.']",,2
մահազանգ,noun,"['death-knell, death bell.']",,2
մահազդ,noun,"[""Obituary notice, death announcement; A notification or announcement about someone's death.""]",,2
մահացութիւն,noun,"['mortality, death rate, fatality; the state of being mortal, subject to death; the number of deaths",,3
մահացումն,noun,"['killing, death; mortification.']",,3
մաղաս,noun,"['(Physiological/medical) A white, viscous, thread-like secretion produced by mucous membranes, such",,1
մայիսեան,adjective,"['pertaining to the month of May, of May.']",,2
մայրութիւն,noun,"['motherhood, maternity.']",,3
մանկապատանեկան,adjective,"[""children's and youth, juvenile.""]",,3
մանկապարտէզ,noun,['kindergarten.'],,3
մանկավարժ,noun,"['pedagogue, educator tutor, teacher, instructor; schoolmaster, preceptor; pedagogic.']",,3
մանկավարժութիւն,noun,"['pedagogy, education.']",,3
մանկութիւն,noun,"['infancy, childhood, boyhood, puerility.']",,3
մանրամասնել,verb,"['to detail, to relate minutely, to specify, to particularize.']",,3
մանրամասնութիւն,noun,"['detail, peculiarity.']",,3
մանրամասնօրէն,adverb,"['in detail, particularly, scrupulously.']",,3
մանրանկարչութիւն,noun,['miniature (painting).'],,3
մանրէասպան,adjective,"['microbicide, bactericide, antibiotic.']",,3
մաշել,verb,"['to use up, to consume, to waste, to wear out, to abrade, to erode, to cause to deteriorate, to mak",,1
մաշեցնել,verb,"['to abrade, to grind, to wear; to exhaust; to use up, to consume, to waste, to wear out, to cause t",,2
մաշիլ,verb,"['to be used, consumed, worn out, to fall, to pine, to dwindle away, to wear away.']",,1
մաշուիլ,verb,"['to be used up, consume, wasted, worn out, deteriorated, made worse.']",,2
մաշումն,noun,"['decay, corrosion, deterioration.']",,2
մասնագէտ,noun,['specialist.'],,2
մասնագիտութիւն,noun,"['line of business, speciality.']",,3
մասնակցութիւն,noun,"['share, participation, part.']",,3
մասնաճիւղ,noun,"['branch, branch establishment; speciality.']",,3
մասնայատուկ,adjective,"['specific, special, distinctive, characteristic, peculiar, particulate, singular.']",,3
մասնատել,verb,['To break into parts; to divide into sections or pieces.'],,2
մասնատուիլ,verb,['To be divided into parts; to be broken up into sections or pieces.'],,3
մասնաւորաբար,adverb,"['specially, particularly, peculiarly; ad hoc.']",,3
մասնաւորապէս,adverb,"['specially, particularly, peculiarly; ad hoc.']",,3
մատեան,noun,['book.'],,2
մատենագրութիւն,noun,"['bibliography, literature.']",,3
մատենադարան,noun,"['library, book case.']",,3
մատենաշար,noun,['book series.'],,3
մատնանիշ,adjective,"['indicated, pointed out: deceived.']",,2
մատնանշումն,noun,['indication.'],,3
մատնուիլ,verb,"['to be betrayed, to be subjected to betrayal or denunciation; to be revealed or exposed; to be subj",,2
մատուցանել,verb,"['To bring near; to approach; To give by hand, present, offer, or gift; To serve or give; o offer as",,3
մատուցուիլ,verb,"['To be brought near / approached; To be given by hand, presented, offered, or gifted; To be served ",,3
մատուցումն,noun,"['Offering, presentation, donation, dedication; Provision, supplying; Offer for sale; Presentation o",,3
մատչելի,adjective,"['accessible, approachable, within reach, affordable.']",,2
մարդասպանութիւն,noun,"['murder, homicide, manslaughter.']",,3
մարդկայնութիւն,noun,"['humanity, humanism, humanness.']",,3
մարդկօրէն,adverb,"['humanly, humanely.']",,3
մարդուժ,noun,"['manpower, workforce, human resources; the available supply of human labor, workers, or personnel.'",,2
մարզախաղ,noun,"['athletic game, tournament game; athletics.']",,2
մարզական,adjective,"['athletic, sporting; disciplinal.']",,2
մարզանք,noun,"['gymnastics, exercise, drill.']",,2
մարզուիլ,verb,"['to be educated, instructed, prepared, trained; to be drilled; to gain experience; to train physica",,2
մարիլ,verb,"['to go out (fire, light), to be extinguished, to be put out; to be quenched, to swoon away, to die ",,1
մարմնակրթանք,noun,"['gymnastics, physical training, athletics, bodily exercise.']",,3
մարմնանալ,verb,"['to become incarnate, to be embodied, to take the human nature.']",,3
մարմնացնել,verb,"['to corporify, to embody, to incarnate, to incorporate, to invest with a material body.']",,3
մարմնացումն,noun,"['embodiment, corporification, personification.']",,3
մարմնաւորել,verb,"['to embody, to corporify, to incarnate, to incorporate, to enflesh.']",,3
մարմնաւորումն,noun,"['embodiment, incarnation; anaplerosis (medical).']",,3
մարտահրաւէր,noun,['an invitation to fight; challenge.'],,3
