Title	Complement	POS_1	Definition_1	POS_2	Definition_2	POS_3	Definition_3	POS_4	Definition_4	POS_5	Definition_5	POS_6	Definition_6	POS_7	Definition_7	POS_8	Definition_8	POS_9	Definition_9	POS_10	Definition_10	POS_11	Definition_11	POS_12	Definition_12	POS_13	Definition_13	POS_14	Definition_14	POS_15	Definition_15	POS_16	Definition_16
ԿԵՆԱԳՈՐԾԵՄ			կենդանացուցանեմ; կենդանագործեմ; կենարարեմ; յարուցանեմ																														
ԿԵՆԱԳՈՐԾԻՉ			cf. ԿԵՆԱԳՈՐԾ																														
ԿԵՆԱԳՈՐԾՈՒԹԻՒՆ			Կենդանագործութիւն; կենդանութիւն																														
ԿԵՆԱԶԱՐԳ			Կենդանարար																														
ԿԵՆԱԶԳԵԱՑ			cf. ԿԵՆՍԱԶԳԵԱՑ																														
ԿԵՆԱԶՐԱՒ			Կենցաղազրաւ; մահացուցիչ																														
ԿԵՆԱԶՐԱՒԵՄ			Սպանանեմ																														
ԿԵՆԱԽՈՒԶ			Սպանող; կենդանասպառ																														
ԿԵՆԱԾԻՆ			cf. ԿԵՆՍԱԾԻՆ																														
ԿԵՆԱԿԻՑ			Բնակակից; ընտանի; կենցաղակից		Լծակից; կողակից; ամուսին																												
ԿԵՆԱԿՑՈՒԹԻՒՆ			Լծակցութիւն; ամուսնութիւն																														
ԿԵՆԱՀԱՂՈՐԴ			Կենակից																														
ԿԵՆԱՀՐԱՇ			Կենդանատու; կենսաբեր																														
ԿԵՆԱՁԱՅՆ			Կենդանարար																														
ԿԵՆԱՁԻՐ			Կենսաբաշխ; կենաշնորհ																														
ԿԵՆԱՂՈՒՏ			cf. ԿԵՆԵՂՈՒՏ																														
ԿԵՆԱՃԱՇԱԿ			Կենսատու; կենսաբեր																														
ԿԵՆԱՇՆՈՐՀ			cf. ԿԵՆԱՁԻՐ																														
ԿԵՆԱՊԱՏՃԱՌ			Կենսառիթ																														
ԿԵՆԱՍԵՐ			cf. ԿԵՆԴԱՆԱՍԵՐ																														
ԿԵՆԱՍԵՐԻՄ			cf. ԿԵՆԴԱՆԱՍԵՐԻՄ																														
ԿԵՆԱՍԷՐ			Անձնասէր; անձնդիւր; կենդանասէր																														
ԿԵՆԱՍԻՐՈՒԹԻՒՆ			Կենդանասիրութիւն																														
ԿԵՆԱՍՏԵՂԾԵՄ			cf. ԿԵՆԴԱՆԱՍՏԵՂԾԵՄ																														
ԿԵՆԱՏՈՒ			cf. ԿԵՆՍԱՏՈՒ																														
ԿԵՆԱՐԱՐ			Կենդանարար; կենագործ; կենսաբեր; կենսառիթ; կենսատու; փրկիչ; կեցուցիչ; յարուցիչ																														
ԿԵՆԱՐԱՐԵՄ			cf. ԿԵՆԱԳՈՐԾԵՄ																														
ԿԵՆԱՒԷՏ			cf. ԿԵՆԴԱՆԱՒԷՏ																														
ԿԵՆԴԱԿ			cf. ԿԵՆԴԱՆԱԿԵՐՊ																														
ԿԵՆԴԱՆ			cf. ԿԵՆԴԱՆԻ																														
ԿԵՆԴԱՆԱԲԱՇԽ			Կենսաբաշխ; կենսատու																														
ԿԵՆԴԱՆԱԲԵՐ			Կենսաբեր; կենսառիթ		Կենդանակերպ																												
ԿԵՆԴԱՆԱԲՈՅՍ			Կառաբոյս; կենդանատունկ		Խաչափայտ																												
ԿԵՆԴԱՆԱԲՈՒՂԽ			cf. ԿԵՆՍԱԲՈՒՂԽ																														
ԿԵՆԴԱՆԱԳԻԾ			cf. ԿԵՆԴԱՆԱԳԻՐ																														
ԿԵՆԴԱՆԱԳԻՐ			Պատկեր		Պատկերահան; նկարիչ																												
ԿԵՆԴԱՆԱԳՈՅՆ			Զօրագոյն; կենդանականագոյն		Անասնագոյն; անբանագոյն																												
ԿԵՆԴԱՆԱԳՈՐԾ			cf. ԿԵՆԱԳՈՐԾ																														
ԿԵՆԴԱՆԱԳՈՐԾԵՄ			cf. ԿԵՆԱԳՈՐԾԵՄ																														
ԿԵՆԴԱՆԱԳՈՐԾՈՒԹԻՒՆ			Կենագործութիւն; կենդանութիւն; յարութիւն																														
ԿԵՆԴԱՆԱԳՐԵՄ			Նկարեմ; նկարագրեմ; ստուգագրեմ; օրինակեմ; տպաւորեմ; յօրինեմ																														
ԿԵՆԴԱՆԱԳՐՈՒԹԻՒՆ			Նկարագրութիւն		Կենդանագիր; նկարագիր; իսկութիւն																												
ԿԵՆԴԱՆԱԶԳԵԱՑ			Կենսակիր																														
ԿԵՆԴԱՆԱԽԱՐՈՒԿԵՄ			խորովեմ; ողջակիզեմ		Վառեմ; արծարծանեմ; բորբոքեմ																												
ԿԵՆԴԱՆԱԾԻՆ			Կենդանասեր; կենասեր		Կենսաբեր; կենսառիթ																												
ԿԵՆԴԱՆԱԾՆԵՄ			Կենդանասերեմ; կենասերեմ; կենդանաստեղծեմ; կենսածնեմ		Կենդանացուցանեմ																												
ԿԵՆԴԱՆԱԾՆՈՒԹԻՒՆ			Կենդանասերութիւն; կենդանաստեղծութիւն; կենդանեղութիւն																														
ԿԵՆԴԱՆԱԿ			cf. ԿԵՆԴԱՆԱԿԵՐՊ																														
ԿԵՆԴԱՆԱԿԱՅԼԱԿ			Կենսակայլակ																														
ԿԵՆԴԱՆԱԿԱՆ			Կենսական; կենդանի; առոյգ		Կենդանարար; կեցուցիչ; առողջացուցիչ		cf. ԿԵՆԴԱՆԱԿԵՐՊ																										
ԿԵՆԴԱՆԱԿԱՆԱԳՈՅՆ			cf. ԿԵՆԴԱՆԱԳՈՅՆ																														
ԿԵՆԴԱՆԱԿԱՊ			Կենդանի																														
ԿԵՆԴԱՆԱԿԵՐՊ			Կենդակ; կենդանակ; Կենդանաբեր; կենդանական; կենդանատեսակ																														
ԿԵՆԴԱՆԱԿԵՐՊԵՄ			Կերպարանեմ; կենդանագրեմ; նորոգեմ																														
ԿԵՆԴԱՆԱՁԻՐ			Կենաձիր; կենդանաբաշխ; կենդանապարգեւ; կենսապարգեւ																														
ԿԵՆԴԱՆԱՆԱՄ			Ողջանամ; վերակենդանանամ; վերակենցաղիմ; յառնեմ; նորանամ																														
ԿԵՆԴԱՆԱՊԱՐԳԵՒ			cf. ԿԵՆԴԱՆԱՁԻՐ																														
ԿԵՆԴԱՆԱՊԷՍ			cf. ԿԵՆԴԱՆՕՐԷՆ																														
ԿԵՆԴԱՆԱՍԵՐ			cf. ԿԵՆԴԱՆԱԾԻՆ																														
ԿԵՆԴԱՆԱՍԵՐԵՄ			cf. ԿԵՆԴԱՆԱԾՆԵՄ																														
ԿԵՆԴԱՆԱՍԵՐՈՒԹԻՒՆ			cf. ԿԵՆԴԱՆԱԾՆՈՒԹԻՒՆ																														
ԿԵՆԴԱՆԱՍԷՐ			cf. ԿԵՆԱՍԷՐ																														
ԿԵՆԴԱՆԱՍԻՐՈՒԹԻՒՆ			cf. ԿԵՆԱՍԻՐՈՒԹԻՒՆ																														
ԿԵՆԴԱՆԱՍՊԱՌ			Սպանող; կենախուզ																														
ԿԵՆԴԱՆԱՍՏԵԴԾԵՄ			Կենդանածնեմ		Կենդանագործեմ; կենագործեմ; յարուցանեմ; նորոգեմ																												
ԿԵՆԴԱՆԱՍՏԵՂԾՈՒԹԻՒՆ			cf. ԿԵՆԴԱՆԱԾՆՈՒԹԻՒՆ																														
ԿԵՆԴԱՆԱՍՏԵՂԾՈՒՄ			cf. ԿԵՆԴԱՆԱՍՏԵՂԾԵՄ																														
ԿԵՆԴԱՆԱՏԵՍԱԿ			cf. ԿԵՆԴԱՆԱԿԵՐՊ		Կենդանիք		Խաչանիշ; խաչադրոշմ																										
ԿԵՆԴԱՆԱՏՆԿԻՄ			Բուսանիմ; սերիմ																														
ԿԵՆԴԱՆԱՏՈՒ			Կենսատու; կենսատուր; կենդանատուր; կենսառիթ																														
ԿԵՆԴԱՆԱՏՈՒՆԿ			cf. ԿԵՆԴԱՆԱԲՈՅՍ																														
ԿԵՆԴԱՆԱՏՈՒՐ			cf. ԿԵՆԴԱՆԱՏՈՒ																														
ԿԵՆԴԱՆԱՐԱՐ			cf. ԿԵՆԱՐԱՐ																														
ԿԵՆԴԱՆԱՐԱՐՈՂ			cf. ԿԵՆԱՐԱՐ																														
ԿԵՆԴԱՆԱՑՈՒ			Կենցական		Կենդանացուցիչ; անմահարար																												
ԿԵՆԴԱՆԱՑՈՒՑԱՆԵՄ			կենսացուցանեմ; կենագործեմ; կեցուցանեմ; յարուցանեմ																														
ԿԵՆԴԱՆԱՑՈՒՑԻՉ			Կենսացուցիչ; կենդանարար; կենսատու																														
ԿԵՆԴԱՆԱՒԷՏ			Կենաւէտ; կենդանարար																														
ԿԵՆԴԱՆԱՒՈՐ			Կենսունակ																														
ԿԵՆԴԱՆԵՂՈՒԹԻՒՆ			cf. ԿԵՆԴԱՆԱԾՆՈՒԹԻՒՆ																														
ԿԵՆԴԱՆԻ			Կենսունակ; ողջ		Կենսառիթ		Արարած; էակ		Անասուն																								
ԿԵՆԴԱՆԵԱՒ			Կենդանւոյն																														
ԿԵՆԴԱՆԵՕՔ			Կենդանւոյն																														
ԿԵՆԴԱՆՈՒԹԻՒՆ			Կեանք																														
ԿԵՆԴԱՆՒՈՅՆ			cf. ԿԵՆԴԱՆԵԱՒ																														
ԿԵՆԴԱՆՕՐԷՆ			Կենդանապէս																														
ԿԵՆԴՐՈՎՆ			Բեւեռ; մէջնակէտ																														
ԿԵՆՏՐՈՎՆ			Բեւեռ; մէջնակէտ																														
ԿԵՆԵՂՈՒՏ			Կենդանաւէտ; կենսառիթ; կենարար		Առոյգ; տոկուն; զուարթ																												
ԿԵՆԸՆԾԱՅ			Կենսառիթ; կենսատու																														
ԿԵՆՍԱԲԱՇԽ			cf. ԿԵՆԱՁԻՐ																														
ԿԵՆՍԱԲԵՐ			Կենարար; կենսատու; կենսառիթ; կեցուցաբեր																														
ԿԵՆՍԱԲՈՒՂԽ			Կենդանաբուղխ; կենդանացուցիչ																														
ԿԵՆՍԱԶԳԵԱՑ			Կենսաբեր; կենսակիր																														
ԿԵՆՍԱԽՐԱԽՈՅՍ			Յուսադիր																														
ԿԵՆՍԱԾԻՆ			Կենսատու; կենսաբեր																														
ԿԵՆՍԱԾՆԵՄ			cf. ԿԵՆԴԱՆԱԾՆԵՄ																														
ԿԵՆՍԱԿԱՅԼԱԿ			cf. ԿԵՆԴԱՆԱԿԱՅԼԱԿ																														
ԿԵՆՍԱԿԱՆ			Կենդանական; կենսառիթ																														
ԿԵՆՍԱԿԻՐ			Կենսազգեաց; կենսաբեր; կենսատու																														
ԿԵՆՍԱՊԱՐԳԵՒ			cf. ԿԵՆԴԱՆԱՁԻՐ																														
ԿԵՆՍԱՌԻԹ			Կենապատճառ; կենդանարար																														
ԿԵՆՍԱՏՈՒ			cf. ԿԵՆԴԱՆԱՏՈՒ																														
ԿԵՆՍԱՏՈՒՐ			cf. ԿԵՆԴԱՆԱՏՈՒ																														
ԿԵՆՍԱՑՈՒՑԱՆԵՄ			cf. ԿԵՆԴԱՆԱՑՈՒՑԱՆԵՄ																														
ԿԵՆՍԱՑՈՒՑԻՉ			cf. ԿԵՆԴԱՆԱՑՈՒՑԻՉ																														
ԿԵՆՍՈՒՆԱԿ			Կենսակիր; կենդանի																														
ԿԵՆՍՈՒՍՈՅՑ			Հոգեշահ																														
ԿԵՆՑԱԿԱՆ			cf. ԿԵՆԴԱՆԱՑՈՒ																														
ԿԵՆՑԱՂ			Վարք; քաղաքավարութիւն; կենցաղավարութիւն; կենցաղականութիւն; աշխարհ																														
ԿԵՆՑԱՂԱԶՐԱՒ			cf. ԿԵՆԱԶՐԱՒ																														
ԿԵՆՑԱՂԱԿԱՆ			Աշխարհական; երկրաւոր; անցաւոր		Կենցաղօգուտ																												
ԿԵՆՑԱՂԱԿԱՆՈՒԹԻՒՆ			Կենակցութիւն; կենցաղավարութիւն; ընտանութիւն																														
ԿԵՆՑԱՂԱԿԻՑ			Կենակից; ընտանի																														
ԿԵՆՑԱՂԱԿՑՈՐԴ			Կենակից; ընտանի																														
ԿԵՆՑԱՂԱՍԷՐ			Կենասէր; աշխարհասէր																														
ԿԵՆՑԱՂԱՎԱՐԻՄ			Քաղաքավարիմ; կենցաղիմ																														
ԿԵՆՑԱՂԱՎԱՐՈՒԹԻՒՆ			Վարք; քաղաքավարութիւն; կեանք																														
ԿԵՆՑԱՂԱՒԷՏ			Կենդանաւէտ																														
ԿԵՆՑԱՂԻՄ			cf. ԿԵՆՑԱՂԱՎԱՐԻՄ																														
ԿԵՆՑԱՂՕԳՈՒՏ			Կենցաղական																														
ԿԵՇՏ			Կրօնք; դեն; քէշ																														
ԿԵՌԻՔ			cf. ԱՏԱՄՆ																														
ԿԵՍԱՐ			cf. ԿԱՅՍՐ																														
ԿԵՍՈՒՐ			cf. ՍԿԵՍՈՒՐ																														
ԿԵՏԱԴՐԵԱԼ			cf. ԿԻՏԱԴՐԵԱԼ																														
ԿԵՏԱՀԱՐՈՒԹԻՒՆ			Սահմանադրութիւն; սահման																														
ԿԵՏՈՍ			cf. ԿԷՏ																														
ԿԵՐ			Կերակուր; կուր; խար; խանձ		cf. ԿԵՐԱԿՈՒՐ																												
ԿԵՐԱԿՈՒՐ			Կերակրանք; ուտեստ; պարէն; կեր		ճարակ																												
ԿԵՐԱԿՐԱԿԱՆ			Կերակրողական; սնուցանողական; սնուցողական; սննդական																														
ԿԵՐԱԿՐԱԿԻՑ			Հացակից; սեղանակից; սննդակից																														
ԿԵՐԱԿՐԱՆՔ			cf. ԿԵՐԱԿՈՒՐ																														
ԿԵՐԱԿՐԵՄ			Բուծանեմ; սնուցանեմ		Ուտեմ; ճաշակեմ; սնանեմ																												
ԿԵՐԱԿՐԵԼԻ			Ուտելի																														
ԿԵՐԱԿՐԻՉ			Կերակրող																														
ԿԵՐԱԿՐՈՂ			Կերակրիչ																														
ԿԵՐԱԿՐՈՂԱԿԱՆ			cf. ԿԵՐԱԿՐԱԿԱՆ																														
ԿԵՐԱԿՐՈՂՈՒԹԻՒՆ			Կերակրումն; դարմանատրութիւն		Մատակարարութիւն; տնտեսութիւն																												
ԿԵՐԱԿՐՈՒՄՆ			cf. ԿԵՐԱԿՐՈՂՈՒԹԻՒՆ																														
ԿԵՐԱԿՐՉՈՒԹԻՒՆ			cf. ԿԵՐԱԿՐՈՂՈՒԹԻՒՆ																														
ԿԵՐԵՑՈՒԹԻՒՆ			Որկորամոլութիւն; կերողութիւն																														
ԿԵՐՈՂ			Ուտիչ		Շատակեր; որկրամոլ																												
ԿԵՐՈՂՈՒԹԻՒՆ			cf. ԿԵՐԵՑՈՒԹԻՒՆ																														
ԿԵՐՊ			Տարազ; եղանակ; օրինակ		Որակ; որպիսութիւն		Ձեւ; նմանութիւն; տեսիլ; Հանգամանք		Տես; տեսակ; կերպարանք		Բնութիւն; էութիւն; իսկութիւն		Երեսք; դէմք		Անձն																		
ԿԵՐՊԱԳՈՐԾԵՄ			Կերպարանեմ; ձեւացուցանեմ																														
ԿԵՐՊԱԳՐԵՄ			Կենդանագրեմ; նկարագրեմ; քանդակեմ; դրոշմեմ; ծրագրեմ																														
ԿԵՐՊԱԳՐՈՒԹԻՒՆ			Կենդանագրութիւն; նկար																														
ԿԵՐՊԱԴՐՈՒԹԻՒՆ			Տեսիլ; օրինակ		Կերպագրութիւն																												
ԿԵՐՊԱԿԵՐՊ			Կերպատարազ; պէսպէս; զանազան																														
ԿԵՐՊԱԿԻՑ			cf. ԿԵՐՊԱՐԱՆԱԿԻՑ																														
ԿԵՐՊԱԿՑԻՄ			cf. ԿԵՐՊԱՐԱՆԱԿՑԻՄ																														
ԿԵՐՊԱԿՑՈՒԹԻՒՆ			cf. ԿԵՐՊԱՐԱՆԱԿՑՈՒԹԻՒՆ																														
ԿԵՐՊԱՁԵՒԵՄ			Կերպարանեմ; կերպաւորեմ; կերպաւորեցուցանեմ; ձեւացուցանեմ; կերպագրեմ; դրոշմեմ; նկարագրեմ; յօրինեմ																														
ԿԵՐՊԱՆԱՄ			Կերպարանամ; կերպարանիմ; նմանիմ; ձեւանամ																														
ԿԵՐՊԱՌՈՒԹԻՒՆ			Կերպացումն																														
ԿԵՐՊԱՍ			Կտաւ; բեհեզ		Մետաքս		cf. ԿԵՐՊԱՍԵԱՅ																										
ԿԵՐՊԱՍԱԲԵՐ			Կերպասածին																														
ԿԵՐՊԱՍԱԳՈՐԾ			Մետաքսագործ																														
ԿԵՐՊԱՍԱԾԻՆ			cf. ԿԵՐՊԱՍԱԲԵՐ																														
ԿԵՐՊԱՍԱՆԻՒԹ			cf. ԿԵՐՊԱՍԵԱՅ																														
ԿԵՐՊԱՍԵԱՅ			Կերպասանիւթ; մետաքսեայ																														
ԿԵՐՊԱՍԻ			Կերպասանիւթ; մետաքսեայ																														
ԿԵՐՊԱՏԱՐԱԶ			Կերպակերպ		Նորակերպ; զանազան; զարմանազան																												
ԿԵՐՊԱՐԱՆ			Դէմք; երեսք		Տես; պատկեր		Նմանութիւն; տիպ		Երեւակայութիւն; պատրանք; կեղծիք		Եղանակ; կերպ; ձեւ; տեսակ																						
ԿԵՐՊԱՐԱՆՔ			Դէմք; երեսք		Տես; պատկեր		Նմանութիւն; տիպ		Երեւակայութիւն; պատրանք; կեղծիք		Եղանակ; կերպ; ձեւ; տեսակ																						
ԿԵՐՊԱՐԱՆԱԳՈՐԾՈՒԹԻՒՆ			Ձեւացումն; կազմութիւն; կատարումն																														
ԿԵՐՊԱՐԱՆԱՄ			cf. ԿԵՐՊԱՆԱՄ																														
ԿԵՐՊԱՐԱՆԱԿԻՑ			Համանման; նմանակից; կերպակից																														
ԿԵՐՊԱՐԱՆԱԿՑԻՄ			կերպակցիմ																														
ԿԵՐՊԱՐԱՆԱԿՑՈՒԹԻՒՆ			Նմանութիւն																														
ԿԵՐՊԱՐԱՆԱՒՈՐ			Գոյաւոր; կերպաւոր; ձեւացեալ		կեղծաւոր																												
ԿԵՐՊԱՐԱՆԵՄ			Կերպարանեցուցանեմ; կերպաւորեցուցանեմ; կերպացուցանեմ; կերպաւորեմ; տեսականեմ; կազմեմ; ձեւացուցանեմ; տպաւորեմ		Նմանեցուցանեմ; բաղդատեմ; Համեմատեմ																												
ԿԵՐՊԱՐԱՆԻՄ			Կերպանամ; կերպարանամ; տեսականամ; նմանիմ; ձեւանամ		Կեղծաւորիմ																												
ԿԵՐՊԱՐԱՆԵՑՈՒՑԱՆԵՄ			cf. ԿԵՐՊԱՐԱՆԵՄ																														
ԿԵՐՊԱՐԱՆՈՂ			Կեղծաւոր																														
ԿԵՐՊԱՐԱՆՈՒԹԻՒՆ			Կերպարանք; նմանութիւն		կեղծաւորութիւն; ձեւացումն																												
ԿԵՐՊԱՑՈՒՄՆ			Կերպառութիւն; կերպաւորութիւն																														
ԿԵՐՊԱՑՈՒՑԱՆԵՄ			cf. ԿԵՐՊԱՐԱՆԵՄ																														
ԿԵՐՊԱՑՈՒՑԻՉ			Ձեւացուցիչ; յօրինիչ																														
ԿԵՐՊԱՒՈՐ			Կերպացեալ; ձեւացեալ																														
ԿԵՐՊԱՒՈՐԱԿԱՆ			Կերպացեալ; ձեւացեալ																														
ԿԵՐՊԱՒՈՐԵՄ			cf. ԿԵՐՊԱՐԱՆԵՄ		cf. ԿԵՐՊԱՐԱՁԵՒԵՄ																												
ԿԵՐՊԱՒՈՐԵՑՈՒՑԱՆԵՄ			cf. ԿԵՐՊԱՐԱՆԵՄ		cf. ԿԵՐՊԱՐԱՁԵՒԵՄ																												
ԿԵՐՊԱՒՈՐՈՒԹԻՒՆ			Նմանութիւն; կուզմութիւն																														
ԿԵՐՊԱՓՈԽԻՄ			Փոխակերպեմ																														
ԿԵՐՏԱՑՈՒՑԱՆԵՄ			cf. ԿԵՐՏԵՄ																														
ԿԵՐՏԵՄ			Կերտացուցանեմ; գործեմ; առնեմ; կազմեմ																														
ԿԵՐՏՈՒԹԻՒՆ			Շինութիւն																														
ԿԵՑՈՒՑԱԲԵՐ			cf. ԿԵՆՍԱԲԵՐ																														
ԿԵՑՈՒՑԱՆԵՄ			cf. ԿԵՆԴԱՆԱՑՈՒՑԱՆԵՄ		Ապրեցուցանեմ; փրկեմ; ազատեմ		Առողջացուցանեմ																										
ԿԵՑՈՒՑԻՉ			Փրկիչ; փրկագործ; ապրեցուցիչ; կենարար; ազատարար; փրկական																														
ԿԵՑՈՒՑՉԱԲԱՐ			Ապրեցուցողապէս																														
ԿԵՒՍ			cf. ԿԻՒՍ																														
ԿԵՓԱԶԵԱՅ			Զուտ; մաքուր; անխառն																														
ԿԵՓԱԼԱՅ			Գլուխ; գլխաւոր																														
ԿԶԱԿ			Կլափն; մօրուարձակք																														
ԿԷՍ			Հասարակ; մէջ		մասնաբար																												
ԿԷՍՔ			Ոմանք; այլք																														
ԿԷՍԷՇ			cf. ԿԻՍԷՇ																														
ԿԷՏ			Կետոս		Նպատակ; դիտաւորութիւն; մտադրութիւն		Նշաւակ; նշան; թիւրախ		Պայման; ժամանակակէտ		Սահման; չափ; եզր		Մէտ		Բեւեռք		Նիշ		Կենդրովն; մէջնակէտ														
ԿԹԵՄ			Քաղեմ																														
ԿԹԵՂԷՆ			Կիթ		Ձու																												
ԿԹՈՏ			Կթուցեալ; տկար; լուծեալ																														
ԿԹՈՒՑԵԱԼ			cf. ԿԹՈՏ																														
ԿԻԴԱՐ			Կեդար; խոյր																														
ԿԻԶԱԿԱՆ			Կիզանողական; կիզողական; կիզիչ																														
ԿԻԶԱՆԵՄ			cf. ԿԻԶԵՄ		cf. ԿԻԶՈՒՄ																												
ԿԻԶԱՆՈՂԱԿԱՆ			Կիզիչ; կիզական; կիզողական		Կիզելի; դիւրակէզ																												
ԿԻԶԱՆՈՒՏ			Դիւրակէզ																														
ԿԻԶԵՄ			Կիզանեմ; կիզում; տոչորեմ; այրեմ; ծախեմ																														
ԿԻԶԵԼԻ			Կիզական; տոչորիչ; հրաբորբոք																														
ԿԻԶԵՑՈՒՑԱՆԵՄ			Կիզեմ																														
ԿԻԶԻՉ			Կիզական; այրիչ; տոչորիչ; բորբոքիչ; ծախիչ																														
ԿԻԶՆ			Բուրդ																														
ԿԻԶՈՂԱԿԱՆ			cf. ԿԻԶԱԿԱՆ																														
ԿԻԶՈՒՄ			Կիզանեմ; կիզեմ; այրեմ; տոչորեմ; խանձողեմ; հրդեհեմ																														
ԿԻԶՈՒՄՆ			Այրումն; տոչորումն		cf. ՊՌԵՍՏԵՐ																												
ԿԻԶՈՒՑ			cf. ԱՅՐԵԼԻ																														
ԿԻԹ			Կթեղէն; կաթն; ձու																														
ԿԻԹԱՌ			cf. ՔՆԱՐ																														
ԿԻԿՆՈՍ			cf. ԿԱՐԱՊ																														
ԿԻՒԿՆՈՍ			cf. ԿԱՐԱՊ																														
ԿԻՃ			Կուճ; մարմարիոն																														
ԿԻՆԱՄՈՄՈՆ			Դարիճենիկ																														
ԿԻՆԱՄՈՆ			Դարիճենիկ																														
ԿԻՆՃ			cf. ՎԱՐԱԶ																														
ԿԻՊԱՐԵԱՅ			cf. ՆՈՃԵԱՅ																														
ԿԻՊԱՐԻ			cf. ՆՈՃ																														
ԿԻՊԱՐԻՍ			cf. ՆՈՃ																														
ԿԻՍԱԲԱԺ			Կիսամասնեայ; կիսակատար; թերակատար																														
ԿԻՍԱԲԱԺԻՆ			Կիսամասնեայ; կիսակատար; թերակատար																														
ԿԻՍԱԲԱՑ			Թերաբաց																														
ԿԻՍԱԲՈԼՈՐ			Կիսահոլով																														
ԿԻՍԱԳԱԶԱՆ			Գազանախառն																														
ԿԻՍԱԳՈՐԾ			cf. ԿԻՍԱԿԱՏԱՐ																														
ԿԻՍԱԳՕՍ			Խեղանդամ																														
ԿԻՍԱԴԻՔ			Կիսաստուածք																														
ԿԻՍԱԽՈՂԽՈՂ			Կիսամեռ; կիսամահ																														
ԿԻՍԱԿ			Կէս																														
ԿԻՍԱԿԱՏԱՐ			Թերակատար; անկատար; կիսատ; թերի																														
ԿԻՍԱԿԵՆԴԱՆ			Կիսամեռ																														
ԿԻՍԱԿԷԶ			cf. ԿԻՍԱՅՐԵԱՑ																														
ԿԻՍԱԿՏՈՒՐ			Անկատար; կիսատ; խեղ																														
ԿԻՍԱՀԱՒԱՏ			Թերահաւատ																														
ԿԻՍԱՀՈԼՈՎ			cf. ԿԻՍԱԲՈԼՈՐ																														
ԿԻՍԱՁԱՅՆ			Ձայնորդ																														
ԿԻՍԱՁԻ			cf. ԿԻՍԷՇ																														
ԿԻՍԱՄԱԾ			cf. ԹԵՐԱՍԱՌՈՅՑ																														
ԿԻՍԱՄԱՀ			Կիսամեռ; կիսակենդան																														
ԿԻՍԱՄԱՍՆԵԱՅ			Կիսաբաժ; կիսակատար; թերի; դոյզն																														
ԿԻՍԱՄԱՍՆՈՒԹԻՒՆ			Թերութիւն; անկատարութիւն																														
ԿԻՍԱՄԵՌ			cf. ԿԻՍԱՄԱՀ																														
ԿԻՍԱՅՐԵԱՑ			Կիսակէզ																														
ԿԻՍԱՆՁՆ			cf. ԿԻՍԱՆՁՆԵԱՅ																														
ԿԻՍԱՆՁՆԵԱՅ			Կիսանձն																														
ԿԻՍԱՊԱՏԱՆԵԱԿ			Պատանեկիկ																														
ԿԻՍԱՊԱՐԳԵՒ			Կիսատուր																														
ԿԻՍԱՍՏՈՒԱԾ			Դիւցազն																														
ԿԻՍԱՍՏՈՒԱԾՔ			cf. ԿԻՍԱԴԻՔ																														
ԿԻՍԱՏՈՒՐ			cf. ԿԻՍԱՊԱՐԳԵՒ																														
ԿԻՍԱՑՈՒՑԱՆԵՄ			Պակասեցուցանեմ; նսւազեցուցանեմ																														
ԿԻՍԷՇ			Կէսէշ; կիսաձի; ջորի																														
ԿԻՍՏԵՌՆ			Աւազան																														
ԿԻՎՈՍ			cf. ՔՈՒԵԱՅ																														
ԿԻՏԱԴՐԵԱԼ			Կետադրեալ; սահմանեալ																														
ԿԻՏԱԿ			Կանոն; կանոնադրութիւն																														
ԿԻՏԱՍԱՀՄԱՆ			ժամանակաւոր																														
ԿԻՏՈՍ			cf. ԿԷՏ																														
ԿԻՏՈՒԱԾ			cf. ԱՆԿՈՒԱԾ		cf. ՎԷՏ																												
ԿԻՐ			Ազուեստ; բուռ		cf. ԿԻՐՔ																												
ԿԻՐԱԿԷ			cf. ՄԻԱՇԱԲԱԹ																														
ԿԻՒՐԱԿԷ			cf. ՄԻԱՇԱԲԱԹ																														
ԿԻՐԹ			Կրթեալ; վարժ; փորձ; Հմուտ; ուսած		Կրթական; սովորական; ընդելական		Կրթանք; կրթութիւն; Հրահանգք; մրցանք																										
ԿԻՐՃ			Դուռն; Հուն; նեղուց; խորշ																														
ԿԻՐՔ			Վիշտ; նեղութիւն; չարչարանք		Յօժարութիւն		Որակութիւն; որպիսութիւն; յատկութիւն																										
ԿԻՑ			Կցեալ; կցորդ		Զոյգ		Հաւասար; առընթեր; նման; ըստ		զուգաց; միաբան		Կցորդութիւն; միաբանութիւն																						
ԿԻՑՔ			Կցեալ; կցորդ		Զոյգ		Հաւասար; առընթեր; նման; ըստ		զուգաց; միաբան		Կցորդութիւն; միաբանութիւն																						
ԿԻՑԸՆԹԱՑ			cf. ԸՆԹԱՑԱԿԻՑ																														
ԿԻՒՍ			Կախարդ; վհուկ		Հմայք; կախարդութիւն; վհկութիւն																												
ԿԻՒՍԱԿԵՐՏՈՂ			Նշանադէտ; նշանադիտող; Հրաշադէտ; ըղձապատում																														
ԿԻՒՍԱՀՄԱՅ			Նշանադէտ; նշանադիտող; Հրաշադէտ; ըղձապատում																														
ԿԻՓԱՍ			cf. ՍԿԱՀ																														
ԿԻՔՐԻՍ			cf. ՍԱԼԱՄԲ																														
