title,part_of_speech,definition,suggested_etymology,source,notes,likely_origin
ամօթ,adjective,"['shame, turpitude, ignominy, confusion, abashment; shameful.']",,,,Unknown
ամօթխած,adjective,"['bashful, modest, chaste, shame-faced.']",,,,Unknown
այլամերժ,adjective,"['exclusory, exclusionary, exclusive, repulsive, repulsory.']",,,,Unknown
այլայլել,verb,"['To alter, to change form or appearance; to transform; To affect emotionally, to disturb, to agitate; To distort, to give a different meaning, to misrepresent.']",,,,Unknown
այլայլիլ,verb,"['To change, to be altered, to undergo transformation; To be disturbed, to be upset, to be troubled, to be agitated, to be confused.']",,,,Unknown
այլապէս,adverb,"['otherwise, after another manner, differently.']",,,,Unknown
այպանել,verb,"['to mock, disgrace, or ridicule; to reproach, condemn, insult, or shame.']",,,,Unknown
այրիլ,verb,"['to burn, to be burnt.']",,,,Unknown
անամօթ,adjective,"['shameless, impudent, insolent, brazen; shamelessly, impudently.']",,,,Unknown
անայլայլ,noun,"['Unaltered, unchanged, immutable, final; not subject to distortion or modification; Unshaken, undisturbed, calm, tranquil, untroubled, secure, pure; Without alteration; in an unchanging condition; unchangingly, steadfastly, unalterably.']",,,,Unknown
անարգ,adjective,"['vile, abject, worthless, base, ignoble, mean, degrading, dishonorable, despicable, dirty.']",,,,Unknown
անարգանք,noun,"['dishonour, contempt, affront, insult, discredit, shame, offense, snub.']",,,,Unknown
անարգել,verb,"['to dishonour, to disrespect, to insult, to scorn, to contemn, to disparage, to offend, to despise.']",,,,Unknown
անբասիր,adverb,"['irreproachable, irreprehensible, inculpable; irreproachably, irreprehensibly.']",,,,Unknown
անգութ,adjective,"['cruel, pitiless, unmerciful, unconscionable, ruthless, merciless.']",,,,Unknown
անդոհանք,noun,"['great distress, anguish, anxiety: melancholy.']",,,,Unknown
աներկբայ,adverb,"['indubitable, sure, certain, doubtless; indubitably, surely, certainly, doubtlessly.']",,,,Unknown
աներկիւղ,adverb,"['fearless, bold, hardy, intrepid; boldly, fearlessly, intrepidly, resolutely.']",,,,Unknown
անզգամ,adjective,"['Lacking a sense of goodness; inclined toward evil, foolish, wicked; Bold, insolent, impudent, shameless; Indecent, immoral, dissolute.']",,,,Unknown
անզիջող,adjective,"['inacquiescent, uncompromising.']",,,,Unknown
անզուսպ,adverb,"['uncontrolled, curbless, unbridled; uncontrollably, in an unbridled way.']",,,,Unknown
անզօր,adjective,"['powerless, feeble, invalid, impotent, weak, infirm.']",,,,Unknown
անէանալ,verb,"['to be destroyed, to come to nothing, to disappear, to vanish.']",,,,Unknown
անէծք,noun,"['curse, malediction, imprecation, detestation.']",,,,Unknown
անթիւ,adjective,"['innumerable, numberless, countless, immense.']",,,,Unknown
անիծեալ,adjective,"['cursed, damned, unblessed, accursed, unspeakable.']",,,,Unknown
անիրաւ,noun,"['Acting against law or justice; unjust, unfair; That which is done against justice or right; wrongful, inequitable; (Reproachfully or with surprise) Wicked, bad, mischievous.']",,,,Unknown
անիւ,noun,"['wheel; by analogy, the circular form of the sun or moon; a round-shaped toy; the spherical head of a tumbleweed plant.']",,,,Unknown
անխախտ,adjective,"['unshaken, firm, steadfast, solid.']",,,,Unknown
անխարդախ,adjective,"['not falsified, not adulterated, pure, sincere, ingenuous, loyal, faithful.']",,,,Unknown
անխոյզ,adverb,"['not explorable, not researchable; unexplored; not exploring; without investigating.']",,,,Unknown
անխոնջ,adjective,"['untiring, unwearied.']",,,,Unknown
անխորտակ,adjective,"['unbreakable, inconsumable, impenetrable, secure, stable, safe, firm, unshakable.']",,,,Unknown
անկաշառ,adjective,"['incorrupt, unbribed: honest, upright, just.']",,,,Unknown
անկարող,adjective,"['unable, incapable, impuissant; incompetent; impotent.']",,,,Unknown
անհաճոյ,adjective,"['disagreeable, unpleasant, annoying, displeasing, uncomfortable, dissatisfactory, harsh, not gratifying.']",,,,Unknown
անձնապէս,adverb,['personally.'],,,,Unknown
անձրեւ,noun,['rain.'],,,,Unknown
անձրեւել,verb,"['to rain, to pour down, to shower.']",,,,Unknown
անձրեւոտ,adjective,['characterized by rain; rainy; a place or climate where it often rains; rain-prone.'],,,,Unknown
անճրկիլ,verb,"['To become confused or at a loss, to hesitate or not know what to do in the face of difficulty; to lose one’s bearings or become bewildered; To despair, weaken, or waver; to lose courage.']",,,,Unknown
անյարիր,adjective,"['inconsistent, incoherent; fearful, timid; that cannot rise; chainless.']",,,,Unknown
աննշմար,adjective,['Unnoticed; imperceptible; Imperceptibly; without being noticed or perceived.'],,,,Unknown
անշեղ,adjective,"['undeviating, straight, just, righteous.']",,,,Unknown
անողորմ,adverb,"['pitiless, cruel, merciless, inexorable, brutal, inhuman, unmerciful, uncharitable; cruelly, brutally, pitilessly, unmercifully.']",,,,Unknown
անողոք,adjective,"['unable to be calmed, persuaded, appeased, softened, placated, implacable; inexorable, unrelenting, relentless, inflexible, hard, strict, severe.']",,,,Unknown
անուանել,verb,"['to name, to call, to nominate, to mention.']",,,,Unknown
անպաճոյճ,adjective,"['unadorned, modest, simple, unornamented, unclad, natural.']",,,,Unknown
անպէտ,noun,"['useless, unnecessary, needless, superfluous; something that is useless, waste.']",,,,Unknown
անպտուղ,adjective,"['fruitless, unfruitful, infertile, sterile, barren.']",,,,Unknown
անջինջ,adjective,"['what cannot be erased, indelible, ineffacable; eternal, perpetual, permanent, lasting, durable.']",,,,Unknown
անսալ,verb,"['to listen to someone’s words; to obey; to heed a call or command; to forgive or endure with patience; to be patient, to endure, to restrain oneself; to wait, to remain.']",,,,Unknown
անսակարկ,adjective,['non-negotiating; with complete dedication.'],,,,Unknown
անսայթաք,adjective,"['not slipping, without stumbling, regular, orderly, steady; fluent, smooth, without interruption, steadily, fluently; unwavering, straight, unimpeded, without resistance, dutifully.']",,,,Unknown
անսանձ,adverb,['Unbridled; without a bridle; Figuratively: unrestrained; unchecked; unruly; uncontrolled.'],,,,Unknown
անսաստել,verb,"['to disobey, to resist, to be refractory.']",,,,Unknown
անսխալ,adjective,"['without error; containing no mistakes, error-free; true, accurate, precise, infallible; incapable of making mistakes; flawlessly.']",,,,Unknown
անվրէպ,adjective,"['unerring, not missing the target, accurate, infallible; unwavering, unchanging, straight; safe, secure; without error, directly, precisely.']",,,,Unknown
անտաղանդ,adjective,"['Without talent, lacking gift or ability; untalented, inept, incapable.']",,,,Unknown
անտեղեակ,adjective,"['uninformed, unaware; not informed; ignorant, unfamiliar, inexperienced.']",,,,Unknown
անցաւ,noun,"['Without pain; free of pain, suffering, or discomfort.']",,,,Unknown
անցեալ,noun,['last; past; the past.'],,,,Unknown
անցընել,verb,"['to transfer, to hand, to pass, to cause to pass, to bring, to carry over.']",,,,Unknown
անփոփոխ,adjective,"['invariable, unchangeable, unalterable, constant, immutable, invariant, stationary.']",,,,Unknown
անօրինակ,adjective,"['unlike, nonpareil, unequaled, unexampled, unprecedented.']",,,,Unknown
աշխատիլ,verb,"['to work, to labour, to toil.']",,,,Unknown
աշխարհիկ,adjective,"['secular, modern; lay, vulgar.']",,,,Unknown
աշխոյժ,noun,"['strong, intense, powerful, vigorous; cheerful, lively, full of energy and enthusiasm, active, energetic, spirited; liveliness, vitality, enthusiasm, energy.']",Borrowed from Italian աշխոյժ,,,Italian
աշխուժ,noun,"['strong, intense, powerful, vigorous; cheerful, lively, full of energy and enthusiasm, active, energetic, spirited; liveliness, vitality, enthusiasm, energy.']",Borrowed from Italian աշխուժ,,,Italian
աշկերտ,noun,['apprentice.'],,,,Unknown
ապագայ,noun,['future; the future.'],,,,Unknown
ապականել,verb,"['to infect, to corrupt, to spoil, to deflower; to deform, to profane, to adulterate, to pollute.']",,,,Unknown
ապացոյց,noun,['proof.'],,,,Unknown
ապաւինիլ,verb,['to seek shelter under the protection of a person or object; to take refuge in order to escape imminent danger; to place one’s hope in something or someone in times of peril.'],,,,Unknown
ապշիլ,verb,"['to be surprised, amazed, to agape, to astonish, to be stupefied.']",,,,Unknown
ապրեցնել,verb,"['to keep alive, to save, to maintain, to support.']",,,,Unknown
ապրուիլ,verb,['To be lived; To live in some manner; to maintain existence; To subsist on food; to be fed.'],,,,Unknown
առաջանալ,verb,"['to advance, to proceed, to go forward, to get along, to progress, to forge, to gain ground, to inch.']",,,,Unknown
առաջաւոր,adjective,"['first; foremost, chief, premier, principal.']",,,,Unknown
առատանալ,verb,"['to be generous, to abound, to be plentiful.']",,,,Unknown
առարկայ,noun,"['object, thing, matter.']",,,,Unknown
առարկել,verb,"['to object, to oppose.']",,,,Unknown
առաքուիլ,verb,['To be sent; to be dispatched; to be forwarded; to be sent off to another place; More generally: to be directed or redirected; to be turned back; to be removed; to be raised; to be lowered.'],,,,Unknown
առեւտուր,noun,"['trade, commerce, traffic, trading, mercantile affairs.']",,,,Unknown
առինքնել,verb,['to attract.'],,,,Unknown
առլցուիլ,verb,"['to be filled to the brim, to be fully filled; to be immersed.']",,,,Unknown
առկայ,adjective,"['present, available, at hand, existing; being present, nearby, or readily available.']",,,,Unknown
առնուիլ,verb,"['to be taken; to be offended, to be angry, to take offence.']",,,,Unknown
առուծախ,noun,"['commerce, buying and selling, sale.']",,,,Unknown
առօրեայ,noun,"['daily, quotidian, ephemeral, perdiem, diurnal, temporal; daily life.']",,,,Unknown
ասացուած,noun,"['expression, saying, phraseology, form of speech, proverb, term; diction.']",,,,Unknown
ասպարէզ,noun,['career; arena.'],,,,Unknown
աստղագէտ,noun,['astrologer; astronomer.'],,,,Unknown
ատենապետ,noun,"['chairman, presiding officer, president, chief-justice.']",,,,Unknown
ատենօք,adverb,['once upon a time.'],,,,Unknown
արատաւոր,adjective,"['spotted, stained; defective; imperfect, flawed.']",,,,Unknown
արգաւանդ,adjective,"['fruitful, fecund, fertile, pregnant.']",,,,Unknown
արգիլեալ,adjective,"['forbidden, interdicted.']",,,,Unknown
արգիլել,verb,"['to prevent, to oppose, to impede, to stop, to forbid, to hinder.']",,,,Unknown
արդարեւ,adverb,"['indeed, truly, verily, certainly.']",,,,Unknown
արդեօք,adverb,"['perhaps, is it? indeed?']",,,,Unknown
արդիւնք,noun,"['effect, product, fruit, produce; proceeds.']",,,,Unknown
արեւ,noun,"['sun; sunlight, sunshine; life, existence, happiness; sunny.']",,,,Unknown
արեւածագ,noun,"['sunrise, sunrising.']",,,,Unknown
արեւելք,noun,"['East; The point in the sky where the sun rises over the horizon; The eastern direction; The East, Eastern countries (from the perspective of Western Europe); The sunrise, the rising of the sun.']",,,,Unknown
արեւոտ,noun,['Sunny; clear weather when the sun is shining.'],,,,Unknown
արթննալ,verb,"['to awake, to wake up.']",,,,Unknown
արժանիք,noun,['merit.'],,,,Unknown
արժեցնել,verb,"['to price, to measure, to estimate, to esteem.']",,,,Unknown
արժէք,noun,"['value, price.']",,,,Unknown
արիանալ,verb,"['to be courageous, to take courage, to be encouraged.']",,,,Unknown
արիասիրտ,adjective,"['courageous, gallant, fearless, daring.']",,,,Unknown
արիւնել,verb,['to cause to bleed; to stain with blood.'],,,,Unknown
արիւնիլ,verb,"['to bleed, to lose blood.']",,,,Unknown
արիւնոտ,adjective,"['hemal, sanguine, hematose, full of blood; bloody.']",,,,Unknown
արհաւիրք,noun,"['fright, terror, dismay, affright, consternation, horror, alarm.']",,,,Unknown
արշաւանք,noun,"['course, incursion, invasion; expedition, excursion.']",,,,Unknown
արուեստ,noun,"['art, profession.']",,,,Unknown
արտագրել,verb,"['to extract, to copy.']",,,,Unknown
արտածել,verb,['To export (goods); to take a product out of the country to a foreign land or abroad for sale.'],,,,Unknown
արտատպել,verb,['To make a new printing from something already printed; to repeat the printing in accordance with the original; to reprint.'],,,,Unknown
արտերկիր,noun,['abroad.'],,,,Unknown
արտօնել,verb,"['to authorize, to permit, to allow.']",,,,Unknown
աւագ,adjective,"['greater, grand, senior, high; lord, dean, oldest member; oldest son.']",,,,Unknown
աւազակ,noun,"['brigand, thief, robber, bandit, highwayman.']",,,,Unknown
աւանդել,verb,"['to entrust, to bequeath, to deposit, to consign, to render, to transit, to transmit, to deliver, to leave.']",,,,Unknown
աւարտել,verb,"['to finish, to complete, to end, to terminate, to consummate, to conclude.']",,,,Unknown
աւարտիլ,verb,"['to come to a close, to end, to be over, to finish, to terminate, to conclude.']",,,,Unknown
աւելնալ,verb,"['to augment, to increase.']",,,,Unknown
աւելցնել,verb,"['to add, to augment, to join, to increase.']",,,,Unknown
աւետել,verb,['to announce good news.'],,,,Unknown
աւետիս,noun,"['good tidings, good news.']",,,,Unknown
աւերակ,adjective,"['ruin, demolition, devastation; ruined.']",,,,Unknown
աւերել,verb,"['to ravage, to ruin, to destroy, to desolate, to lay waste, to waste.']",,,,Unknown
աւերիչ,adjective,"['destructive, destroying, destroyer, ravager, spoiler.']",,,,Unknown
աւիշ,noun,['lymph.'],,,,Unknown
բաբախել,verb,"['to strike or knock repeatedly (transitive verb); the continuous beating of the heart, to palpitate, to beat, to flutter (intransitive verb).']",,,,Unknown
բազմազգ,adjective,['multiethnic; containing or composed of many nations or ethnic groups.'],,,,Unknown
բազմաթիւ,adjective,"['numerous, various; multifarious.']",,,,Unknown
բաժնուիլ,verb,"['to be divided; to separate, to leave one another, to take leave (of).']",,,,Unknown
բախտաւոր,adjective,"['having luck or success; fortunate, lucky, successful; happy, leading a prosperous and content life; fortunate; bringing luck or success.']",,,,Unknown
բախտորոշ,adjective,"['decisive, fateful, fatal.']",,,,Unknown
բաղդատել,verb,"['to compare, to confront.']",,,,Unknown
բամպակ,noun,['cotton.'],,,,Unknown
բանախօս,noun,"['speaker, orator.']",,,,Unknown
բանաձեւ,noun,"['resolution; formula, form.']",,,,Unknown
բանավէճ,noun,"['debate, discussion, argument; dispute, controversy.']",,,,Unknown
բանիմաց,adjective,"['one who understands matters, is clever, experienced, and well-informed; sensible, intelligent, understanding, reasonable, judicious.']",,,,Unknown
բանուոր,noun,"['one who works for wages under someone else; a hired worker; a skilled wage earner employed by a craftsman; pertaining to workers, laborers, the working class.']",,,,Unknown
բարգաւաճ,adverb,"['prosperous, flourishing, thriving, florid, rubicund; ornate, well-off; prosperously.']",,,,Unknown
բարդանալ,verb,"['to become intricate, complicated.']",,,,Unknown
բարդոյթ,noun,"['complex, a disproportionate concern or anxiety about something.']",,,,Unknown
բարեխիղճ,adverb,"['scrupulous, conscientious; scrupulously, conscientiously.']",,,,Unknown
բարեձեւ,adjective,"['having a good shape or form, well-formed; graceful, aesthetically pleasing, elegant, beautifully shaped.']",,,,Unknown
բարերար,adjective,"['benefactor, beneficent, munificent, a well-doer, indulgent.']",,,,Unknown
բարեւել,verb,"['to salute, to greet, to hail, to bow, to nod.']",,,,Unknown
բարւոքել,verb,"['to ameliorate, to better, to improve, to advance, to mend.']",,,,Unknown
բացայայտ,adverb,"['evident, manifest, explicit, clear, glaring, obvious, open, overt, unambiguous, unmistakable; openly, clearly, overtly.']",,,,Unknown
բացասել,verb,"['To state openly, to declare publicly; To give a negative answer, to deny, to say ""no""; To reject, to not accept, to not fulfill.']",,,,Unknown
բացուածք,noun,"['opening, orifice, chunk, aperture.']",,,,Unknown
բացուիլ,verb,"['to be opened, open.']",,,,Unknown
բաւարար,adjective,"['sufficient, satisfactory, adequate, gratifying.']",,,,Unknown
բաւել,verb,"['to be enough, to be sufficient, to suffice.']",,,,Unknown
բեմադրել,verb,"['to stage, to direct.']",,,,Unknown
բերկրանք,noun,"['mirth, joy, joyfulness, gaiety, cheerfulness, delight, merriness.']",,,,Unknown
բերուիլ,verb,"['to be brought, to be brought forward, to be fetched.']",,,,Unknown
բեւեռ,noun,"['nail, spike, pole.']",,,,Unknown
բիւրօ,noun,['bureau.'],,,,Unknown
բխիլ,verb,"['to spring, to stream, to arise, to flow, to spout, to gush, to proceed; to derive, to emanate, to emerge.']",,,,Unknown
բնագաւառ,noun,"['home, native country; domain, field of study, area of expertise, realm.']",From Old Armenian բնագաւառ,,,Armenian
բնակիլ,verb,"['to dwell, to live, to lodge, to inhabit, to reside, to stay.']",,,,Unknown
բնաջնջել,verb,"['to annihilate, to exterminate.']",,,,Unknown
բնաւ,adverb,"['not at all, never, in no wise, not in the least.']",,,,Unknown
բնոյթ,noun,"['nature, essence.']",,,,Unknown
բոլորել,verb,"['To twist into a circular shape, to weave into a ring; To encircle, to surround by forming a circle; To complete a cycle, to finish a round, to complete (an anniversary, orbit, etc.); To gather together, to assemble, to bring together; To shrink back, to conceal from others.']",,,,Unknown
բոյս,noun,"['plant, herb.']",,,,Unknown
բորբոքիլ,verb,"['to be inflamed, to blaze, to ignite, to kindle, to flare up; to get angry, to be mad, to get into a passion.']",,,,Unknown
բուժիչ,adjective,"['healing, curative, remedial; healer, curer.']",,,,Unknown
բուժուիլ,verb,"['to be treated medically, to be healed, to be cured; to be alleviated, soothed.']",,,,Unknown
բուսնիլ,verb,"['to spring, to shoot, to vegetate, to sprout, to spring up, to grow.']",,,,Unknown
բռնաւոր,noun,"['tyrant, usurper; impetuous, violent, tyrannical.']",,,,Unknown
բռնկիլ,verb,"['to catch fire, to ignite, to blaze up, to burst into flame; (figuratively) to get angry, to become fiery or passionate, to flare up.']",,,,Unknown
բռնուիլ,verb,"['to be held, to be taken, to be arrested, to be caught.']",,,,Unknown
գահակալ,noun,"['heir, successor to the throne.']",,,,Unknown
գանգատիլ,verb,"['to complain, to grumble, to express distress.']",,,,Unknown
գանձել,verb,"['to amass treasure or wealth, to hoard; to accumulate (figuratively), to store up; to collect payments due to a treasury.']",,,,Unknown
գանձուիլ,verb,"['to be amassed (treasure or wealth), to be hoarded; to be accumulated (figuratively), to be stored up; to be collected (payments due to a treasury).']",,,,Unknown
գաւակ,noun,"['The hind part of a horse, from the tail up to the back; By extension: The hind part of other four-legged animals, and even of a person.']",,,,Unknown
գգուանք,noun,"['tenderness, caress, blandishment, endearments, cajolery, flattery.']",,,,Unknown
գգուել,verb,"['to caress or fondle lovingly; (figuratively) to show affection, respect, or care.']",,,,Unknown
գեղակերտ,adjective,['beautifully built.'],,,,Unknown
գեղատիպ,adjective,"['beautiful, elegant, pretty; beautifully printed.']",,,,Unknown
գերակշիռ,adjective,"['predominant, prevailing, prevalent, preponderant.']",,,,Unknown
գէր,adjective,"['fat, obese, corpulent (for people or animals); thick, bulky, swollen, overweight (due to fat or bulk); fertile, rich (describing soil); oily, juicy, rich in fat (in food).']",,,,Unknown
գինովնալ,verb,"['to get drunk, to get intoxicated, to be drunken.']",,,,Unknown
գիտակ,noun,['Knowledgeable; informed; well-versed; familiar; aware.'],,,,Unknown
գիտակցիլ,verb,"['to feel, to be conscious of, to be aware of.']",,,,Unknown
գիտցուիլ,verb,"['to be known, to be acquainted.']",,,,Unknown
գլխացաւ,noun,['headache.'],,,,Unknown
գլխաւոր,adjective,"['chief, principal, main, cardinal, dominant; boss.']",,,,Unknown
գծագրել,verb,"['to draw, to sketch, to delineate, to design, to draft, to graph, to pencil, to describe, to plan.']",,,,Unknown
գծանկար,noun,"['graphic, drawing.']",,,,Unknown
գծուիլ,verb,"['to be crossed out, ruled, regulated, drawn, penciled, drafted, designed.']",,,,Unknown
գմբէթ,noun,"['dome, cupola.']",,,,Unknown
գնդախաղ,noun,"['a game involving a ball, e.g. football, tennis, baseball, golf etc.']",,,,Unknown
գնուիլ,verb,"['to be bought, to be purchased.']",,,,Unknown
գողնալ,verb,"['to steal, to rob, to plunder, to pilfer.']",,,,Unknown
գոյամարտ,noun,['struggle of life.'],,,,Unknown
գոյացնել,verb,"['to yield, to produce, to bring to, to originate, to substantiate.']",,,,Unknown
գոյժ,noun,"['sad news, lamentation.']",,,,Unknown
գոյք,noun,"['possessions, property, thing, matter, chattels, effects.']",,,,Unknown
գովասանք,noun,"['praise, laud, eulogy, compliment, commendation.']",,,,Unknown
գովերգել,verb,"['to praise, to exalt, to sing, to celebrate.']",,,,Unknown
գործուիլ,verb,"['to be worked, operated, fabricated, performed, to be enacted.']",,,,Unknown
գոցել,verb,"['to shut, to close, to enclose, to lock.']",,,,Unknown
գոցուիլ,verb,"['to be closed, to be shut, enclosed; to skin over (wound).']",,,,Unknown
գուժել,verb,['to give sad news.'],,,,Unknown
գունատիլ,verb,"['to turn pale, to fade, to lose color, to pale.']",,,,Unknown
գունաւոր,adjective,"['colored, illuminated; dyed.']",,,,Unknown
գուցէ,adverb,['perhaps.'],,,,Unknown
գտնուիլ,verb,"['to be found; to be situated, to be located at; to be, to exist.']",,,,Unknown
գրագէտ,adjective,"['literate; man of letters, lettered, literary man, writer.']",,,,Unknown
գրաւել,verb,"['to occupy, to seize, to confiscate, to appropriate, to invade.']",,,,Unknown
գրաւիչ,adjective,"['attractive, striking, thrilling, enchanting, engaging.']",,,,Unknown
գրաւուիլ,verb,"['To be pledged (something taken as collateral); To be seized or taken, whether legally or illegally; to be captured, conquered, appropriated, grabbed, or confiscated; To be settled or occupied by others; To be attracted, charmed, enchanted, captivated.']",,,,Unknown
գրուածք,noun,"['writing, text, article; paper.']",,,,Unknown
գրուիլ,verb,['to be written.'],,,,Unknown
գրքոյկ,noun,"['booklet, small book, pamphlet, tract; memorandum.']",,,,Unknown
գրքուկ,noun,"['booklet, small book, pamphlet, tract; memorandum.']",,,,Unknown
գրքունակ,adjective,"['bookish, what is found in books, characterized for inclusion in books.']",,,,Unknown
դալկահար,adjective,"['jaundiced, pale, pallid, wan, icterical, marcid, blank, yellow.']",,,,Unknown
դանդաղիլ,verb,"['To move slowly, heavily, sluggishly; to delay or tarry.']",,,,Unknown
դաշունել,verb,"['to stab with a poniard, to dagger, to transpierce.']",,,,Unknown
դառնանալ,verb,"['to acquire a bitter or sour taste; to spoil; to feel bitterness (from tasting something bitter); (figurative) to develop a bitter attitude, to feel sorrow or anger, to resent; to become unpleasant, painful, or unlovable.']",,,,Unknown
դասաժամ,noun,"['class time, class period, the time duration of class session.']",,,,Unknown
դասախօս,noun,['lecturer.'],,,,Unknown
դասապահ,noun,['class period.'],,,,Unknown
դասուիլ,verb,"['to be classified; to be sorted, to be ordered.']",,,,Unknown
դատավճիռ,noun,"['sentence, award, judgement.']",,,,Unknown
դատուիլ,verb,['To be judged; To have a person’s case examined and a verdict issued by a judge; To be condemned; to be subjected to punishment.'],,,,Unknown
դարաւոր,adjective,"['secular, centuries old; age-old.']",,,,Unknown
դարբնոց,noun,"['forge, smithy, melting house, smithery, ironworks, workshop.']",,,,Unknown
դարձեալ,adverb,"['again, once more, moreover; bis; also.']",,,,Unknown
դարմանել,verb,"['to remedy, to treat, to cure, to foster, to restore, to repair.']",,,,Unknown
դաւանանք,noun,"['profession (of faith), confession, declaration of faith.']",,,,Unknown
դաւանել,verb,"['to profess, to confess, to avow.']",,,,Unknown
դաւանիլ,verb,"['to profess, to confess, to avow.']",,,,Unknown
դաւել,verb,['To plot; to scheme; to lay a plot or conspiracy against someone.'],,,,Unknown
դեգերիլ,verb,"['to linger, to wander, to rove, to trifle.']",,,,Unknown
դեղագործ,noun,"['pharmacist, apothecary, druggist; made of paint.']",,,,Unknown
դեղնիլ,verb,"['To turn yellow; to become yellow in color; To grow pale/yellow from illness, fear, etc.; to become sallow.']",,,,Unknown
դէմք,noun,"['face; person, of pronouns, of verbs; personality.']",,,,Unknown
դէպք,noun,['event; accident; incident.'],,,,Unknown
դժգոհանք,noun,"['displeasure, discontent, dissatisfaction, complaint.']",,,,Unknown
դժգոհիլ,verb,"['to be displeased, to express dissatisfaction, to remain unsatisfied, to be dissatisfied, to complain.']",,,,Unknown
դժուարաւ,adverb,"['hardly, difficultly, with difficulty; painfully.']",,,,Unknown
դժուարիլ,verb,['To find something difficult; to experience difficulty; to be unable; To be reluctant; to take something badly; to feel offended or displeased.'],,,,Unknown
դիզել,verb,"['to heap up, to pile, to accumulate, to amass.']",,,,Unknown
դիմագիծ,noun,"['lineament, face.']",,,,Unknown
դիպուած,noun,"['accident, event, occurrence, hazard, occasion, episode, fortuity, chance.']",,,,Unknown
դիտուիլ,verb,"['to be observed, remarked, studied, considered, contemplated, watched.']",,,,Unknown
դիւրանալ,verb,"['to become easy, to be facilitated.']",,,,Unknown
դիւրաւ,adverb,"['easily, readily, with facility, pliantly.']",,,,Unknown
դղեակ,noun,"['castle, fortress.']",,,,Unknown
դողդղալ,verb,"['to shake or quiver due to cold, fear, or illness; to tremble from excitement, nervousness, or emotion; to vibrate or quiver slightly due to external forces.']",,,,Unknown
դողդողալ,verb,"['to shake or quiver due to cold, fear, or illness; to tremble from excitement, nervousness, or emotion; to vibrate or quiver slightly due to external forces.']",,,,Unknown
դպրեվանք,noun,"['clerical college, seminary.']",,,,Unknown
դռոյթ,noun,"['crew, band, crowd; assault, attack.']",,,,Unknown
դրդուիլ,verb,"['to be pushed, incited, instigated, stimulated; to be shaken; to move, to stagger.']",,,,Unknown
դրոշմել,verb,"['to stamp, to print, to mark, to confirm; to register, to seal, to impress.']",,,,Unknown
դրուագ,noun,"['sculpture, thin plate of metal, chapter, episode.']",,,,Unknown
դրուածք,noun,"['the way in which something is done; position; the accepted order; placement, arrangement.']",,,,Unknown
դրուատել,verb,"['to praise, to laud, to acclaim, to recommend.']",,,,Unknown
դրուատիք,noun,"['praise, laud, eulogy.']",,,,Unknown
դրուիլ,verb,"['to be set, put, laid.']",,,,Unknown
դրօշ,noun,"['flag, standard, banner, ensign; statue.']",,,,Unknown
ելեւէջ,noun,"['ups and downs, vicissitudes; modulation.']",,,,Unknown
ելոյթ,noun,"['public performance; insulting utterance (written or spoken), tirade.']",,,,Unknown
ենթակայ,noun,['subject; subject to.'],,,,Unknown
եռամեծար,adjective,"['very worthy of respect, very respectable, very venerable.']",,,,Unknown
եռօրեայ,adjective,['lasting or relating to a period of three days; occurring once every three days.'],,,,Unknown
երբէք,adverb,"['never; ever, not a bit; sometime.']",,,,Unknown
երգուածք,noun,"['The manner, mode, or style of singing.']",,,,Unknown
երգուիլ,verb,"['to be sung, chanted.']",,,,Unknown
երեխայ,noun,['child; catechumen.'],,,,Unknown
երեկոյ,noun,['evening.'],,,,Unknown
երեկոյթ,noun,"['evening party, party dinner, soirée.']",,,,Unknown
երեւալ,verb,"['to appear, to be seen, to be visible, to be in sight; to seem.']",,,,Unknown
երեւիլ,verb,"['to appear, to be seen, to be visible, to be in sight; to seem.']",,,,Unknown
երեւնալ,verb,"['to appear, to be seen, to be visible, to be in sight; to seem.']",,,,Unknown
երեւոյթ,noun,['appearance.'],,,,Unknown
երէց,adjective,"['elder, eldest, senior; grand; eldest brother; pastor, priest.']",,,,Unknown
երթեւեկ,noun,"['going and coming, going to and fro, voyage out and in, reciprocating motion, traffic: walk, travel.']",,,,Unknown
երկարել,verb,"['to elongate, to lengthen; to extend, to carry; to prolong, to protract; to continue.']",,,,Unknown
երկարիլ,verb,"['to grow longer, to extend, to lengthen.']",,,,Unknown
երկիւղ,noun,"['fear, fright, terror, dread, awe, timidity, fearfulness, discouragement, phobia.']",,,,Unknown
երկիւղած,adjective,"['pious, timorous, conscientious, religious, devout.']",,,,Unknown
երկնչիլ,verb,"['to fear, to be afraid, to show reverence or awe.']",,,,Unknown
երկսեռ,adjective,"['of or relating to both genders, both male and female, both genders inclusive.']",,,,Unknown
երկրամաս,noun,['part of the world; province; region; continent.'],,,,Unknown
երկօրեայ,adjective,['lasting or relating to a period of two days; occurring once every two days; two-day-old.'],,,,Unknown
եւս,adverb,"['also, more, moreover, besides, still, as yet, anew.']",,,,Unknown
եփիլ,verb,"['to come to a boil; the process of raw food boiling in water and softening to become edible, to be cooked; to be subjected to heat in order to become edible, to be baked; (figuratively) to become experienced and skilled in a particular field through continuous work and effort.']",,,,Unknown
եփուիլ,verb,"['to come to a boil; the process of raw food boiling in water and softening to become edible, to be cooked; to be subjected to heat in order to become edible, to be baked; (figuratively) to become experienced and skilled in a particular field through continuous work and effort.']",,,,Unknown
